date,Microsoft Surface review
2020-08-02,76
2020-08-09,76
2020-08-16,78
2020-08-23,77
2020-08-30,70
2020-09-06,73
2020-09-13,76
2020-09-20,64
2020-09-27,56
2020-10-04,54
2020-10-11,76
2020-10-18,53
2020-10-25,50
2020-11-01,50
2020-11-08,61
2020-11-15,72
2020-11-22,100
2020-11-29,73
2020-12-06,47
2020-12-13,54
2020-12-20,51
2020-12-27,49
2021-01-03,49
2021-01-10,48
2021-01-17,53
2021-01-24,59
2021-01-31,54
2021-02-07,44
2021-02-14,45
2021-02-21,45
2021-02-28,44
2021-03-07,47
2021-03-14,49
2021-03-21,46
2021-03-28,44
2021-04-04,36
2021-04-11,44
2021-04-18,49
2021-04-25,51
2021-05-02,40
2021-05-09,47
2021-05-16,47
2021-05-23,42
2021-05-30,46
2021-06-06,38
2021-06-13,55
2021-06-20,51
2021-06-27,44
2021-07-04,42
2021-07-11,52
2021-07-18,40
2021-07-25,40
2021-08-01,39
2021-08-08,44
2021-08-15,48
2021-08-22,46
2021-08-29,43
2021-09-05,40
2021-09-12,31
2021-09-19,50
2021-09-26,43
2021-10-03,51
2021-10-10,38
2021-10-17,42
2021-10-24,43
2021-10-31,41
2021-11-07,47
2021-11-14,48
2021-11-21,83
2021-11-28,52
2021-12-05,41
2021-12-12,43
2021-12-19,44
2021-12-26,54
2022-01-02,48
2022-01-09,52
2022-01-16,48
2022-01-23,55
2022-01-30,50
2022-02-06,42
2022-02-13,50
2022-02-20,51
2022-02-27,47
2022-03-06,49
2022-03-13,42
2022-03-20,43
2022-03-27,42
2022-04-03,42
2022-04-10,43
2022-04-17,41
2022-04-24,38
2022-05-01,39
2022-05-08,41
2022-05-15,31
2022-05-22,38
2022-05-29,45
2022-06-05,43
2022-06-12,42
2022-06-19,40
2022-06-26,43
2022-07-03,40
2022-07-10,44
2022-07-17,40
2022-07-24,41
2022-07-31,33
2022-08-07,44
2022-08-14,49
2022-08-21,46
2022-08-28,45
2022-09-04,40
2022-09-11,38
2022-09-18,39
2022-09-25,44
2022-10-02,37
2022-10-09,48
2022-10-16,45
2022-10-23,45
2022-10-30,44
2022-11-06,43
2022-11-13,48
2022-11-20,70
2022-11-27,53
2022-12-04,34
2022-12-11,38
2022-12-18,42
2022-12-25,48
2023-01-01,35
2023-01-08,41
2023-01-15,43
2023-01-22,38
2023-01-29,40
2023-02-05,37
2023-02-12,31
2023-02-19,34
2023-02-26,37
2023-03-05,32
2023-03-12,37
2023-03-19,35
2023-03-26,33
2023-04-02,31
2023-04-09,29
2023-04-16,26
2023-04-23,32
2023-04-30,31
2023-05-07,27
2023-05-14,32
2023-05-21,29
2023-05-28,37
2023-06-04,33
2023-06-11,30
2023-06-18,32
2023-06-25,38
2023-07-02,38
2023-07-09,41
2023-07-16,27
2023-07-23,32
2023-07-30,29
2023-08-06,35
2023-08-13,28
2023-08-20,30
2023-08-27,35
2023-09-03,32
2023-09-10,30
2023-09-17,29
2023-09-24,30
2023-10-01,30
2023-10-08,28
2023-10-15,27
2023-10-22,26
2023-10-29,30
2023-11-05,29
2023-11-12,34
2023-11-19,52
2023-11-26,35
2023-12-03,26
2023-12-10,28
2023-12-17,29
2023-12-24,31
2023-12-31,29
2024-01-07,25
2024-01-14,24
2024-01-21,29
2024-01-28,29
2024-02-04,27
2024-02-11,27
2024-02-18,22
2024-02-25,24
2024-03-03,26
2024-03-10,24
2024-03-17,30
2024-03-24,28
2024-03-31,24
2024-04-07,21
2024-04-14,25
2024-04-21,23
2024-04-28,24
2024-05-05,24
2024-05-12,25
2024-05-19,32
2024-05-26,30
2024-06-02,30
2024-06-09,29
2024-06-16,43
2024-06-23,32
2024-06-30,35
2024-07-07,27
2024-07-14,39
2024-07-21,31
2024-07-28,31
2024-08-04,29
2024-08-11,29
2024-08-18,36
2024-08-25,33
2024-09-01,32
2024-09-08,33
2024-09-15,27
2024-09-22,29
2024-09-29,28
2024-10-06,27
2024-10-13,23
2024-10-20,20
2024-10-27,25
2024-11-03,25
2024-11-10,27
2024-11-17,43
2024-11-24,46
2024-12-01,33
2024-12-08,23
2024-12-15,28
2024-12-22,29
2024-12-29,28
2025-01-05,26
2025-01-12,27
2025-01-19,29
2025-01-26,30
2025-02-02,24
2025-02-09,26
2025-02-16,21
2025-02-23,27
2025-03-02,24
2025-03-09,29
2025-03-16,18
2025-03-23,24
2025-03-30,17
2025-04-06,20
2025-04-13,21
2025-04-20,22
2025-04-27,19
2025-05-04,22
2025-05-11,21
2025-05-18,20
2025-05-25,22
2025-06-01,35
2025-06-08,26
2025-06-15,22
2025-06-22,23
2025-06-29,25
2025-07-06,32
2025-07-13,28
2025-07-20,39
2025-07-27,78
