date,Afghanistan
2020-08-02,1
2020-08-09,2
2020-08-16,2
2020-08-23,1
2020-08-30,1
2020-09-06,2
2020-09-13,2
2020-09-20,2
2020-09-27,1
2020-10-04,2
2020-10-11,2
2020-10-18,2
2020-10-25,1
2020-11-01,2
2020-11-08,2
2020-11-15,2
2020-11-22,2
2020-11-29,2
2020-12-06,2
2020-12-13,2
2020-12-20,1
2020-12-27,1
2021-01-03,2
2021-01-10,2
2021-01-17,3
2021-01-24,3
2021-01-31,2
2021-02-07,2
2021-02-14,2
2021-02-21,2
2021-02-28,3
2021-03-07,4
2021-03-14,5
2021-03-21,2
2021-03-28,2
2021-04-04,2
2021-04-11,2
2021-04-18,2
2021-04-25,2
2021-05-02,2
2021-05-09,2
2021-05-16,2
2021-05-23,2
2021-05-30,2
2021-06-06,2
2021-06-13,3
2021-06-20,2
2021-06-27,2
2021-07-04,3
2021-07-11,3
2021-07-18,3
2021-07-25,2
2021-08-01,3
2021-08-08,10
2021-08-15,100
2021-08-22,39
2021-08-29,22
2021-09-05,11
2021-09-12,7
2021-09-19,4
2021-09-26,4
2021-10-03,3
2021-10-10,3
2021-10-17,7
2021-10-24,18
2021-10-31,34
2021-11-07,14
2021-11-14,3
2021-11-21,2
2021-11-28,2
2021-12-05,2
2021-12-12,2
2021-12-19,2
2021-12-26,2
2022-01-02,2
2022-01-09,2
2022-01-16,2
2022-01-23,3
2022-01-30,2
2022-02-06,2
2022-02-13,2
2022-02-20,8
2022-02-27,9
2022-03-06,3
2022-03-13,2
2022-03-20,2
2022-03-27,2
2022-04-03,2
2022-04-10,2
2022-04-17,2
2022-04-24,2
2022-05-01,2
2022-05-08,2
2022-05-15,2
2022-05-22,2
2022-05-29,3
2022-06-05,4
2022-06-12,3
2022-06-19,4
2022-06-26,2
2022-07-03,2
2022-07-10,2
2022-07-17,2
2022-07-24,2
2022-07-31,2
2022-08-07,6
2022-08-14,5
2022-08-21,7
2022-08-28,17
2022-09-04,45
2022-09-11,3
2022-09-18,2
2022-09-25,2
2022-10-02,2
2022-10-09,2
2022-10-16,21
2022-10-23,7
2022-10-30,16
2022-11-06,2
2022-11-13,2
2022-11-20,6
2022-11-27,9
2022-12-04,2
2022-12-11,2
2022-12-18,2
2022-12-25,2
2023-01-01,2
2023-01-08,2
2023-01-15,2
2023-01-22,2
2023-01-29,2
2023-02-05,2
2023-02-12,3
2023-02-19,2
2023-02-26,2
2023-03-05,2
2023-03-12,2
2023-03-19,7
2023-03-26,9
2023-04-02,2
2023-04-09,2
2023-04-16,2
2023-04-23,2
2023-04-30,2
2023-05-07,2
2023-05-14,2
2023-05-21,2
2023-05-28,5
2023-06-04,6
2023-06-11,9
2023-06-18,2
2023-06-25,2
2023-07-02,9
2023-07-09,8
2023-07-16,5
2023-07-23,2
2023-07-30,2
2023-08-06,2
2023-08-13,2
2023-08-20,20
2023-08-27,3
2023-09-03,20
2023-09-10,3
2023-09-17,2
2023-09-24,3
2023-10-01,25
2023-10-08,30
2023-10-15,26
2023-10-22,22
2023-10-29,22
2023-11-05,32
2023-11-12,3
2023-11-19,2
2023-11-26,2
2023-12-03,2
2023-12-10,2
2023-12-17,2
2023-12-24,3
2023-12-31,5
2024-01-07,16
2024-01-14,27
2024-01-21,3
2024-01-28,4
2024-02-04,7
2024-02-11,7
2024-02-18,6
2024-02-25,4
2024-03-03,4
2024-03-10,4
2024-03-17,5
2024-03-24,3
2024-03-31,2
2024-04-07,2
2024-04-14,2
2024-04-21,2
2024-04-28,2
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,5
2024-06-02,9
2024-06-09,5
2024-06-16,26
2024-06-23,33
2024-06-30,2
2024-07-07,2
2024-07-14,2
2024-07-21,2
2024-07-28,2
2024-08-04,2
2024-08-11,2
2024-08-18,2
2024-08-25,3
2024-09-01,2
2024-09-08,5
2024-09-15,9
2024-09-22,6
2024-09-29,2
2024-10-06,2
2024-10-13,2
2024-10-20,3
2024-10-27,2
2024-11-03,12
2024-11-10,9
2024-11-17,2
2024-11-24,2
2024-12-01,2
2024-12-08,8
2024-12-15,8
2024-12-22,8
2024-12-29,11
2025-01-05,4
2025-01-12,2
2025-01-19,2
2025-01-26,2
2025-02-02,2
2025-02-09,2
2025-02-16,11
2025-02-23,28
2025-03-02,3
2025-03-09,2
2025-03-16,2
2025-03-23,2
2025-03-30,2
2025-04-06,3
2025-04-13,2
2025-04-20,2
2025-04-27,2
2025-05-04,2
2025-05-11,2
2025-05-18,2
2025-05-25,2
2025-06-01,2
2025-06-08,2
2025-06-15,2
2025-06-22,2
2025-06-29,2
2025-07-06,2
2025-07-13,2
2025-07-20,2
2025-07-27,2
