date,AMD earnings report
2020-08-02,7
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,6
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,6
2020-10-18,0
2020-10-25,27
2020-11-01,0
2020-11-08,6
2020-11-15,5
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,8
2021-01-17,12
2021-01-24,46
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,6
2021-04-25,28
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,5
2021-06-13,8
2021-06-20,0
2021-06-27,10
2021-07-04,0
2021-07-11,6
2021-07-18,11
2021-07-25,24
2021-08-01,11
2021-08-08,7
2021-08-15,7
2021-08-22,0
2021-08-29,0
2021-09-05,7
2021-09-12,7
2021-09-19,8
2021-09-26,0
2021-10-03,5
2021-10-10,10
2021-10-17,11
2021-10-24,21
2021-10-31,0
2021-11-07,9
2021-11-14,0
2021-11-21,6
2021-11-28,7
2021-12-05,0
2021-12-12,10
2021-12-19,8
2021-12-26,0
2022-01-02,19
2022-01-09,16
2022-01-16,19
2022-01-23,22
2022-01-30,67
2022-02-06,21
2022-02-13,21
2022-02-20,21
2022-02-27,30
2022-03-06,32
2022-03-13,46
2022-03-20,33
2022-03-27,37
2022-04-03,33
2022-04-10,53
2022-04-17,55
2022-04-24,56
2022-05-01,63
2022-05-08,57
2022-05-15,45
2022-05-22,45
2022-05-29,55
2022-06-05,67
2022-06-12,70
2022-06-19,68
2022-06-26,67
2022-07-03,63
2022-07-10,64
2022-07-17,59
2022-07-24,87
2022-07-31,99
2022-08-07,49
2022-08-14,56
2022-08-21,45
2022-08-28,15
2022-09-04,8
2022-09-11,0
2022-09-18,5
2022-09-25,0
2022-10-02,0
2022-10-09,4
2022-10-16,0
2022-10-23,7
2022-10-30,14
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,7
2023-01-29,25
2023-02-05,0
2023-02-12,0
2023-02-19,6
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,7
2023-04-30,17
2023-05-07,0
2023-05-14,0
2023-05-21,5
2023-05-28,6
2023-06-04,0
2023-06-11,4
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,5
2023-07-16,6
2023-07-23,9
2023-07-30,28
2023-08-06,0
2023-08-13,5
2023-08-20,9
2023-08-27,5
2023-09-03,6
2023-09-10,5
2023-09-17,4
2023-09-24,4
2023-10-01,0
2023-10-08,5
2023-10-15,6
2023-10-22,5
2023-10-29,18
2023-11-05,0
2023-11-12,5
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,4
2023-12-17,0
2023-12-24,0
2023-12-31,6
2024-01-07,0
2024-01-14,9
2024-01-21,18
2024-01-28,68
2024-02-04,12
2024-02-11,6
2024-02-18,12
2024-02-25,9
2024-03-03,10
2024-03-10,5
2024-03-17,0
2024-03-24,7
2024-03-31,9
2024-04-07,11
2024-04-14,9
2024-04-21,14
2024-04-28,39
2024-05-05,5
2024-05-12,0
2024-05-19,9
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,6
2024-06-30,0
2024-07-07,7
2024-07-14,8
2024-07-21,11
2024-07-28,52
2024-08-04,6
2024-08-11,5
2024-08-18,9
2024-08-25,8
2024-09-01,0
2024-09-08,0
2024-09-15,0
2024-09-22,0
2024-09-29,0
2024-10-06,5
2024-10-13,9
2024-10-20,8
2024-10-27,64
2024-11-03,10
2024-11-10,0
2024-11-17,9
2024-11-24,0
2024-12-01,6
2024-12-08,6
2024-12-15,6
2024-12-22,0
2024-12-29,0
2025-01-05,8
2025-01-12,9
2025-01-19,11
2025-01-26,14
2025-02-02,100
2025-02-09,13
2025-02-16,0
2025-02-23,6
2025-03-02,0
2025-03-09,0
2025-03-16,0
2025-03-23,0
2025-03-30,0
2025-04-06,6
2025-04-13,0
2025-04-20,0
2025-04-27,9
2025-05-04,43
2025-05-11,6
2025-05-18,0
2025-05-25,0
2025-06-01,6
2025-06-08,0
2025-06-15,9
2025-06-22,8
2025-06-29,7
2025-07-06,6
2025-07-13,15
2025-07-20,26
2025-07-27,67
