date,Dwayne Johnson
2020-08-02,46
2020-08-09,49
2020-08-16,43
2020-08-23,37
2020-08-30,83
2020-09-06,43
2020-09-13,37
2020-09-20,37
2020-09-27,44
2020-10-04,34
2020-10-11,34
2020-10-18,33
2020-10-25,36
2020-11-01,29
2020-11-08,31
2020-11-15,35
2020-11-22,36
2020-11-29,29
2020-12-06,29
2020-12-13,31
2020-12-20,41
2020-12-27,50
2021-01-03,38
2021-01-10,36
2021-01-17,38
2021-01-24,36
2021-01-31,36
2021-02-07,37
2021-02-14,47
2021-02-21,35
2021-02-28,36
2021-03-07,33
2021-03-14,33
2021-03-21,34
2021-03-28,36
2021-04-04,39
2021-04-11,47
2021-04-18,41
2021-04-25,36
2021-05-02,47
2021-05-09,36
2021-05-16,36
2021-05-23,35
2021-05-30,32
2021-06-06,31
2021-06-13,31
2021-06-20,33
2021-06-27,34
2021-07-04,40
2021-07-11,42
2021-07-18,53
2021-07-25,60
2021-08-01,61
2021-08-08,47
2021-08-15,43
2021-08-22,44
2021-08-29,46
2021-09-05,35
2021-09-12,30
2021-09-19,28
2021-09-26,26
2021-10-03,29
2021-10-10,36
2021-10-17,38
2021-10-24,37
2021-10-31,38
2021-11-07,74
2021-11-14,100
2021-11-21,73
2021-11-28,52
2021-12-05,58
2021-12-12,48
2021-12-19,45
2021-12-26,66
2022-01-02,57
2022-01-09,45
2022-01-16,46
2022-01-23,44
2022-01-30,45
2022-02-06,51
2022-02-13,60
2022-02-20,38
2022-02-27,38
2022-03-06,35
2022-03-13,37
2022-03-20,33
2022-03-27,48
2022-04-03,37
2022-04-10,38
2022-04-17,35
2022-04-24,35
2022-05-01,43
2022-05-08,34
2022-05-15,31
2022-05-22,32
2022-05-29,35
2022-06-05,35
2022-06-12,33
2022-06-19,32
2022-06-26,30
2022-07-03,30
2022-07-10,33
2022-07-17,44
2022-07-24,41
2022-07-31,32
2022-08-07,32
2022-08-14,32
2022-08-21,30
2022-08-28,30
2022-09-04,31
2022-09-11,28
2022-09-18,28
2022-09-25,30
2022-10-02,31
2022-10-09,46
2022-10-16,74
2022-10-23,62
2022-10-30,47
2022-11-06,43
2022-11-13,38
2022-11-20,33
2022-11-27,36
2022-12-04,38
2022-12-11,38
2022-12-18,52
2022-12-25,48
2023-01-01,38
2023-01-08,33
2023-01-15,31
2023-01-22,32
2023-01-29,32
2023-02-05,38
2023-02-12,33
2023-02-19,35
2023-02-26,29
2023-03-05,28
2023-03-12,38
2023-03-19,33
2023-03-26,30
2023-04-02,40
2023-04-09,30
2023-04-16,25
2023-04-23,28
2023-04-30,48
2023-05-07,49
2023-05-14,43
2023-05-21,41
2023-05-28,38
2023-06-04,30
2023-06-11,35
2023-06-18,31
2023-06-25,25
2023-07-02,25
2023-07-09,26
2023-07-16,30
2023-07-23,31
2023-07-30,26
2023-08-06,24
2023-08-13,28
2023-08-20,28
2023-08-27,26
2023-09-03,26
2023-09-10,33
2023-09-17,31
2023-09-24,25
2023-10-01,23
2023-10-08,24
2023-10-15,23
2023-10-22,28
2023-10-29,27
2023-11-05,23
2023-11-12,30
2023-11-19,59
2023-11-26,40
2023-12-03,52
2023-12-10,42
2023-12-17,28
2023-12-24,36
2023-12-31,41
2024-01-07,29
2024-01-14,29
2024-01-21,28
2024-01-28,27
2024-02-04,31
2024-02-11,27
2024-02-18,25
2024-02-25,23
2024-03-03,24
2024-03-10,29
2024-03-17,24
2024-03-24,26
2024-03-31,34
2024-04-07,40
2024-04-14,21
2024-04-21,21
2024-04-28,28
2024-05-05,23
2024-05-12,21
2024-05-19,24
2024-05-26,22
2024-06-02,21
2024-06-09,22
2024-06-16,21
2024-06-23,22
2024-06-30,21
2024-07-07,24
2024-07-14,22
2024-07-21,21
2024-07-28,23
2024-08-04,19
2024-08-11,22
2024-08-18,22
2024-08-25,20
2024-09-01,19
2024-09-08,21
2024-09-15,20
2024-09-22,20
2024-09-29,21
2024-10-06,20
2024-10-13,19
2024-10-20,16
2024-10-27,20
2024-11-03,24
2024-11-10,27
2024-11-17,34
2024-11-24,35
2024-12-01,27
2024-12-08,31
2024-12-15,35
2024-12-22,43
2024-12-29,33
2025-01-05,34
2025-01-12,23
2025-01-19,23
2025-01-26,20
2025-02-02,20
2025-02-09,19
2025-02-16,26
2025-02-23,22
2025-03-02,24
2025-03-09,17
2025-03-16,18
2025-03-23,16
2025-03-30,17
2025-04-06,15
2025-04-13,16
2025-04-20,17
2025-04-27,22
2025-05-04,15
2025-05-11,16
2025-05-18,15
2025-05-25,14
2025-06-01,14
2025-06-08,14
2025-06-15,14
2025-06-22,15
2025-06-29,15
2025-07-06,15
2025-07-13,16
2025-07-20,19
2025-07-27,20
