date,IKEA
2020-08-02,86
2020-08-09,87
2020-08-16,92
2020-08-23,98
2020-08-30,99
2020-09-06,90
2020-09-13,85
2020-09-20,93
2020-09-27,85
2020-10-04,84
2020-10-11,90
2020-10-18,89
2020-10-25,88
2020-11-01,84
2020-11-08,94
2020-11-15,91
2020-11-22,92
2020-11-29,88
2020-12-06,92
2020-12-13,78
2020-12-20,72
2020-12-27,100
2021-01-03,92
2021-01-10,86
2021-01-17,86
2021-01-24,90
2021-01-31,86
2021-02-07,78
2021-02-14,84
2021-02-21,79
2021-02-28,81
2021-03-07,82
2021-03-14,81
2021-03-21,81
2021-03-28,81
2021-04-04,82
2021-04-11,80
2021-04-18,76
2021-04-25,76
2021-05-02,79
2021-05-09,76
2021-05-16,75
2021-05-23,76
2021-05-30,72
2021-06-06,68
2021-06-13,62
2021-06-20,66
2021-06-27,71
2021-07-04,70
2021-07-11,69
2021-07-18,73
2021-07-25,72
2021-08-01,77
2021-08-08,69
2021-08-15,78
2021-08-22,79
2021-08-29,73
2021-09-05,73
2021-09-12,72
2021-09-19,72
2021-09-26,75
2021-10-03,76
2021-10-10,72
2021-10-17,73
2021-10-24,72
2021-10-31,77
2021-11-07,78
2021-11-14,74
2021-11-21,75
2021-11-28,73
2021-12-05,73
2021-12-12,66
2021-12-19,58
2021-12-26,81
2022-01-02,96
2022-01-09,82
2022-01-16,80
2022-01-23,75
2022-01-30,78
2022-02-06,77
2022-02-13,72
2022-02-20,68
2022-02-27,69
2022-03-06,65
2022-03-13,63
2022-03-20,64
2022-03-27,65
2022-04-03,65
2022-04-10,65
2022-04-17,62
2022-04-24,61
2022-05-01,58
2022-05-08,58
2022-05-15,54
2022-05-22,58
2022-05-29,57
2022-06-05,56
2022-06-12,55
2022-06-19,58
2022-06-26,60
2022-07-03,63
2022-07-10,59
2022-07-17,61
2022-07-24,63
2022-07-31,64
2022-08-07,69
2022-08-14,75
2022-08-21,67
2022-08-28,68
2022-09-04,66
2022-09-11,65
2022-09-18,64
2022-09-25,67
2022-10-02,64
2022-10-09,65
2022-10-16,65
2022-10-23,65
2022-10-30,67
2022-11-06,72
2022-11-13,68
2022-11-20,69
2022-11-27,63
2022-12-04,61
2022-12-11,58
2022-12-18,55
2022-12-25,75
2023-01-01,81
2023-01-08,72
2023-01-15,70
2023-01-22,69
2023-01-29,69
2023-02-05,64
2023-02-12,62
2023-02-19,65
2023-02-26,63
2023-03-05,59
2023-03-12,58
2023-03-19,57
2023-03-26,62
2023-04-02,62
2023-04-09,57
2023-04-16,57
2023-04-23,57
2023-04-30,56
2023-05-07,52
2023-05-14,56
2023-05-21,51
2023-05-28,54
2023-06-04,53
2023-06-11,51
2023-06-18,52
2023-06-25,54
2023-07-02,59
2023-07-09,58
2023-07-16,60
2023-07-23,66
2023-07-30,69
2023-08-06,64
2023-08-13,64
2023-08-20,63
2023-08-27,68
2023-09-03,61
2023-09-10,55
2023-09-17,61
2023-09-24,58
2023-10-01,61
2023-10-08,59
2023-10-15,59
2023-10-22,61
2023-10-29,66
2023-11-05,67
2023-11-12,63
2023-11-19,67
2023-11-26,64
2023-12-03,62
2023-12-10,56
2023-12-17,55
2023-12-24,71
2023-12-31,77
2024-01-07,66
2024-01-14,62
2024-01-21,64
2024-01-28,66
2024-02-04,62
2024-02-11,63
2024-02-18,67
2024-02-25,63
2024-03-03,60
2024-03-10,61
2024-03-17,58
2024-03-24,65
2024-03-31,63
2024-04-07,54
2024-04-14,58
2024-04-21,60
2024-04-28,60
2024-05-05,56
2024-05-12,52
2024-05-19,54
2024-05-26,58
2024-06-02,57
2024-06-09,58
2024-06-16,55
2024-06-23,52
2024-06-30,62
2024-07-07,58
2024-07-14,59
2024-07-21,65
2024-07-28,61
2024-08-04,62
2024-08-11,65
2024-08-18,70
2024-08-25,67
2024-09-01,66
2024-09-08,64
2024-09-15,61
2024-09-22,62
2024-09-29,61
2024-10-06,64
2024-10-13,62
2024-10-20,60
2024-10-27,61
2024-11-03,63
2024-11-10,68
2024-11-17,64
2024-11-24,66
2024-12-01,64
2024-12-08,62
2024-12-15,56
2024-12-22,71
2024-12-29,80
2025-01-05,73
2025-01-12,63
2025-01-19,65
2025-01-26,68
2025-02-02,62
2025-02-09,60
2025-02-16,58
2025-02-23,59
2025-03-02,57
2025-03-09,56
2025-03-16,60
2025-03-23,60
2025-03-30,54
2025-04-06,56
2025-04-13,56
2025-04-20,59
2025-04-27,54
2025-05-04,55
2025-05-11,52
2025-05-18,55
2025-05-25,58
2025-06-01,54
2025-06-08,54
2025-06-15,54
2025-06-22,55
2025-06-29,54
2025-07-06,61
2025-07-13,61
2025-07-20,62
2025-07-27,68
