date,war in US
2020-08-02,12
2020-08-09,13
2020-08-16,14
2020-08-23,15
2020-08-30,18
2020-09-06,19
2020-09-13,20
2020-09-20,22
2020-09-27,21
2020-10-04,21
2020-10-11,18
2020-10-18,20
2020-10-25,20
2020-11-01,25
2020-11-08,24
2020-11-15,23
2020-11-22,16
2020-11-29,22
2020-12-06,27
2020-12-13,26
2020-12-20,12
2020-12-27,10
2021-01-03,20
2021-01-10,23
2021-01-17,23
2021-01-24,22
2021-01-31,22
2021-02-07,21
2021-02-14,19
2021-02-21,26
2021-02-28,23
2021-03-07,24
2021-03-14,20
2021-03-21,22
2021-03-28,21
2021-04-04,21
2021-04-11,24
2021-04-18,26
2021-04-25,26
2021-05-02,26
2021-05-09,24
2021-05-16,23
2021-05-23,20
2021-05-30,19
2021-06-06,15
2021-06-13,13
2021-06-20,12
2021-06-27,12
2021-07-04,12
2021-07-11,12
2021-07-18,11
2021-07-25,11
2021-08-01,10
2021-08-08,11
2021-08-15,22
2021-08-22,17
2021-08-29,17
2021-09-05,16
2021-09-12,16
2021-09-19,15
2021-09-26,15
2021-10-03,16
2021-10-10,15
2021-10-17,17
2021-10-24,17
2021-10-31,17
2021-11-07,19
2021-11-14,19
2021-11-21,12
2021-11-28,19
2021-12-05,21
2021-12-12,21
2021-12-19,10
2021-12-26,9
2022-01-02,18
2022-01-09,20
2022-01-16,20
2022-01-23,25
2022-01-30,24
2022-02-06,26
2022-02-13,31
2022-02-20,77
2022-02-27,66
2022-03-06,46
2022-03-13,38
2022-03-20,38
2022-03-27,46
2022-04-03,47
2022-04-10,40
2022-04-17,45
2022-04-24,51
2022-05-01,54
2022-05-08,50
2022-05-15,42
2022-05-22,35
2022-05-29,23
2022-06-05,22
2022-06-12,18
2022-06-19,16
2022-06-26,16
2022-07-03,15
2022-07-10,16
2022-07-17,14
2022-07-24,14
2022-07-31,17
2022-08-07,15
2022-08-14,15
2022-08-21,16
2022-08-28,18
2022-09-04,18
2022-09-11,21
2022-09-18,22
2022-09-25,22
2022-10-02,23
2022-10-09,29
2022-10-16,27
2022-10-23,27
2022-10-30,31
2022-11-06,31
2022-11-13,35
2022-11-20,18
2022-11-27,32
2022-12-04,35
2022-12-11,36
2022-12-18,17
2022-12-25,11
2023-01-01,20
2023-01-08,29
2023-01-15,28
2023-01-22,34
2023-01-29,36
2023-02-05,39
2023-02-12,37
2023-02-19,37
2023-02-26,40
2023-03-05,41
2023-03-12,34
2023-03-19,39
2023-03-26,40
2023-04-02,33
2023-04-09,38
2023-04-16,43
2023-04-23,43
2023-04-30,46
2023-05-07,43
2023-05-14,41
2023-05-21,31
2023-05-28,21
2023-06-04,20
2023-06-11,18
2023-06-18,16
2023-06-25,16
2023-07-02,15
2023-07-09,16
2023-07-16,15
2023-07-23,14
2023-07-30,13
2023-08-06,13
2023-08-13,15
2023-08-20,17
2023-08-27,19
2023-09-03,18
2023-09-10,22
2023-09-17,22
2023-09-24,22
2023-10-01,26
2023-10-08,51
2023-10-15,40
2023-10-22,41
2023-10-29,36
2023-11-05,37
2023-11-12,36
2023-11-19,18
2023-11-26,33
2023-12-03,38
2023-12-10,39
2023-12-17,21
2023-12-24,14
2023-12-31,20
2024-01-07,30
2024-01-14,29
2024-01-21,38
2024-01-28,44
2024-02-04,42
2024-02-11,37
2024-02-18,36
2024-02-25,45
2024-03-03,49
2024-03-10,36
2024-03-17,40
2024-03-24,35
2024-03-31,37
2024-04-07,49
2024-04-14,54
2024-04-21,50
2024-04-28,50
2024-05-05,52
2024-05-12,47
2024-05-19,37
2024-05-26,28
2024-06-02,25
2024-06-09,23
2024-06-16,21
2024-06-23,19
2024-06-30,18
2024-07-07,16
2024-07-14,16
2024-07-21,16
2024-07-28,15
2024-08-04,16
2024-08-11,17
2024-08-18,19
2024-08-25,21
2024-09-01,22
2024-09-08,25
2024-09-15,26
2024-09-22,26
2024-09-29,30
2024-10-06,25
2024-10-13,25
2024-10-20,30
2024-10-27,31
2024-11-03,42
2024-11-10,37
2024-11-17,40
2024-11-24,22
2024-12-01,36
2024-12-08,40
2024-12-15,28
2024-12-22,14
2024-12-29,15
2025-01-05,27
2025-01-12,33
2025-01-19,29
2025-01-26,40
2025-02-02,42
2025-02-09,37
2025-02-16,38
2025-02-23,45
2025-03-02,53
2025-03-09,42
2025-03-16,41
2025-03-23,41
2025-03-30,46
2025-04-06,50
2025-04-13,41
2025-04-20,44
2025-04-27,52
2025-05-04,55
2025-05-11,45
2025-05-18,36
2025-05-25,27
2025-06-01,27
2025-06-08,32
2025-06-15,68
2025-06-22,100
2025-06-29,23
2025-07-06,20
2025-07-13,19
2025-07-20,21
2025-07-27,24
