date,Beyonce
2020-08-02,34
2020-08-09,24
2020-08-16,20
2020-08-23,21
2020-08-30,26
2020-09-06,24
2020-09-13,21
2020-09-20,18
2020-09-27,17
2020-10-04,16
2020-10-11,15
2020-10-18,17
2020-10-25,18
2020-11-01,17
2020-11-08,18
2020-11-15,17
2020-11-22,20
2020-11-29,15
2020-12-06,15
2020-12-13,16
2020-12-20,16
2020-12-27,19
2021-01-03,17
2021-01-10,14
2021-01-17,17
2021-01-24,16
2021-01-31,16
2021-02-07,17
2021-02-14,18
2021-02-21,17
2021-02-28,15
2021-03-07,16
2021-03-14,37
2021-03-21,16
2021-03-28,18
2021-04-04,16
2021-04-11,15
2021-04-18,15
2021-04-25,15
2021-05-02,20
2021-05-09,17
2021-05-16,15
2021-05-23,14
2021-05-30,15
2021-06-06,14
2021-06-13,13
2021-06-20,14
2021-06-27,16
2021-07-04,14
2021-07-11,13
2021-07-18,13
2021-07-25,13
2021-08-01,14
2021-08-08,19
2021-08-15,16
2021-08-22,19
2021-08-29,22
2021-09-05,20
2021-09-12,18
2021-09-19,15
2021-09-26,14
2021-10-03,15
2021-10-10,15
2021-10-17,15
2021-10-24,13
2021-10-31,14
2021-11-07,14
2021-11-14,13
2021-11-21,14
2021-11-28,15
2021-12-05,16
2021-12-12,14
2021-12-19,14
2021-12-26,14
2022-01-02,14
2022-01-09,13
2022-01-16,12
2022-01-23,13
2022-01-30,15
2022-02-06,16
2022-02-13,19
2022-02-20,15
2022-02-27,14
2022-03-06,14
2022-03-13,13
2022-03-20,13
2022-03-27,25
2022-04-03,15
2022-04-10,14
2022-04-17,13
2022-04-24,13
2022-05-01,13
2022-05-08,12
2022-05-15,12
2022-05-22,13
2022-05-29,11
2022-06-05,13
2022-06-12,24
2022-06-19,32
2022-06-26,21
2022-07-03,17
2022-07-10,15
2022-07-17,16
2022-07-24,44
2022-07-31,52
2022-08-07,27
2022-08-14,20
2022-08-21,17
2022-08-28,17
2022-09-04,19
2022-09-11,17
2022-09-18,15
2022-09-25,15
2022-10-02,15
2022-10-09,16
2022-10-16,16
2022-10-23,18
2022-10-30,16
2022-11-06,14
2022-11-13,15
2022-11-20,13
2022-11-27,13
2022-12-04,13
2022-12-11,14
2022-12-18,14
2022-12-25,16
2023-01-01,14
2023-01-08,13
2023-01-15,14
2023-01-22,27
2023-01-29,75
2023-02-05,100
2023-02-12,43
2023-02-19,24
2023-02-26,18
2023-03-05,17
2023-03-12,16
2023-03-19,19
2023-03-26,16
2023-04-02,15
2023-04-09,14
2023-04-16,14
2023-04-23,16
2023-04-30,17
2023-05-07,31
2023-05-14,32
2023-05-21,35
2023-05-28,36
2023-06-04,30
2023-06-11,30
2023-06-18,32
2023-06-25,32
2023-07-02,24
2023-07-09,26
2023-07-16,26
2023-07-23,26
2023-07-30,33
2023-08-06,31
2023-08-13,31
2023-08-20,25
2023-08-27,28
2023-09-03,38
2023-09-10,25
2023-09-17,22
2023-09-24,25
2023-10-01,25
2023-10-08,19
2023-10-15,15
2023-10-22,17
2023-10-29,14
2023-11-05,15
2023-11-12,15
2023-11-19,16
2023-11-26,34
2023-12-03,30
2023-12-10,20
2023-12-17,25
2023-12-24,21
2023-12-31,17
2024-01-07,15
2024-01-14,13
2024-01-21,14
2024-01-28,14
2024-02-04,39
2024-02-11,63
2024-02-18,43
2024-02-25,36
2024-03-03,29
2024-03-10,24
2024-03-17,26
2024-03-24,58
2024-03-31,56
2024-04-07,31
2024-04-14,24
2024-04-21,25
2024-04-28,23
2024-05-05,19
2024-05-12,17
2024-05-19,17
2024-05-26,16
2024-06-02,15
2024-06-09,14
2024-06-16,14
2024-06-23,13
2024-06-30,12
2024-07-07,13
2024-07-14,12
2024-07-21,21
2024-07-28,19
2024-08-04,13
2024-08-11,12
2024-08-18,22
2024-08-25,13
2024-09-01,18
2024-09-08,17
2024-09-15,15
2024-09-22,27
2024-09-29,58
2024-10-06,55
2024-10-13,40
2024-10-20,37
2024-10-27,26
2024-11-03,21
2024-11-10,19
2024-11-17,17
2024-11-24,16
2024-12-01,14
2024-12-08,30
2024-12-15,17
2024-12-22,69
2024-12-29,30
2025-01-05,16
2025-01-12,17
2025-01-19,15
2025-01-26,13
2025-02-02,84
2025-02-09,52
2025-02-16,23
2025-02-23,16
2025-03-02,14
2025-03-09,14
2025-03-16,18
2025-03-23,13
2025-03-30,16
2025-04-06,13
2025-04-13,14
2025-04-20,15
2025-04-27,40
2025-05-04,30
2025-05-11,25
2025-05-18,25
2025-05-25,26
2025-06-01,23
2025-06-08,24
2025-06-15,26
2025-06-22,24
2025-06-29,24
2025-07-06,22
2025-07-13,22
2025-07-20,17
2025-07-27,21
