date,AbbVie news
2020-08-02,20
2020-08-09,17
2020-08-16,14
2020-08-23,14
2020-08-30,21
2020-09-06,18
2020-09-13,18
2020-09-20,16
2020-09-27,15
2020-10-04,14
2020-10-11,13
2020-10-18,17
2020-10-25,12
2020-11-01,18
2020-11-08,15
2020-11-15,23
2020-11-22,18
2020-11-29,16
2020-12-06,13
2020-12-13,27
2020-12-20,10
2020-12-27,18
2021-01-03,14
2021-01-10,23
2021-01-17,11
2021-01-24,16
2021-01-31,17
2021-02-07,13
2021-02-14,18
2021-02-21,17
2021-02-28,10
2021-03-07,12
2021-03-14,38
2021-03-21,17
2021-03-28,16
2021-04-04,18
2021-04-11,12
2021-04-18,13
2021-04-25,16
2021-05-02,12
2021-05-09,14
2021-05-16,22
2021-05-23,13
2021-05-30,13
2021-06-06,17
2021-06-13,12
2021-06-20,12
2021-06-27,8
2021-07-04,0
2021-07-11,11
2021-07-18,15
2021-07-25,16
2021-08-01,16
2021-08-08,14
2021-08-15,0
2021-08-22,19
2021-08-29,100
2021-09-05,28
2021-09-12,18
2021-09-19,12
2021-09-26,16
2021-10-03,16
2021-10-10,18
2021-10-17,12
2021-10-24,25
2021-10-31,10
2021-11-07,9
2021-11-14,13
2021-11-21,13
2021-11-28,13
2021-12-05,20
2021-12-12,22
2021-12-19,9
2021-12-26,14
2022-01-02,14
2022-01-09,10
2022-01-16,11
2022-01-23,7
2022-01-30,19
2022-02-06,9
2022-02-13,7
2022-02-20,13
2022-02-27,14
2022-03-06,11
2022-03-13,19
2022-03-20,14
2022-03-27,12
2022-04-03,14
2022-04-10,26
2022-04-17,14
2022-04-24,17
2022-05-01,13
2022-05-08,9
2022-05-15,13
2022-05-22,8
2022-05-29,9
2022-06-05,9
2022-06-12,12
2022-06-19,14
2022-06-26,10
2022-07-03,10
2022-07-10,16
2022-07-17,16
2022-07-24,17
2022-07-31,14
2022-08-07,10
2022-08-14,11
2022-08-21,8
2022-08-28,7
2022-09-04,9
2022-09-11,10
2022-09-18,12
2022-09-25,18
2022-10-02,8
2022-10-09,8
2022-10-16,10
2022-10-23,8
2022-10-30,11
2022-11-06,9
2022-11-13,12
2022-11-20,5
2022-11-27,11
2022-12-04,0
2022-12-11,9
2022-12-18,0
2022-12-25,0
2023-01-01,11
2023-01-08,17
2023-01-15,10
2023-01-22,0
2023-01-29,13
2023-02-05,17
2023-02-12,12
2023-02-19,0
2023-02-26,6
2023-03-05,8
2023-03-12,11
2023-03-19,6
2023-03-26,12
2023-04-02,12
2023-04-09,10
2023-04-16,14
2023-04-23,19
2023-04-30,12
2023-05-07,11
2023-05-14,11
2023-05-21,9
2023-05-28,18
2023-06-04,10
2023-06-11,16
2023-06-18,11
2023-06-25,8
2023-07-02,9
2023-07-09,9
2023-07-16,12
2023-07-23,16
2023-07-30,11
2023-08-06,12
2023-08-13,0
2023-08-20,8
2023-08-27,7
2023-09-03,8
2023-09-10,10
2023-09-17,9
2023-09-24,8
2023-10-01,9
2023-10-08,10
2023-10-15,10
2023-10-22,13
2023-10-29,8
2023-11-05,9
2023-11-12,10
2023-11-19,7
2023-11-26,19
2023-12-03,10
2023-12-10,13
2023-12-17,11
2023-12-24,0
2023-12-31,12
2024-01-07,8
2024-01-14,10
2024-01-21,9
2024-01-28,13
2024-02-04,13
2024-02-11,8
2024-02-18,11
2024-02-25,0
2024-03-03,8
2024-03-10,0
2024-03-17,12
2024-03-24,8
2024-03-31,21
2024-04-07,9
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,8
2024-05-12,9
2024-05-19,0
2024-05-26,8
2024-06-02,0
2024-06-09,10
2024-06-16,9
2024-06-23,9
2024-06-30,0
2024-07-07,8
2024-07-14,9
2024-07-21,9
2024-07-28,8
2024-08-04,10
2024-08-11,8
2024-08-18,14
2024-08-25,11
2024-09-01,0
2024-09-08,8
2024-09-15,9
2024-09-22,10
2024-09-29,7
2024-10-06,13
2024-10-13,7
2024-10-20,0
2024-10-27,17
2024-11-03,7
2024-11-10,54
2024-11-17,15
2024-11-24,10
2024-12-01,12
2024-12-08,13
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,17
2025-01-12,15
2025-01-19,12
2025-01-26,18
2025-02-02,14
2025-02-09,12
2025-02-16,8
2025-02-23,18
2025-03-02,10
2025-03-09,14
2025-03-16,8
2025-03-23,10
2025-03-30,20
2025-04-06,21
2025-04-13,8
2025-04-20,17
2025-04-27,11
2025-05-04,11
2025-05-11,22
2025-05-18,11
2025-05-25,10
2025-06-01,12
2025-06-08,10
2025-06-15,0
2025-06-22,10
2025-06-29,20
2025-07-06,18
2025-07-13,23
2025-07-20,21
2025-07-27,41
