date,foreign exchange
2020-08-02,48
2020-08-09,47
2020-08-16,47
2020-08-23,48
2020-08-30,41
2020-09-06,47
2020-09-13,47
2020-09-20,52
2020-09-27,50
2020-10-04,50
2020-10-11,48
2020-10-18,52
2020-10-25,47
2020-11-01,43
2020-11-08,45
2020-11-15,45
2020-11-22,46
2020-11-29,48
2020-12-06,49
2020-12-13,49
2020-12-20,41
2020-12-27,39
2021-01-03,43
2021-01-10,42
2021-01-17,45
2021-01-24,46
2021-01-31,44
2021-02-07,42
2021-02-14,47
2021-02-21,50
2021-02-28,46
2021-03-07,47
2021-03-14,50
2021-03-21,41
2021-03-28,44
2021-04-04,47
2021-04-11,47
2021-04-18,49
2021-04-25,48
2021-05-02,52
2021-05-09,51
2021-05-16,46
2021-05-23,45
2021-05-30,45
2021-06-06,46
2021-06-13,49
2021-06-20,44
2021-06-27,47
2021-07-04,43
2021-07-11,49
2021-07-18,50
2021-07-25,47
2021-08-01,44
2021-08-08,48
2021-08-15,45
2021-08-22,47
2021-08-29,48
2021-09-05,49
2021-09-12,49
2021-09-19,50
2021-09-26,51
2021-10-03,54
2021-10-10,49
2021-10-17,55
2021-10-24,53
2021-10-31,48
2021-11-07,50
2021-11-14,49
2021-11-21,49
2021-11-28,49
2021-12-05,51
2021-12-12,49
2021-12-19,48
2021-12-26,39
2022-01-02,46
2022-01-09,49
2022-01-16,45
2022-01-23,49
2022-01-30,47
2022-02-06,51
2022-02-13,57
2022-02-20,71
2022-02-27,69
2022-03-06,76
2022-03-13,66
2022-03-20,69
2022-03-27,74
2022-04-03,75
2022-04-10,66
2022-04-17,100
2022-04-24,76
2022-05-01,72
2022-05-08,76
2022-05-15,65
2022-05-22,62
2022-05-29,58
2022-06-05,63
2022-06-12,65
2022-06-19,66
2022-06-26,62
2022-07-03,65
2022-07-10,68
2022-07-17,68
2022-07-24,68
2022-07-31,65
2022-08-07,59
2022-08-14,60
2022-08-21,58
2022-08-28,68
2022-09-04,62
2022-09-11,68
2022-09-18,70
2022-09-25,72
2022-10-02,66
2022-10-09,69
2022-10-16,67
2022-10-23,62
2022-10-30,63
2022-11-06,65
2022-11-13,67
2022-11-20,55
2022-11-27,63
2022-12-04,67
2022-12-11,73
2022-12-18,56
2022-12-25,47
2023-01-01,53
2023-01-08,60
2023-01-15,60
2023-01-22,57
2023-01-29,64
2023-02-05,63
2023-02-12,59
2023-02-19,58
2023-02-26,65
2023-03-05,67
2023-03-12,73
2023-03-19,65
2023-03-26,66
2023-04-02,63
2023-04-09,66
2023-04-16,71
2023-04-23,65
2023-04-30,65
2023-05-07,63
2023-05-14,57
2023-05-21,65
2023-05-28,59
2023-06-04,62
2023-06-11,61
2023-06-18,63
2023-06-25,60
2023-07-02,55
2023-07-09,65
2023-07-16,56
2023-07-23,60
2023-07-30,56
2023-08-06,55
2023-08-13,56
2023-08-20,56
2023-08-27,53
2023-09-03,56
2023-09-10,58
2023-09-17,58
2023-09-24,56
2023-10-01,55
2023-10-08,57
2023-10-15,58
2023-10-22,51
2023-10-29,53
2023-11-05,52
2023-11-12,54
2023-11-19,51
2023-11-26,62
2023-12-03,64
2023-12-10,60
2023-12-17,49
2023-12-24,44
2023-12-31,49
2024-01-07,46
2024-01-14,47
2024-01-21,48
2024-01-28,51
2024-02-04,53
2024-02-11,51
2024-02-18,53
2024-02-25,51
2024-03-03,53
2024-03-10,52
2024-03-17,63
2024-03-24,51
2024-03-31,60
2024-04-07,57
2024-04-14,56
2024-04-21,61
2024-04-28,60
2024-05-05,59
2024-05-12,53
2024-05-19,49
2024-05-26,53
2024-06-02,50
2024-06-09,53
2024-06-16,49
2024-06-23,51
2024-06-30,48
2024-07-07,45
2024-07-14,49
2024-07-21,47
2024-07-28,57
2024-08-04,47
2024-08-11,51
2024-08-18,49
2024-08-25,50
2024-09-01,48
2024-09-08,49
2024-09-15,52
2024-09-22,53
2024-09-29,50
2024-10-06,48
2024-10-13,49
2024-10-20,50
2024-10-27,48
2024-11-03,50
2024-11-10,53
2024-11-17,52
2024-11-24,48
2024-12-01,49
2024-12-08,54
2024-12-15,47
2024-12-22,44
2024-12-29,44
2025-01-05,48
2025-01-12,53
2025-01-19,52
2025-01-26,49
2025-02-02,54
2025-02-09,45
2025-02-16,48
2025-02-23,51
2025-03-02,53
2025-03-09,51
2025-03-16,62
2025-03-23,47
2025-03-30,53
2025-04-06,61
2025-04-13,53
2025-04-20,54
2025-04-27,54
2025-05-04,54
2025-05-11,59
2025-05-18,52
2025-05-25,48
2025-06-01,49
2025-06-08,60
2025-06-15,53
2025-06-22,52
2025-06-29,47
2025-07-06,53
2025-07-13,60
2025-07-20,65
2025-07-27,87
