date,ASML
2020-08-02,8
2020-08-09,7
2020-08-16,8
2020-08-23,7
2020-08-30,8
2020-09-06,7
2020-09-13,7
2020-09-20,6
2020-09-27,6
2020-10-04,6
2020-10-11,9
2020-10-18,6
2020-10-25,6
2020-11-01,6
2020-11-08,7
2020-11-15,7
2020-11-22,6
2020-11-29,7
2020-12-06,7
2020-12-13,6
2020-12-20,5
2020-12-27,6
2021-01-03,8
2021-01-10,9
2021-01-17,13
2021-01-24,10
2021-01-31,10
2021-02-07,9
2021-02-14,11
2021-02-21,10
2021-02-28,10
2021-03-07,10
2021-03-14,9
2021-03-21,12
2021-03-28,11
2021-04-04,10
2021-04-11,10
2021-04-18,14
2021-04-25,10
2021-05-02,10
2021-05-09,11
2021-05-16,10
2021-05-23,9
2021-05-30,9
2021-06-06,9
2021-06-13,10
2021-06-20,9
2021-06-27,9
2021-07-04,11
2021-07-11,11
2021-07-18,15
2021-07-25,12
2021-08-01,12
2021-08-08,11
2021-08-15,10
2021-08-22,13
2021-08-29,13
2021-09-05,14
2021-09-12,16
2021-09-19,14
2021-09-26,21
2021-10-03,17
2021-10-10,15
2021-10-17,21
2021-10-24,15
2021-10-31,14
2021-11-07,14
2021-11-14,15
2021-11-21,15
2021-11-28,15
2021-12-05,14
2021-12-12,14
2021-12-19,12
2021-12-26,12
2022-01-02,18
2022-01-09,16
2022-01-16,20
2022-01-23,19
2022-01-30,16
2022-02-06,15
2022-02-13,15
2022-02-20,14
2022-02-27,13
2022-03-06,13
2022-03-13,14
2022-03-20,16
2022-03-27,14
2022-04-03,13
2022-04-10,11
2022-04-17,15
2022-04-24,12
2022-05-01,11
2022-05-08,13
2022-05-15,12
2022-05-22,11
2022-05-29,11
2022-06-05,10
2022-06-12,12
2022-06-19,12
2022-06-26,11
2022-07-03,14
2022-07-10,10
2022-07-17,16
2022-07-24,12
2022-07-31,14
2022-08-07,12
2022-08-14,12
2022-08-21,10
2022-08-28,11
2022-09-04,10
2022-09-11,12
2022-09-18,12
2022-09-25,13
2022-10-02,11
2022-10-09,18
2022-10-16,20
2022-10-23,15
2022-10-30,12
2022-11-06,15
2022-11-13,19
2022-11-20,11
2022-11-27,12
2022-12-04,14
2022-12-11,12
2022-12-18,11
2022-12-25,11
2023-01-01,12
2023-01-08,15
2023-01-15,15
2023-01-22,22
2023-01-29,18
2023-02-05,17
2023-02-12,16
2023-02-19,13
2023-02-26,13
2023-03-05,16
2023-03-12,13
2023-03-19,12
2023-03-26,12
2023-04-02,12
2023-04-09,12
2023-04-16,18
2023-04-23,13
2023-04-30,11
2023-05-07,11
2023-05-14,10
2023-05-21,15
2023-05-28,13
2023-06-04,12
2023-06-11,12
2023-06-18,11
2023-06-25,12
2023-07-02,11
2023-07-09,12
2023-07-16,19
2023-07-23,14
2023-07-30,11
2023-08-06,12
2023-08-13,11
2023-08-20,11
2023-08-27,12
2023-09-03,13
2023-09-10,13
2023-09-17,14
2023-09-24,13
2023-10-01,11
2023-10-08,12
2023-10-15,16
2023-10-22,12
2023-10-29,11
2023-11-05,11
2023-11-12,12
2023-11-19,12
2023-11-26,12
2023-12-03,11
2023-12-10,14
2023-12-17,11
2023-12-24,10
2023-12-31,13
2024-01-07,13
2024-01-14,11
2024-01-21,29
2024-01-28,20
2024-02-04,21
2024-02-11,23
2024-02-18,20
2024-02-25,21
2024-03-03,28
2024-03-10,22
2024-03-17,19
2024-03-24,18
2024-03-31,16
2024-04-07,16
2024-04-14,31
2024-04-21,20
2024-04-28,15
2024-05-05,13
2024-05-12,14
2024-05-19,16
2024-05-26,15
2024-06-02,23
2024-06-09,21
2024-06-16,19
2024-06-23,15
2024-06-30,15
2024-07-07,18
2024-07-14,45
2024-07-21,24
2024-07-28,26
2024-08-04,28
2024-08-11,19
2024-08-18,18
2024-08-25,19
2024-09-01,24
2024-09-08,25
2024-09-15,21
2024-09-22,20
2024-09-29,17
2024-10-06,19
2024-10-13,100
2024-10-20,36
2024-10-27,29
2024-11-03,30
2024-11-10,34
2024-11-17,31
2024-11-24,28
2024-12-01,32
2024-12-08,24
2024-12-15,29
2024-12-22,19
2024-12-29,21
2025-01-05,33
2025-01-12,27
2025-01-19,28
2025-01-26,74
2025-02-02,29
2025-02-09,26
2025-02-16,23
2025-02-23,24
2025-03-02,25
2025-03-09,26
2025-03-16,22
2025-03-23,22
2025-03-30,30
2025-04-06,37
2025-04-13,37
2025-04-20,23
2025-04-27,19
2025-05-04,20
2025-05-11,25
2025-05-18,20
2025-05-25,20
2025-06-01,19
2025-06-08,25
2025-06-15,19
2025-06-22,24
2025-06-29,20
2025-07-06,20
2025-07-13,61
2025-07-20,38
2025-07-27,37
