date,Merck stock price
2020-08-02,27
2020-08-09,19
2020-08-16,21
2020-08-23,18
2020-08-30,20
2020-09-06,14
2020-09-13,18
2020-09-20,16
2020-09-27,14
2020-10-04,16
2020-10-11,16
2020-10-18,17
2020-10-25,15
2020-11-01,15
2020-11-08,24
2020-11-15,24
2020-11-22,20
2020-11-29,26
2020-12-06,23
2020-12-13,21
2020-12-20,18
2020-12-27,17
2021-01-03,19
2021-01-10,17
2021-01-17,17
2021-01-24,27
2021-01-31,24
2021-02-07,17
2021-02-14,22
2021-02-21,23
2021-02-28,35
2021-03-07,36
2021-03-14,26
2021-03-21,20
2021-03-28,21
2021-04-04,23
2021-04-11,22
2021-04-18,20
2021-04-25,24
2021-05-02,23
2021-05-09,25
2021-05-16,23
2021-05-23,22
2021-05-30,20
2021-06-06,23
2021-06-13,21
2021-06-20,18
2021-06-27,16
2021-07-04,16
2021-07-11,17
2021-07-18,20
2021-07-25,21
2021-08-01,20
2021-08-08,20
2021-08-15,18
2021-08-22,19
2021-08-29,19
2021-09-05,18
2021-09-12,16
2021-09-19,21
2021-09-26,80
2021-10-03,100
2021-10-10,68
2021-10-17,44
2021-10-24,48
2021-10-31,74
2021-11-07,52
2021-11-14,43
2021-11-21,33
2021-11-28,52
2021-12-05,39
2021-12-12,38
2021-12-19,38
2021-12-26,38
2022-01-02,30
2022-01-09,30
2022-01-16,25
2022-01-23,27
2022-01-30,27
2022-02-06,25
2022-02-13,21
2022-02-20,21
2022-02-27,23
2022-03-06,24
2022-03-13,25
2022-03-20,28
2022-03-27,25
2022-04-03,24
2022-04-10,20
2022-04-17,21
2022-04-24,24
2022-05-01,25
2022-05-08,25
2022-05-15,25
2022-05-22,26
2022-05-29,17
2022-06-05,20
2022-06-12,18
2022-06-19,21
2022-06-26,22
2022-07-03,17
2022-07-10,20
2022-07-17,17
2022-07-24,22
2022-07-31,19
2022-08-07,20
2022-08-14,19
2022-08-21,17
2022-08-28,13
2022-09-04,11
2022-09-11,15
2022-09-18,17
2022-09-25,12
2022-10-02,15
2022-10-09,17
2022-10-16,17
2022-10-23,21
2022-10-30,18
2022-11-06,21
2022-11-13,17
2022-11-20,16
2022-11-27,22
2022-12-04,17
2022-12-11,21
2022-12-18,17
2022-12-25,16
2023-01-01,16
2023-01-08,23
2023-01-15,14
2023-01-22,20
2023-01-29,24
2023-02-05,16
2023-02-12,18
2023-02-19,14
2023-02-26,14
2023-03-05,18
2023-03-12,15
2023-03-19,16
2023-03-26,16
2023-04-02,12
2023-04-09,18
2023-04-16,21
2023-04-23,18
2023-04-30,18
2023-05-07,14
2023-05-14,18
2023-05-21,15
2023-05-28,15
2023-06-04,16
2023-06-11,15
2023-06-18,12
2023-06-25,17
2023-07-02,12
2023-07-09,13
2023-07-16,17
2023-07-23,14
2023-07-30,17
2023-08-06,15
2023-08-13,14
2023-08-20,13
2023-08-27,15
2023-09-03,10
2023-09-10,13
2023-09-17,13
2023-09-24,12
2023-10-01,11
2023-10-08,11
2023-10-15,13
2023-10-22,14
2023-10-29,13
2023-11-05,12
2023-11-12,10
2023-11-19,10
2023-11-26,14
2023-12-03,14
2023-12-10,16
2023-12-17,15
2023-12-24,12
2023-12-31,16
2024-01-07,18
2024-01-14,17
2024-01-21,15
2024-01-28,18
2024-02-04,16
2024-02-11,16
2024-02-18,16
2024-02-25,16
2024-03-03,15
2024-03-10,13
2024-03-17,16
2024-03-24,17
2024-03-31,13
2024-04-07,12
2024-04-14,11
2024-04-21,14
2024-04-28,13
2024-05-05,15
2024-05-12,14
2024-05-19,13
2024-05-26,12
2024-06-02,11
2024-06-09,13
2024-06-16,14
2024-06-23,16
2024-06-30,11
2024-07-07,12
2024-07-14,11
2024-07-21,12
2024-07-28,16
2024-08-04,16
2024-08-11,15
2024-08-18,13
2024-08-25,13
2024-09-01,11
2024-09-08,14
2024-09-15,15
2024-09-22,14
2024-09-29,14
2024-10-06,14
2024-10-13,15
2024-10-20,13
2024-10-27,14
2024-11-03,15
2024-11-10,15
2024-11-17,20
2024-11-24,14
2024-12-01,17
2024-12-08,15
2024-12-15,17
2024-12-22,12
2024-12-29,13
2025-01-05,14
2025-01-12,16
2025-01-19,16
2025-01-26,20
2025-02-02,26
2025-02-09,24
2025-02-16,21
2025-02-23,21
2025-03-02,20
2025-03-09,24
2025-03-16,20
2025-03-23,17
2025-03-30,24
2025-04-06,31
2025-04-13,21
2025-04-20,24
2025-04-27,20
2025-05-04,17
2025-05-11,29
2025-05-18,20
2025-05-25,18
2025-06-01,20
2025-06-08,22
2025-06-15,18
2025-06-22,18
2025-06-29,14
2025-07-06,25
2025-07-13,19
2025-07-20,26
2025-07-27,41
