date,Megan Thee Stallion
2020-08-02,58
2020-08-09,63
2020-08-16,71
2020-08-23,47
2020-08-30,36
2020-09-06,30
2020-09-13,25
2020-09-20,33
2020-09-27,30
2020-10-04,55
2020-10-11,29
2020-10-18,22
2020-10-25,23
2020-11-01,16
2020-11-08,18
2020-11-15,41
2020-11-22,61
2020-11-29,39
2020-12-06,42
2020-12-13,35
2020-12-20,32
2020-12-27,41
2021-01-03,25
2021-01-10,24
2021-01-17,23
2021-01-24,21
2021-01-31,25
2021-02-07,24
2021-02-14,33
2021-02-21,24
2021-02-28,21
2021-03-07,19
2021-03-14,82
2021-03-21,24
2021-03-28,24
2021-04-04,20
2021-04-11,17
2021-04-18,18
2021-04-25,16
2021-05-02,16
2021-05-09,14
2021-05-16,12
2021-05-23,15
2021-05-30,14
2021-06-06,22
2021-06-13,24
2021-06-20,24
2021-06-27,33
2021-07-04,21
2021-07-11,18
2021-07-18,28
2021-07-25,22
2021-08-01,17
2021-08-08,17
2021-08-15,15
2021-08-22,34
2021-08-29,19
2021-09-05,17
2021-09-12,25
2021-09-19,20
2021-09-26,13
2021-10-03,19
2021-10-10,22
2021-10-17,27
2021-10-24,46
2021-10-31,29
2021-11-07,26
2021-11-14,21
2021-11-21,19
2021-11-28,25
2021-12-05,20
2021-12-12,51
2021-12-19,18
2021-12-26,15
2022-01-02,13
2022-01-09,12
2022-01-16,14
2022-01-23,11
2022-01-30,10
2022-02-06,11
2022-02-13,16
2022-02-20,16
2022-02-27,11
2022-03-06,13
2022-03-13,20
2022-03-20,25
2022-03-27,20
2022-04-03,19
2022-04-10,12
2022-04-17,19
2022-04-24,25
2022-05-01,17
2022-05-08,21
2022-05-15,25
2022-05-22,14
2022-05-29,16
2022-06-05,13
2022-06-12,14
2022-06-19,15
2022-06-26,22
2022-07-03,13
2022-07-10,13
2022-07-17,12
2022-07-24,11
2022-07-31,9
2022-08-07,27
2022-08-14,23
2022-08-21,22
2022-08-28,57
2022-09-04,33
2022-09-11,26
2022-09-18,21
2022-09-25,16
2022-10-02,14
2022-10-09,15
2022-10-16,25
2022-10-23,13
2022-10-30,23
2022-11-06,17
2022-11-13,10
2022-11-20,9
2022-11-27,10
2022-12-04,9
2022-12-11,34
2022-12-18,69
2022-12-25,33
2023-01-01,13
2023-01-08,11
2023-01-15,9
2023-01-22,7
2023-01-29,8
2023-02-05,8
2023-02-12,10
2023-02-19,7
2023-02-26,7
2023-03-05,7
2023-03-12,9
2023-03-19,7
2023-03-26,18
2023-04-02,20
2023-04-09,11
2023-04-16,9
2023-04-23,7
2023-04-30,7
2023-05-07,7
2023-05-14,6
2023-05-21,6
2023-05-28,43
2023-06-04,14
2023-06-11,11
2023-06-18,8
2023-06-25,7
2023-07-02,7
2023-07-09,6
2023-07-16,7
2023-07-23,7
2023-07-30,6
2023-08-06,40
2023-08-13,9
2023-08-20,6
2023-08-27,8
2023-09-03,11
2023-09-10,17
2023-09-17,14
2023-09-24,12
2023-10-01,7
2023-10-08,7
2023-10-15,8
2023-10-22,9
2023-10-29,15
2023-11-05,16
2023-11-12,12
2023-11-19,13
2023-11-26,8
2023-12-03,7
2023-12-10,8
2023-12-17,9
2023-12-24,9
2023-12-31,19
2024-01-07,10
2024-01-14,8
2024-01-21,38
2024-01-28,100
2024-02-04,27
2024-02-11,18
2024-02-18,13
2024-02-25,10
2024-03-03,13
2024-03-10,11
2024-03-17,23
2024-03-24,14
2024-03-31,10
2024-04-07,22
2024-04-14,11
2024-04-21,21
2024-04-28,12
2024-05-05,20
2024-05-12,22
2024-05-19,18
2024-05-26,20
2024-06-02,33
2024-06-09,25
2024-06-16,16
2024-06-23,22
2024-06-30,40
2024-07-07,39
2024-07-14,33
2024-07-21,23
2024-07-28,34
2024-08-04,23
2024-08-11,22
2024-08-18,18
2024-08-25,18
2024-09-01,22
2024-09-08,26
2024-09-15,17
2024-09-22,13
2024-09-29,13
2024-10-06,12
2024-10-13,10
2024-10-20,15
2024-10-27,28
2024-11-03,23
2024-11-10,15
2024-11-17,10
2024-11-24,10
2024-12-01,9
2024-12-08,10
2024-12-15,10
2024-12-22,10
2024-12-29,9
2025-01-05,11
2025-01-12,10
2025-01-19,8
2025-01-26,10
2025-02-02,9
2025-02-09,10
2025-02-16,10
2025-02-23,8
2025-03-02,14
2025-03-09,8
2025-03-16,9
2025-03-23,7
2025-03-30,7
2025-04-06,7
2025-04-13,13
2025-04-20,11
2025-04-27,9
2025-05-04,10
2025-05-11,23
2025-05-18,13
2025-05-25,12
2025-06-01,10
2025-06-08,8
2025-06-15,21
2025-06-22,14
2025-06-29,10
2025-07-06,14
2025-07-13,38
2025-07-20,16
2025-07-27,11
