date,war in Ethiopia
2020-08-02,0
2020-08-09,7
2020-08-16,7
2020-08-23,7
2020-08-30,8
2020-09-06,0
2020-09-13,10
2020-09-20,9
2020-09-27,9
2020-10-04,11
2020-10-11,11
2020-10-18,15
2020-10-25,11
2020-11-01,57
2020-11-08,82
2020-11-15,89
2020-11-22,78
2020-11-29,44
2020-12-06,34
2020-12-13,27
2020-12-20,20
2020-12-27,19
2021-01-03,17
2021-01-10,17
2021-01-17,19
2021-01-24,25
2021-01-31,18
2021-02-07,18
2021-02-14,17
2021-02-21,27
2021-02-28,24
2021-03-07,22
2021-03-14,20
2021-03-21,26
2021-03-28,25
2021-04-04,19
2021-04-11,15
2021-04-18,19
2021-04-25,22
2021-05-02,17
2021-05-09,22
2021-05-16,20
2021-05-23,21
2021-05-30,19
2021-06-06,19
2021-06-13,20
2021-06-20,12
2021-06-27,26
2021-07-04,21
2021-07-11,22
2021-07-18,20
2021-07-25,20
2021-08-01,19
2021-08-08,26
2021-08-15,23
2021-08-22,23
2021-08-29,18
2021-09-05,20
2021-09-12,20
2021-09-19,12
2021-09-26,14
2021-10-03,21
2021-10-10,20
2021-10-17,26
2021-10-24,24
2021-10-31,100
2021-11-07,79
2021-11-14,53
2021-11-21,62
2021-11-28,51
2021-12-05,36
2021-12-12,44
2021-12-19,31
2021-12-26,25
2022-01-02,29
2022-01-09,34
2022-01-16,27
2022-01-23,30
2022-01-30,25
2022-02-06,28
2022-02-13,26
2022-02-20,38
2022-02-27,48
2022-03-06,48
2022-03-13,48
2022-03-20,54
2022-03-27,47
2022-04-03,49
2022-04-10,39
2022-04-17,44
2022-04-24,40
2022-05-01,43
2022-05-08,38
2022-05-15,45
2022-05-22,37
2022-05-29,28
2022-06-05,26
2022-06-12,19
2022-06-19,22
2022-06-26,16
2022-07-03,20
2022-07-10,13
2022-07-17,17
2022-07-24,18
2022-07-31,14
2022-08-07,14
2022-08-14,16
2022-08-21,28
2022-08-28,40
2022-09-04,28
2022-09-11,28
2022-09-18,34
2022-09-25,33
2022-10-02,28
2022-10-09,39
2022-10-16,47
2022-10-23,69
2022-10-30,61
2022-11-06,44
2022-11-13,41
2022-11-20,28
2022-11-27,34
2022-12-04,36
2022-12-11,31
2022-12-18,25
2022-12-25,20
2023-01-01,26
2023-01-08,31
2023-01-15,25
2023-01-22,29
2023-01-29,25
2023-02-05,28
2023-02-12,32
2023-02-19,28
2023-02-26,35
2023-03-05,39
2023-03-12,24
2023-03-19,37
2023-03-26,34
2023-04-02,35
2023-04-09,33
2023-04-16,41
2023-04-23,31
2023-04-30,33
2023-05-07,33
2023-05-14,34
2023-05-21,26
2023-05-28,24
2023-06-04,25
2023-06-11,19
2023-06-18,21
2023-06-25,15
2023-07-02,15
2023-07-09,12
2023-07-16,14
2023-07-23,13
2023-07-30,18
2023-08-06,22
2023-08-13,17
2023-08-20,17
2023-08-27,19
2023-09-03,21
2023-09-10,19
2023-09-17,17
2023-09-24,22
2023-10-01,22
2023-10-08,29
2023-10-15,27
2023-10-22,31
2023-10-29,33
2023-11-05,32
2023-11-12,25
2023-11-19,23
2023-11-26,35
2023-12-03,31
2023-12-10,31
2023-12-17,19
2023-12-24,20
2023-12-31,25
2024-01-07,25
2024-01-14,29
2024-01-21,29
2024-01-28,31
2024-02-04,37
2024-02-11,32
2024-02-18,31
2024-02-25,33
2024-03-03,34
2024-03-10,28
2024-03-17,30
2024-03-24,36
2024-03-31,29
2024-04-07,30
2024-04-14,40
2024-04-21,41
2024-04-28,43
2024-05-05,32
2024-05-12,36
2024-05-19,24
2024-05-26,23
2024-06-02,19
2024-06-09,25
2024-06-16,18
2024-06-23,20
2024-06-30,16
2024-07-07,14
2024-07-14,13
2024-07-21,11
2024-07-28,16
2024-08-04,14
2024-08-11,14
2024-08-18,15
2024-08-25,19
2024-09-01,25
2024-09-08,19
2024-09-15,18
2024-09-22,23
2024-09-29,17
2024-10-06,22
2024-10-13,19
2024-10-20,25
2024-10-27,27
2024-11-03,24
2024-11-10,25
2024-11-17,21
2024-11-24,16
2024-12-01,27
2024-12-08,35
2024-12-15,25
2024-12-22,20
2024-12-29,19
2025-01-05,23
2025-01-12,25
2025-01-19,22
2025-01-26,22
2025-02-02,26
2025-02-09,30
2025-02-16,30
2025-02-23,31
2025-03-02,36
2025-03-09,33
2025-03-16,30
2025-03-23,33
2025-03-30,30
2025-04-06,31
2025-04-13,28
2025-04-20,29
2025-04-27,33
2025-05-04,41
2025-05-11,32
2025-05-18,23
2025-05-25,21
2025-06-01,20
2025-06-08,22
2025-06-15,28
2025-06-22,25
2025-06-29,22
2025-07-06,19
2025-07-13,21
2025-07-20,26
2025-07-27,27
