date,Billie Eilish
2020-08-02,36
2020-08-09,32
2020-08-16,39
2020-08-23,31
2020-08-30,30
2020-09-06,28
2020-09-13,30
2020-09-20,28
2020-09-27,28
2020-10-04,26
2020-10-11,69
2020-10-18,43
2020-10-25,31
2020-11-01,31
2020-11-08,37
2020-11-15,40
2020-11-22,37
2020-11-29,46
2020-12-06,38
2020-12-13,45
2020-12-20,45
2020-12-27,43
2021-01-03,29
2021-01-10,27
2021-01-17,33
2021-01-24,31
2021-01-31,27
2021-02-07,26
2021-02-14,25
2021-02-21,39
2021-02-28,39
2021-03-07,31
2021-03-14,62
2021-03-21,35
2021-03-28,29
2021-04-04,29
2021-04-11,23
2021-04-18,26
2021-04-25,44
2021-05-02,100
2021-05-09,42
2021-05-16,35
2021-05-23,39
2021-05-30,42
2021-06-06,41
2021-06-13,53
2021-06-20,41
2021-06-27,26
2021-07-04,29
2021-07-11,30
2021-07-18,26
2021-07-25,40
2021-08-01,47
2021-08-08,34
2021-08-15,27
2021-08-22,27
2021-08-29,30
2021-09-05,31
2021-09-12,56
2021-09-19,43
2021-09-26,41
2021-10-03,35
2021-10-10,36
2021-10-17,29
2021-10-24,28
2021-10-31,26
2021-11-07,31
2021-11-14,31
2021-11-21,26
2021-11-28,31
2021-12-05,26
2021-12-12,58
2021-12-19,33
2021-12-26,30
2022-01-02,22
2022-01-09,21
2022-01-16,20
2022-01-23,22
2022-01-30,22
2022-02-06,30
2022-02-13,28
2022-02-20,22
2022-02-27,19
2022-03-06,21
2022-03-13,22
2022-03-20,22
2022-03-27,45
2022-04-03,36
2022-04-10,24
2022-04-17,27
2022-04-24,27
2022-05-01,33
2022-05-08,22
2022-05-15,20
2022-05-22,23
2022-05-29,21
2022-06-05,21
2022-06-12,24
2022-06-19,37
2022-06-26,28
2022-07-03,23
2022-07-10,19
2022-07-17,24
2022-07-24,23
2022-07-31,21
2022-08-07,21
2022-08-14,30
2022-08-21,23
2022-08-28,21
2022-09-04,21
2022-09-11,22
2022-09-18,20
2022-09-25,22
2022-10-02,20
2022-10-09,22
2022-10-16,30
2022-10-23,24
2022-10-30,31
2022-11-06,28
2022-11-13,21
2022-11-20,21
2022-11-27,26
2022-12-04,23
2022-12-11,31
2022-12-18,30
2022-12-25,24
2023-01-01,21
2023-01-08,20
2023-01-15,19
2023-01-22,20
2023-01-29,16
2023-02-05,16
2023-02-12,15
2023-02-19,16
2023-02-26,15
2023-03-05,14
2023-03-12,22
2023-03-19,26
2023-03-26,26
2023-04-02,20
2023-04-09,17
2023-04-16,15
2023-04-23,15
2023-04-30,21
2023-05-07,16
2023-05-14,17
2023-05-21,16
2023-05-28,20
2023-06-04,15
2023-06-11,22
2023-06-18,24
2023-06-25,21
2023-07-02,18
2023-07-09,22
2023-07-16,20
2023-07-23,23
2023-07-30,24
2023-08-06,25
2023-08-13,26
2023-08-20,24
2023-08-27,24
2023-09-03,18
2023-09-10,16
2023-09-17,16
2023-09-24,15
2023-10-01,16
2023-10-08,15
2023-10-15,18
2023-10-22,15
2023-10-29,16
2023-11-05,17
2023-11-12,22
2023-11-19,18
2023-11-26,21
2023-12-03,36
2023-12-10,20
2023-12-17,25
2023-12-24,20
2023-12-31,17
2024-01-07,23
2024-01-14,17
2024-01-21,19
2024-01-28,19
2024-02-04,34
2024-02-11,17
2024-02-18,17
2024-02-25,16
2024-03-03,15
2024-03-10,46
2024-03-17,17
2024-03-24,17
2024-03-31,25
2024-04-07,26
2024-04-14,21
2024-04-21,31
2024-04-28,59
2024-05-05,34
2024-05-12,56
2024-05-19,61
2024-05-26,40
2024-06-02,37
2024-06-09,40
2024-06-16,33
2024-06-23,29
2024-06-30,30
2024-07-07,31
2024-07-14,30
2024-07-21,28
2024-07-28,31
2024-08-04,33
2024-08-11,52
2024-08-18,33
2024-08-25,31
2024-09-01,26
2024-09-08,27
2024-09-15,30
2024-09-22,30
2024-09-29,47
2024-10-06,38
2024-10-13,38
2024-10-20,36
2024-10-27,30
2024-11-03,35
2024-11-10,34
2024-11-17,35
2024-11-24,33
2024-12-01,33
2024-12-08,38
2024-12-15,43
2024-12-22,38
2024-12-29,34
2025-01-05,28
2025-01-12,25
2025-01-19,23
2025-01-26,28
2025-02-02,65
2025-02-09,37
2025-02-16,32
2025-02-23,33
2025-03-02,31
2025-03-09,25
2025-03-16,25
2025-03-23,25
2025-03-30,25
2025-04-06,23
2025-04-13,26
2025-04-20,28
2025-04-27,28
2025-05-04,30
2025-05-11,28
2025-05-18,39
2025-05-25,32
2025-06-01,29
2025-06-08,43
2025-06-15,27
2025-06-22,21
2025-06-29,22
2025-07-06,25
2025-07-13,25
2025-07-20,25
2025-07-27,25
