date,Wells Fargo stock price
2020-08-02,59
2020-08-09,65
2020-08-16,57
2020-08-23,57
2020-08-30,60
2020-09-06,45
2020-09-13,46
2020-09-20,45
2020-09-27,40
2020-10-04,45
2020-10-11,54
2020-10-18,44
2020-10-25,49
2020-11-01,46
2020-11-08,57
2020-11-15,57
2020-11-22,53
2020-11-29,63
2020-12-06,57
2020-12-13,57
2020-12-20,46
2020-12-27,47
2021-01-03,68
2021-01-10,70
2021-01-17,54
2021-01-24,61
2021-01-31,59
2021-02-07,54
2021-02-14,58
2021-02-21,63
2021-02-28,62
2021-03-07,62
2021-03-14,61
2021-03-21,50
2021-03-28,48
2021-04-04,45
2021-04-11,63
2021-04-18,50
2021-04-25,53
2021-05-02,60
2021-05-09,54
2021-05-16,52
2021-05-23,47
2021-05-30,38
2021-06-06,41
2021-06-13,40
2021-06-20,43
2021-06-27,43
2021-07-04,37
2021-07-11,46
2021-07-18,38
2021-07-25,36
2021-08-01,37
2021-08-08,44
2021-08-15,40
2021-08-22,41
2021-08-29,40
2021-09-05,27
2021-09-12,39
2021-09-19,35
2021-09-26,36
2021-10-03,26
2021-10-10,41
2021-10-17,39
2021-10-24,39
2021-10-31,43
2021-11-07,35
2021-11-14,33
2021-11-21,27
2021-11-28,34
2021-12-05,40
2021-12-12,30
2021-12-19,34
2021-12-26,32
2022-01-02,39
2022-01-09,49
2022-01-16,35
2022-01-23,45
2022-01-30,37
2022-02-06,40
2022-02-13,34
2022-02-20,34
2022-02-27,37
2022-03-06,36
2022-03-13,37
2022-03-20,31
2022-03-27,29
2022-04-03,28
2022-04-10,27
2022-04-17,28
2022-04-24,29
2022-05-01,30
2022-05-08,30
2022-05-15,32
2022-05-22,32
2022-05-29,23
2022-06-05,28
2022-06-12,32
2022-06-19,28
2022-06-26,28
2022-07-03,22
2022-07-10,25
2022-07-17,29
2022-07-24,29
2022-07-31,24
2022-08-07,28
2022-08-14,27
2022-08-21,23
2022-08-28,20
2022-09-04,19
2022-09-11,21
2022-09-18,20
2022-09-25,21
2022-10-02,20
2022-10-09,21
2022-10-16,23
2022-10-23,27
2022-10-30,20
2022-11-06,22
2022-11-13,21
2022-11-20,14
2022-11-27,20
2022-12-04,17
2022-12-11,19
2022-12-18,22
2022-12-25,15
2023-01-01,19
2023-01-08,23
2023-01-15,16
2023-01-22,20
2023-01-29,24
2023-02-05,19
2023-02-12,15
2023-02-19,14
2023-02-26,15
2023-03-05,32
2023-03-12,100
2023-03-19,45
2023-03-26,34
2023-04-02,24
2023-04-09,31
2023-04-16,27
2023-04-23,25
2023-04-30,38
2023-05-07,27
2023-05-14,25
2023-05-21,21
2023-05-28,19
2023-06-04,23
2023-06-11,26
2023-06-18,18
2023-06-25,22
2023-07-02,20
2023-07-09,24
2023-07-16,28
2023-07-23,24
2023-07-30,19
2023-08-06,24
2023-08-13,19
2023-08-20,19
2023-08-27,19
2023-09-03,13
2023-09-10,18
2023-09-17,17
2023-09-24,18
2023-10-01,15
2023-10-08,17
2023-10-15,19
2023-10-22,18
2023-10-29,20
2023-11-05,17
2023-11-12,17
2023-11-19,14
2023-11-26,20
2023-12-03,17
2023-12-10,23
2023-12-17,20
2023-12-24,18
2023-12-31,20
2024-01-07,25
2024-01-14,17
2024-01-21,18
2024-01-28,19
2024-02-04,16
2024-02-11,21
2024-02-18,19
2024-02-25,24
2024-03-03,23
2024-03-10,21
2024-03-17,21
2024-03-24,22
2024-03-31,19
2024-04-07,23
2024-04-14,22
2024-04-21,19
2024-04-28,18
2024-05-05,18
2024-05-12,20
2024-05-19,19
2024-05-26,15
2024-06-02,16
2024-06-09,15
2024-06-16,14
2024-06-23,14
2024-06-30,14
2024-07-07,18
2024-07-14,23
2024-07-21,16
2024-07-28,21
2024-08-04,28
2024-08-11,18
2024-08-18,18
2024-08-25,16
2024-09-01,15
2024-09-08,16
2024-09-15,19
2024-09-22,14
2024-09-29,19
2024-10-06,18
2024-10-13,22
2024-10-20,17
2024-10-27,20
2024-11-03,29
2024-11-10,30
2024-11-17,24
2024-11-24,23
2024-12-01,26
2024-12-08,21
2024-12-15,25
2024-12-22,19
2024-12-29,17
2025-01-05,20
2025-01-12,28
2025-01-19,24
2025-01-26,28
2025-02-02,29
2025-02-09,24
2025-02-16,25
2025-02-23,26
2025-03-02,28
2025-03-09,30
2025-03-16,23
2025-03-23,20
2025-03-30,29
2025-04-06,40
2025-04-13,26
2025-04-20,25
2025-04-27,25
2025-05-04,23
2025-05-11,23
2025-05-18,20
2025-05-25,21
2025-06-01,31
2025-06-08,22
2025-06-15,20
2025-06-22,28
2025-06-29,28
2025-07-06,27
2025-07-13,37
2025-07-20,38
2025-07-27,39
