date,Olivia Rodrigo
2020-08-02,1
2020-08-09,1
2020-08-16,1
2020-08-23,1
2020-08-30,1
2020-09-06,1
2020-09-13,1
2020-09-20,1
2020-09-27,1
2020-10-04,1
2020-10-11,1
2020-10-18,1
2020-10-25,1
2020-11-01,1
2020-11-08,1
2020-11-15,1
2020-11-22,1
2020-11-29,1
2020-12-06,1
2020-12-13,1
2020-12-20,1
2020-12-27,1
2021-01-03,17
2021-01-10,100
2021-01-17,54
2021-01-24,32
2021-01-31,22
2021-02-07,16
2021-02-14,14
2021-02-21,16
2021-02-28,11
2021-03-07,9
2021-03-14,8
2021-03-21,7
2021-03-28,14
2021-04-04,13
2021-04-11,14
2021-04-18,11
2021-04-25,11
2021-05-02,11
2021-05-09,29
2021-05-16,75
2021-05-23,86
2021-05-30,63
2021-06-06,50
2021-06-13,45
2021-06-20,47
2021-06-27,53
2021-07-04,40
2021-07-11,53
2021-07-18,38
2021-07-25,30
2021-08-01,30
2021-08-08,26
2021-08-15,25
2021-08-22,29
2021-08-29,25
2021-09-05,21
2021-09-12,36
2021-09-19,22
2021-09-26,24
2021-10-03,18
2021-10-10,15
2021-10-17,16
2021-10-24,16
2021-10-31,14
2021-11-07,13
2021-11-14,13
2021-11-21,24
2021-11-28,17
2021-12-05,57
2021-12-12,21
2021-12-19,18
2021-12-26,17
2022-01-02,17
2022-01-09,14
2022-01-16,13
2022-01-23,12
2022-01-30,11
2022-02-06,13
2022-02-13,13
2022-02-20,14
2022-02-27,12
2022-03-06,11
2022-03-13,11
2022-03-20,18
2022-03-27,17
2022-04-03,87
2022-04-10,27
2022-04-17,21
2022-04-24,19
2022-05-01,26
2022-05-08,17
2022-05-15,18
2022-05-22,18
2022-05-29,14
2022-06-05,15
2022-06-12,15
2022-06-19,21
2022-06-26,21
2022-07-03,15
2022-07-10,12
2022-07-17,12
2022-07-24,15
2022-07-31,12
2022-08-07,11
2022-08-14,10
2022-08-21,11
2022-08-28,11
2022-09-04,8
2022-09-11,8
2022-09-18,8
2022-09-25,8
2022-10-02,7
2022-10-09,8
2022-10-16,8
2022-10-23,9
2022-10-30,7
2022-11-06,7
2022-11-13,6
2022-11-20,7
2022-11-27,7
2022-12-04,7
2022-12-11,7
2022-12-18,6
2022-12-25,7
2023-01-01,6
2023-01-08,7
2023-01-15,6
2023-01-22,6
2023-01-29,6
2023-02-05,9
2023-02-12,6
2023-02-19,9
2023-02-26,7
2023-03-05,6
2023-03-12,6
2023-03-19,6
2023-03-26,6
2023-04-02,6
2023-04-09,5
2023-04-16,5
2023-04-23,5
2023-04-30,7
2023-05-07,6
2023-05-14,5
2023-05-21,6
2023-05-28,6
2023-06-04,6
2023-06-11,8
2023-06-18,7
2023-06-25,31
2023-07-02,26
2023-07-09,20
2023-07-16,14
2023-07-23,13
2023-07-30,13
2023-08-06,18
2023-08-13,21
2023-08-20,16
2023-08-27,15
2023-09-03,45
2023-09-10,73
2023-09-17,59
2023-09-24,27
2023-10-01,22
2023-10-08,20
2023-10-15,17
2023-10-22,20
2023-10-29,23
2023-11-05,18
2023-11-12,17
2023-11-19,18
2023-11-26,15
2023-12-03,18
2023-12-10,28
2023-12-17,21
2023-12-24,19
2023-12-31,17
2024-01-07,16
2024-01-14,16
2024-01-21,18
2024-01-28,17
2024-02-04,37
2024-02-11,21
2024-02-18,28
2024-02-25,35
2024-03-03,25
2024-03-10,22
2024-03-17,32
2024-03-24,32
2024-03-31,25
2024-04-07,22
2024-04-14,21
2024-04-21,22
2024-04-28,23
2024-05-05,27
2024-05-12,39
2024-05-19,23
2024-05-26,22
2024-06-02,19
2024-06-09,20
2024-06-16,21
2024-06-23,17
2024-06-30,17
2024-07-07,21
2024-07-14,20
2024-07-21,20
2024-07-28,17
2024-08-04,17
2024-08-11,18
2024-08-18,20
2024-08-25,17
2024-09-01,17
2024-09-08,23
2024-09-15,17
2024-09-22,15
2024-09-29,20
2024-10-06,23
2024-10-13,21
2024-10-20,17
2024-10-27,24
2024-11-03,18
2024-11-10,22
2024-11-17,19
2024-11-24,14
2024-12-01,14
2024-12-08,12
2024-12-15,12
2024-12-22,13
2024-12-29,12
2025-01-05,12
2025-01-12,11
2025-01-19,11
2025-01-26,12
2025-02-02,26
2025-02-09,13
2025-02-16,14
2025-02-23,12
2025-03-02,13
2025-03-09,11
2025-03-16,13
2025-03-23,22
2025-03-30,18
2025-04-06,12
2025-04-13,10
2025-04-20,10
2025-04-27,10
2025-05-04,10
2025-05-11,10
2025-05-18,10
2025-05-25,10
2025-06-01,10
2025-06-08,12
2025-06-15,11
2025-06-22,16
2025-06-29,32
2025-07-06,13
2025-07-13,13
2025-07-20,10
2025-07-27,12
