date,water scarcity
2020-08-02,32
2020-08-09,35
2020-08-16,44
2020-08-23,53
2020-08-30,63
2020-09-06,58
2020-09-13,56
2020-09-20,50
2020-09-27,43
2020-10-04,43
2020-10-11,40
2020-10-18,39
2020-10-25,37
2020-11-01,40
2020-11-08,37
2020-11-15,40
2020-11-22,37
2020-11-29,41
2020-12-06,37
2020-12-13,35
2020-12-20,22
2020-12-27,23
2021-01-03,34
2021-01-10,35
2021-01-17,40
2021-01-24,41
2021-01-31,37
2021-02-07,38
2021-02-14,41
2021-02-21,50
2021-02-28,54
2021-03-07,56
2021-03-14,79
2021-03-21,68
2021-03-28,45
2021-04-04,41
2021-04-11,39
2021-04-18,37
2021-04-25,41
2021-05-02,41
2021-05-09,38
2021-05-16,40
2021-05-23,40
2021-05-30,43
2021-06-06,44
2021-06-13,42
2021-06-20,37
2021-06-27,33
2021-07-04,35
2021-07-11,36
2021-07-18,30
2021-07-25,39
2021-08-01,37
2021-08-08,41
2021-08-15,40
2021-08-22,46
2021-08-29,46
2021-09-05,50
2021-09-12,50
2021-09-19,58
2021-09-26,47
2021-10-03,46
2021-10-10,40
2021-10-17,42
2021-10-24,44
2021-10-31,34
2021-11-07,47
2021-11-14,42
2021-11-21,40
2021-11-28,39
2021-12-05,41
2021-12-12,40
2021-12-19,29
2021-12-26,29
2022-01-02,44
2022-01-09,46
2022-01-16,49
2022-01-23,56
2022-01-30,56
2022-02-06,60
2022-02-13,73
2022-02-20,77
2022-02-27,76
2022-03-06,83
2022-03-13,67
2022-03-20,75
2022-03-27,73
2022-04-03,69
2022-04-10,46
2022-04-17,61
2022-04-24,65
2022-05-01,60
2022-05-08,70
2022-05-15,69
2022-05-22,68
2022-05-29,68
2022-06-05,61
2022-06-12,66
2022-06-19,54
2022-06-26,53
2022-07-03,48
2022-07-10,41
2022-07-17,53
2022-07-24,54
2022-07-31,53
2022-08-07,55
2022-08-14,71
2022-08-21,90
2022-08-28,91
2022-09-04,87
2022-09-11,97
2022-09-18,87
2022-09-25,72
2022-10-02,63
2022-10-09,76
2022-10-16,67
2022-10-23,61
2022-10-30,65
2022-11-06,67
2022-11-13,73
2022-11-20,61
2022-11-27,60
2022-12-04,66
2022-12-11,60
2022-12-18,46
2022-12-25,39
2023-01-01,62
2023-01-08,65
2023-01-15,65
2023-01-22,65
2023-01-29,68
2023-02-05,70
2023-02-12,64
2023-02-19,68
2023-02-26,73
2023-03-05,77
2023-03-12,85
2023-03-19,68
2023-03-26,65
2023-04-02,46
2023-04-09,42
2023-04-16,50
2023-04-23,59
2023-04-30,60
2023-05-07,59
2023-05-14,65
2023-05-21,68
2023-05-28,84
2023-06-04,62
2023-06-11,57
2023-06-18,52
2023-06-25,46
2023-07-02,49
2023-07-09,45
2023-07-16,48
2023-07-23,44
2023-07-30,51
2023-08-06,56
2023-08-13,62
2023-08-20,73
2023-08-27,72
2023-09-03,76
2023-09-10,83
2023-09-17,73
2023-09-24,65
2023-10-01,60
2023-10-08,65
2023-10-15,65
2023-10-22,62
2023-10-29,60
2023-11-05,61
2023-11-12,59
2023-11-19,54
2023-11-26,61
2023-12-03,65
2023-12-10,61
2023-12-17,41
2023-12-24,33
2023-12-31,38
2024-01-07,58
2024-01-14,52
2024-01-21,53
2024-01-28,68
2024-02-04,67
2024-02-11,60
2024-02-18,67
2024-02-25,75
2024-03-03,100
2024-03-10,89
2024-03-17,88
2024-03-24,60
2024-03-31,66
2024-04-07,60
2024-04-14,70
2024-04-21,71
2024-04-28,80
2024-05-05,75
2024-05-12,78
2024-05-19,73
2024-05-26,78
2024-06-02,66
2024-06-09,59
2024-06-16,54
2024-06-23,47
2024-06-30,45
2024-07-07,43
2024-07-14,42
2024-07-21,47
2024-07-28,46
2024-08-04,56
2024-08-11,63
2024-08-18,73
2024-08-25,79
2024-09-01,78
2024-09-08,82
2024-09-15,74
2024-09-22,76
2024-09-29,58
2024-10-06,56
2024-10-13,60
2024-10-20,62
2024-10-27,55
2024-11-03,55
2024-11-10,67
2024-11-17,70
2024-11-24,56
2024-12-01,59
2024-12-08,62
2024-12-15,49
2024-12-22,32
2024-12-29,36
2025-01-05,55
2025-01-12,62
2025-01-19,59
2025-01-26,62
2025-02-02,59
2025-02-09,58
2025-02-16,62
2025-02-23,89
2025-03-02,62
2025-03-09,59
2025-03-16,72
2025-03-23,70
2025-03-30,57
2025-04-06,55
2025-04-13,49
2025-04-20,55
2025-04-27,70
2025-05-04,64
2025-05-11,60
2025-05-18,70
2025-05-25,59
2025-06-01,58
2025-06-08,53
2025-06-15,52
2025-06-22,55
2025-06-29,51
2025-07-06,45
2025-07-13,46
2025-07-20,59
2025-07-27,61
