date,impact of global trade
2020-08-02,7
2020-08-09,7
2020-08-16,11
2020-08-23,10
2020-08-30,12
2020-09-06,19
2020-09-13,21
2020-09-20,23
2020-09-27,18
2020-10-04,21
2020-10-11,20
2020-10-18,13
2020-10-25,20
2020-11-01,15
2020-11-08,10
2020-11-15,16
2020-11-22,17
2020-11-29,18
2020-12-06,25
2020-12-13,29
2020-12-20,0
2020-12-27,7
2021-01-03,11
2021-01-10,12
2021-01-17,13
2021-01-24,21
2021-01-31,15
2021-02-07,11
2021-02-14,17
2021-02-21,12
2021-02-28,23
2021-03-07,17
2021-03-14,11
2021-03-21,17
2021-03-28,14
2021-04-04,16
2021-04-11,17
2021-04-18,20
2021-04-25,16
2021-05-02,21
2021-05-09,22
2021-05-16,17
2021-05-23,16
2021-05-30,15
2021-06-06,15
2021-06-13,12
2021-06-20,11
2021-06-27,9
2021-07-04,8
2021-07-11,8
2021-07-18,0
2021-07-25,0
2021-08-01,7
2021-08-08,9
2021-08-15,13
2021-08-22,9
2021-08-29,14
2021-09-05,16
2021-09-12,17
2021-09-19,17
2021-09-26,14
2021-10-03,23
2021-10-10,15
2021-10-17,20
2021-10-24,20
2021-10-31,12
2021-11-07,14
2021-11-14,16
2021-11-21,10
2021-11-28,19
2021-12-05,21
2021-12-12,29
2021-12-19,9
2021-12-26,0
2022-01-02,18
2022-01-09,20
2022-01-16,16
2022-01-23,28
2022-01-30,21
2022-02-06,25
2022-02-13,26
2022-02-20,27
2022-02-27,30
2022-03-06,30
2022-03-13,24
2022-03-20,27
2022-03-27,30
2022-04-03,28
2022-04-10,23
2022-04-17,37
2022-04-24,29
2022-05-01,39
2022-05-08,40
2022-05-15,36
2022-05-22,28
2022-05-29,20
2022-06-05,20
2022-06-12,19
2022-06-19,17
2022-06-26,17
2022-07-03,13
2022-07-10,7
2022-07-17,10
2022-07-24,6
2022-07-31,7
2022-08-07,15
2022-08-14,13
2022-08-21,10
2022-08-28,20
2022-09-04,28
2022-09-11,23
2022-09-18,30
2022-09-25,31
2022-10-02,26
2022-10-09,25
2022-10-16,33
2022-10-23,27
2022-10-30,30
2022-11-06,26
2022-11-13,35
2022-11-20,22
2022-11-27,28
2022-12-04,40
2022-12-11,42
2022-12-18,17
2022-12-25,7
2023-01-01,20
2023-01-08,23
2023-01-15,29
2023-01-22,31
2023-01-29,28
2023-02-05,28
2023-02-12,33
2023-02-19,31
2023-02-26,29
2023-03-05,39
2023-03-12,27
2023-03-19,30
2023-03-26,37
2023-04-02,29
2023-04-09,35
2023-04-16,36
2023-04-23,37
2023-04-30,42
2023-05-07,40
2023-05-14,30
2023-05-21,31
2023-05-28,21
2023-06-04,23
2023-06-11,21
2023-06-18,21
2023-06-25,15
2023-07-02,9
2023-07-09,14
2023-07-16,17
2023-07-23,13
2023-07-30,11
2023-08-06,14
2023-08-13,10
2023-08-20,19
2023-08-27,33
2023-09-03,29
2023-09-10,31
2023-09-17,38
2023-09-24,35
2023-10-01,41
2023-10-08,32
2023-10-15,46
2023-10-22,47
2023-10-29,40
2023-11-05,48
2023-11-12,44
2023-11-19,27
2023-11-26,44
2023-12-03,46
2023-12-10,46
2023-12-17,32
2023-12-24,12
2023-12-31,22
2024-01-07,36
2024-01-14,29
2024-01-21,47
2024-01-28,50
2024-02-04,48
2024-02-11,51
2024-02-18,50
2024-02-25,42
2024-03-03,56
2024-03-10,41
2024-03-17,43
2024-03-24,45
2024-03-31,30
2024-04-07,41
2024-04-14,54
2024-04-21,44
2024-04-28,62
2024-05-05,59
2024-05-12,54
2024-05-19,44
2024-05-26,27
2024-06-02,33
2024-06-09,23
2024-06-16,20
2024-06-23,25
2024-06-30,17
2024-07-07,20
2024-07-14,21
2024-07-21,18
2024-07-28,17
2024-08-04,23
2024-08-11,22
2024-08-18,31
2024-08-25,34
2024-09-01,42
2024-09-08,41
2024-09-15,58
2024-09-22,54
2024-09-29,50
2024-10-06,65
2024-10-13,53
2024-10-20,55
2024-10-27,60
2024-11-03,52
2024-11-10,72
2024-11-17,67
2024-11-24,31
2024-12-01,74
2024-12-08,65
2024-12-15,62
2024-12-22,18
2024-12-29,13
2025-01-05,37
2025-01-12,47
2025-01-19,47
2025-01-26,66
2025-02-02,86
2025-02-09,82
2025-02-16,84
2025-02-23,82
2025-03-02,74
2025-03-09,73
2025-03-16,66
2025-03-23,67
2025-03-30,92
2025-04-06,85
2025-04-13,74
2025-04-20,77
2025-04-27,100
2025-05-04,88
2025-05-11,90
2025-05-18,56
2025-05-25,52
2025-06-01,50
2025-06-08,61
2025-06-15,60
2025-06-22,45
2025-06-29,42
2025-07-06,34
2025-07-13,41
2025-07-20,50
2025-07-27,70
