date,Pinterest stock price
2020-08-02,60
2020-08-09,38
2020-08-16,39
2020-08-23,33
2020-08-30,40
2020-09-06,26
2020-09-13,25
2020-09-20,32
2020-09-27,44
2020-10-04,38
2020-10-11,40
2020-10-18,46
2020-10-25,87
2020-11-01,62
2020-11-08,66
2020-11-15,51
2020-11-22,52
2020-11-29,55
2020-12-06,51
2020-12-13,45
2020-12-20,37
2020-12-27,40
2021-01-03,50
2021-01-10,53
2021-01-17,47
2021-01-24,63
2021-01-31,82
2021-02-07,100
2021-02-14,76
2021-02-21,68
2021-02-28,64
2021-03-07,68
2021-03-14,69
2021-03-21,49
2021-03-28,44
2021-04-04,58
2021-04-11,56
2021-04-18,52
2021-04-25,72
2021-05-02,60
2021-05-09,61
2021-05-16,51
2021-05-23,49
2021-05-30,41
2021-06-06,43
2021-06-13,38
2021-06-20,45
2021-06-27,47
2021-07-04,33
2021-07-11,29
2021-07-18,39
2021-07-25,62
2021-08-01,58
2021-08-08,47
2021-08-15,38
2021-08-22,32
2021-08-29,31
2021-09-05,28
2021-09-12,31
2021-09-19,27
2021-09-26,29
2021-10-03,33
2021-10-10,22
2021-10-17,80
2021-10-24,62
2021-10-31,56
2021-11-07,41
2021-11-14,37
2021-11-21,28
2021-11-28,36
2021-12-05,37
2021-12-12,29
2021-12-19,24
2021-12-26,26
2022-01-02,34
2022-01-09,24
2022-01-16,28
2022-01-23,35
2022-01-30,60
2022-02-06,38
2022-02-13,30
2022-02-20,29
2022-02-27,24
2022-03-06,24
2022-03-13,23
2022-03-20,22
2022-03-27,22
2022-04-03,19
2022-04-10,18
2022-04-17,25
2022-04-24,32
2022-05-01,28
2022-05-08,30
2022-05-15,22
2022-05-22,28
2022-05-29,20
2022-06-05,19
2022-06-12,24
2022-06-19,19
2022-06-26,23
2022-07-03,18
2022-07-10,26
2022-07-17,31
2022-07-24,25
2022-07-31,35
2022-08-07,24
2022-08-14,20
2022-08-21,21
2022-08-28,12
2022-09-04,16
2022-09-11,14
2022-09-18,15
2022-09-25,13
2022-10-02,13
2022-10-09,13
2022-10-16,13
2022-10-23,18
2022-10-30,17
2022-11-06,14
2022-11-13,13
2022-11-20,12
2022-11-27,11
2022-12-04,9
2022-12-11,11
2022-12-18,10
2022-12-25,8
2023-01-01,9
2023-01-08,12
2023-01-15,12
2023-01-22,12
2023-01-29,17
2023-02-05,24
2023-02-12,12
2023-02-19,11
2023-02-26,10
2023-03-05,13
2023-03-12,10
2023-03-19,11
2023-03-26,14
2023-04-02,15
2023-04-09,12
2023-04-16,14
2023-04-23,17
2023-04-30,13
2023-05-07,11
2023-05-14,12
2023-05-21,14
2023-05-28,7
2023-06-04,11
2023-06-11,14
2023-06-18,9
2023-06-25,12
2023-07-02,13
2023-07-09,10
2023-07-16,15
2023-07-23,15
2023-07-30,15
2023-08-06,9
2023-08-13,9
2023-08-20,11
2023-08-27,8
2023-09-03,6
2023-09-10,11
2023-09-17,6
2023-09-24,8
2023-10-01,9
2023-10-08,6
2023-10-15,9
2023-10-22,11
2023-10-29,20
2023-11-05,12
2023-11-12,13
2023-11-19,10
2023-11-26,14
2023-12-03,11
2023-12-10,17
2023-12-17,18
2023-12-24,11
2023-12-31,7
2024-01-07,15
2024-01-14,12
2024-01-21,15
2024-01-28,15
2024-02-04,29
2024-02-11,12
2024-02-18,14
2024-02-25,12
2024-03-03,16
2024-03-10,10
2024-03-17,13
2024-03-24,12
2024-03-31,8
2024-04-07,9
2024-04-14,6
2024-04-21,7
2024-04-28,22
2024-05-05,10
2024-05-12,6
2024-05-19,10
2024-05-26,7
2024-06-02,9
2024-06-09,12
2024-06-16,10
2024-06-23,7
2024-06-30,5
2024-07-07,10
2024-07-14,10
2024-07-21,13
2024-07-28,16
2024-08-04,13
2024-08-11,9
2024-08-18,10
2024-08-25,12
2024-09-01,7
2024-09-08,11
2024-09-15,12
2024-09-22,9
2024-09-29,12
2024-10-06,9
2024-10-13,10
2024-10-20,0
2024-10-27,9
2024-11-03,21
2024-11-10,15
2024-11-17,12
2024-11-24,12
2024-12-01,16
2024-12-08,14
2024-12-15,11
2024-12-22,7
2024-12-29,10
2025-01-05,11
2025-01-12,10
2025-01-19,12
2025-01-26,13
2025-02-02,24
2025-02-09,15
2025-02-16,11
2025-02-23,9
2025-03-02,12
2025-03-09,11
2025-03-16,9
2025-03-23,14
2025-03-30,15
2025-04-06,15
2025-04-13,9
2025-04-20,11
2025-04-27,14
2025-05-04,18
2025-05-11,16
2025-05-18,15
2025-05-25,8
2025-06-01,14
2025-06-08,13
2025-06-15,14
2025-06-22,17
2025-06-29,7
2025-07-06,12
2025-07-13,23
2025-07-20,43
2025-07-27,69
