date,Goldman Sachs news
2020-08-02,16
2020-08-09,15
2020-08-16,9
2020-08-23,11
2020-08-30,11
2020-09-06,11
2020-09-13,15
2020-09-20,13
2020-09-27,14
2020-10-04,15
2020-10-11,19
2020-10-18,20
2020-10-25,13
2020-11-01,12
2020-11-08,16
2020-11-15,14
2020-11-22,10
2020-11-29,12
2020-12-06,14
2020-12-13,10
2020-12-20,13
2020-12-27,11
2021-01-03,16
2021-01-10,14
2021-01-17,16
2021-01-24,11
2021-01-31,13
2021-02-07,9
2021-02-14,16
2021-02-21,13
2021-02-28,10
2021-03-07,11
2021-03-14,18
2021-03-21,26
2021-03-28,26
2021-04-04,16
2021-04-11,19
2021-04-18,15
2021-04-25,11
2021-05-02,11
2021-05-09,11
2021-05-16,11
2021-05-23,14
2021-05-30,8
2021-06-06,9
2021-06-13,15
2021-06-20,9
2021-06-27,12
2021-07-04,11
2021-07-11,16
2021-07-18,13
2021-07-25,14
2021-08-01,11
2021-08-08,11
2021-08-15,7
2021-08-22,15
2021-08-29,12
2021-09-05,8
2021-09-12,15
2021-09-19,13
2021-09-26,9
2021-10-03,10
2021-10-10,13
2021-10-17,11
2021-10-24,8
2021-10-31,11
2021-11-07,10
2021-11-14,9
2021-11-21,8
2021-11-28,12
2021-12-05,11
2021-12-12,15
2021-12-19,11
2021-12-26,9
2022-01-02,14
2022-01-09,12
2022-01-16,20
2022-01-23,15
2022-01-30,11
2022-02-06,10
2022-02-13,12
2022-02-20,15
2022-02-27,14
2022-03-06,18
2022-03-13,14
2022-03-20,11
2022-03-27,16
2022-04-03,12
2022-04-10,12
2022-04-17,15
2022-04-24,12
2022-05-01,11
2022-05-08,10
2022-05-15,16
2022-05-22,10
2022-05-29,10
2022-06-05,9
2022-06-12,13
2022-06-19,13
2022-06-26,16
2022-07-03,9
2022-07-10,11
2022-07-17,16
2022-07-24,11
2022-07-31,10
2022-08-07,10
2022-08-14,12
2022-08-21,9
2022-08-28,19
2022-09-04,14
2022-09-11,24
2022-09-18,16
2022-09-25,15
2022-10-02,12
2022-10-09,17
2022-10-16,29
2022-10-23,16
2022-10-30,17
2022-11-06,15
2022-11-13,14
2022-11-20,11
2022-11-27,13
2022-12-04,12
2022-12-11,19
2022-12-18,15
2022-12-25,12
2023-01-01,18
2023-01-08,55
2023-01-15,42
2023-01-22,37
2023-01-29,23
2023-02-05,15
2023-02-12,14
2023-02-19,13
2023-02-26,17
2023-03-05,19
2023-03-12,26
2023-03-19,19
2023-03-26,17
2023-04-02,10
2023-04-09,13
2023-04-16,18
2023-04-23,12
2023-04-30,17
2023-05-07,14
2023-05-14,10
2023-05-21,8
2023-05-28,13
2023-06-04,12
2023-06-11,12
2023-06-18,13
2023-06-25,18
2023-07-02,14
2023-07-09,16
2023-07-16,21
2023-07-23,11
2023-07-30,19
2023-08-06,15
2023-08-13,16
2023-08-20,19
2023-08-27,21
2023-09-03,20
2023-09-10,17
2023-09-17,16
2023-09-24,13
2023-10-01,17
2023-10-08,16
2023-10-15,25
2023-10-22,15
2023-10-29,15
2023-11-05,15
2023-11-12,16
2023-11-19,8
2023-11-26,18
2023-12-03,13
2023-12-10,18
2023-12-17,13
2023-12-24,7
2023-12-31,18
2024-01-07,15
2024-01-14,22
2024-01-21,12
2024-01-28,15
2024-02-04,20
2024-02-11,11
2024-02-18,17
2024-02-25,18
2024-03-03,14
2024-03-10,12
2024-03-17,14
2024-03-24,12
2024-03-31,9
2024-04-07,14
2024-04-14,13
2024-04-21,14
2024-04-28,13
2024-05-05,9
2024-05-12,11
2024-05-19,8
2024-05-26,11
2024-06-02,7
2024-06-09,9
2024-06-16,9
2024-06-23,10
2024-06-30,8
2024-07-07,10
2024-07-14,16
2024-07-21,11
2024-07-28,10
2024-08-04,11
2024-08-11,16
2024-08-18,12
2024-08-25,11
2024-09-01,25
2024-09-08,27
2024-09-15,17
2024-09-22,19
2024-09-29,13
2024-10-06,10
2024-10-13,15
2024-10-20,13
2024-10-27,11
2024-11-03,18
2024-11-10,11
2024-11-17,16
2024-11-24,12
2024-12-01,14
2024-12-08,10
2024-12-15,12
2024-12-22,5
2024-12-29,10
2025-01-05,14
2025-01-12,22
2025-01-19,13
2025-01-26,14
2025-02-02,13
2025-02-09,16
2025-02-16,12
2025-02-23,13
2025-03-02,19
2025-03-09,14
2025-03-16,34
2025-03-23,12
2025-03-30,18
2025-04-06,21
2025-04-13,24
2025-04-20,14
2025-04-27,14
2025-05-04,11
2025-05-11,10
2025-05-18,11
2025-05-25,5
2025-06-01,10
2025-06-08,20
2025-06-15,19
2025-06-22,17
2025-06-29,20
2025-07-06,22
2025-07-13,33
2025-07-20,63
2025-07-27,100
