date,Fitbit
2020-08-02,63
2020-08-09,65
2020-08-16,68
2020-08-23,72
2020-08-30,61
2020-09-06,59
2020-09-13,60
2020-09-20,60
2020-09-27,60
2020-10-04,55
2020-10-11,61
2020-10-18,55
2020-10-25,52
2020-11-01,51
2020-11-08,60
2020-11-15,62
2020-11-22,93
2020-11-29,75
2020-12-06,65
2020-12-13,63
2020-12-20,96
2020-12-27,100
2021-01-03,74
2021-01-10,75
2021-01-17,64
2021-01-24,63
2021-01-31,57
2021-02-07,53
2021-02-14,51
2021-02-21,52
2021-02-28,58
2021-03-07,53
2021-03-14,53
2021-03-21,54
2021-03-28,53
2021-04-04,54
2021-04-11,49
2021-04-18,56
2021-04-25,54
2021-05-02,56
2021-05-09,53
2021-05-16,48
2021-05-23,47
2021-05-30,49
2021-06-06,50
2021-06-13,52
2021-06-20,57
2021-06-27,51
2021-07-04,52
2021-07-11,50
2021-07-18,49
2021-07-25,48
2021-08-01,50
2021-08-08,46
2021-08-15,47
2021-08-22,50
2021-08-29,47
2021-09-05,42
2021-09-12,43
2021-09-19,41
2021-09-26,46
2021-10-03,41
2021-10-10,39
2021-10-17,39
2021-10-24,38
2021-10-31,42
2021-11-07,47
2021-11-14,49
2021-11-21,67
2021-11-28,56
2021-12-05,49
2021-12-12,50
2021-12-19,60
2021-12-26,77
2022-01-02,61
2022-01-09,50
2022-01-16,41
2022-01-23,41
2022-01-30,42
2022-02-06,40
2022-02-13,40
2022-02-20,37
2022-02-27,54
2022-03-06,39
2022-03-13,40
2022-03-20,39
2022-03-27,38
2022-04-03,38
2022-04-10,41
2022-04-17,38
2022-04-24,41
2022-05-01,43
2022-05-08,40
2022-05-15,39
2022-05-22,36
2022-05-29,37
2022-06-05,38
2022-06-12,39
2022-06-19,39
2022-06-26,39
2022-07-03,38
2022-07-10,44
2022-07-17,39
2022-07-24,39
2022-07-31,40
2022-08-07,39
2022-08-14,41
2022-08-21,41
2022-08-28,40
2022-09-04,37
2022-09-11,35
2022-09-18,34
2022-09-25,34
2022-10-02,36
2022-10-09,40
2022-10-16,35
2022-10-23,36
2022-10-30,38
2022-11-06,40
2022-11-13,42
2022-11-20,53
2022-11-27,43
2022-12-04,39
2022-12-11,40
2022-12-18,38
2022-12-25,61
2023-01-01,49
2023-01-08,43
2023-01-15,38
2023-01-22,37
2023-01-29,35
2023-02-05,41
2023-02-12,35
2023-02-19,32
2023-02-26,34
2023-03-05,31
2023-03-12,30
2023-03-19,31
2023-03-26,32
2023-04-02,29
2023-04-09,32
2023-04-16,30
2023-04-23,31
2023-04-30,32
2023-05-07,32
2023-05-14,31
2023-05-21,30
2023-05-28,32
2023-06-04,33
2023-06-11,34
2023-06-18,32
2023-06-25,34
2023-07-02,35
2023-07-09,39
2023-07-16,34
2023-07-23,31
2023-07-30,34
2023-08-06,33
2023-08-13,33
2023-08-20,31
2023-08-27,31
2023-09-03,30
2023-09-10,29
2023-09-17,29
2023-09-24,34
2023-10-01,32
2023-10-08,35
2023-10-15,31
2023-10-22,28
2023-10-29,27
2023-11-05,31
2023-11-12,32
2023-11-19,41
2023-11-26,34
2023-12-03,30
2023-12-10,31
2023-12-17,31
2023-12-24,47
2023-12-31,39
2024-01-07,34
2024-01-14,30
2024-01-21,29
2024-01-28,29
2024-02-04,28
2024-02-11,27
2024-02-18,26
2024-02-25,27
2024-03-03,27
2024-03-10,26
2024-03-17,27
2024-03-24,26
2024-03-31,26
2024-04-07,26
2024-04-14,26
2024-04-21,27
2024-04-28,28
2024-05-05,28
2024-05-12,26
2024-05-19,26
2024-05-26,27
2024-06-02,27
2024-06-09,27
2024-06-16,26
2024-06-23,24
2024-06-30,25
2024-07-07,26
2024-07-14,30
2024-07-21,27
2024-07-28,26
2024-08-04,26
2024-08-11,27
2024-08-18,26
2024-08-25,25
2024-09-01,26
2024-09-08,26
2024-09-15,27
2024-09-22,25
2024-09-29,23
2024-10-06,24
2024-10-13,23
2024-10-20,23
2024-10-27,23
2024-11-03,23
2024-11-10,25
2024-11-17,27
2024-11-24,30
2024-12-01,29
2024-12-08,24
2024-12-15,25
2024-12-22,34
2024-12-29,33
2025-01-05,28
2025-01-12,26
2025-01-19,24
2025-01-26,24
2025-02-02,23
2025-02-09,22
2025-02-16,21
2025-02-23,22
2025-03-02,22
2025-03-09,21
2025-03-16,22
2025-03-23,23
2025-03-30,22
2025-04-06,20
2025-04-13,23
2025-04-20,22
2025-04-27,23
2025-05-04,23
2025-05-11,22
2025-05-18,21
2025-05-25,20
2025-06-01,24
2025-06-08,23
2025-06-15,22
2025-06-22,22
2025-06-29,22
2025-07-06,25
2025-07-13,27
2025-07-20,24
2025-07-27,25
