date,Roomba review
2020-08-02,30
2020-08-09,24
2020-08-16,30
2020-08-23,24
2020-08-30,27
2020-09-06,22
2020-09-13,19
2020-09-20,23
2020-09-27,23
2020-10-04,21
2020-10-11,66
2020-10-18,27
2020-10-25,29
2020-11-01,39
2020-11-08,49
2020-11-15,48
2020-11-22,100
2020-11-29,60
2020-12-06,42
2020-12-13,38
2020-12-20,49
2020-12-27,45
2021-01-03,27
2021-01-10,26
2021-01-17,21
2021-01-24,20
2021-01-31,18
2021-02-07,24
2021-02-14,21
2021-02-21,17
2021-02-28,21
2021-03-07,18
2021-03-14,19
2021-03-21,19
2021-03-28,19
2021-04-04,17
2021-04-11,17
2021-04-18,18
2021-04-25,22
2021-05-02,26
2021-05-09,21
2021-05-16,15
2021-05-23,21
2021-05-30,15
2021-06-06,19
2021-06-13,17
2021-06-20,34
2021-06-27,16
2021-07-04,14
2021-07-11,16
2021-07-18,20
2021-07-25,19
2021-08-01,12
2021-08-08,22
2021-08-15,14
2021-08-22,14
2021-08-29,18
2021-09-05,19
2021-09-12,19
2021-09-19,15
2021-09-26,18
2021-10-03,16
2021-10-10,18
2021-10-17,21
2021-10-24,22
2021-10-31,27
2021-11-07,32
2021-11-14,27
2021-11-21,80
2021-11-28,40
2021-12-05,25
2021-12-12,29
2021-12-19,37
2021-12-26,35
2022-01-02,25
2022-01-09,21
2022-01-16,17
2022-01-23,17
2022-01-30,17
2022-02-06,13
2022-02-13,18
2022-02-20,16
2022-02-27,13
2022-03-06,13
2022-03-13,12
2022-03-20,17
2022-03-27,17
2022-04-03,14
2022-04-10,15
2022-04-17,15
2022-04-24,18
2022-05-01,20
2022-05-08,15
2022-05-15,12
2022-05-22,14
2022-05-29,16
2022-06-05,15
2022-06-12,13
2022-06-19,14
2022-06-26,13
2022-07-03,17
2022-07-10,37
2022-07-17,14
2022-07-24,13
2022-07-31,14
2022-08-07,15
2022-08-14,12
2022-08-21,14
2022-08-28,11
2022-09-04,17
2022-09-11,14
2022-09-18,12
2022-09-25,11
2022-10-02,11
2022-10-09,23
2022-10-16,12
2022-10-23,11
2022-10-30,18
2022-11-06,20
2022-11-13,22
2022-11-20,50
2022-11-27,30
2022-12-04,23
2022-12-11,17
2022-12-18,22
2022-12-25,28
2023-01-01,17
2023-01-08,14
2023-01-15,13
2023-01-22,11
2023-01-29,9
2023-02-05,12
2023-02-12,12
2023-02-19,12
2023-02-26,12
2023-03-05,9
2023-03-12,11
2023-03-19,10
2023-03-26,10
2023-04-02,11
2023-04-09,10
2023-04-16,13
2023-04-23,12
2023-04-30,12
2023-05-07,11
2023-05-14,8
2023-05-21,10
2023-05-28,13
2023-06-04,10
2023-06-11,8
2023-06-18,9
2023-06-25,10
2023-07-02,12
2023-07-09,22
2023-07-16,11
2023-07-23,10
2023-07-30,9
2023-08-06,12
2023-08-13,13
2023-08-20,10
2023-08-27,11
2023-09-03,9
2023-09-10,8
2023-09-17,11
2023-09-24,13
2023-10-01,12
2023-10-08,18
2023-10-15,9
2023-10-22,10
2023-10-29,13
2023-11-05,15
2023-11-12,23
2023-11-19,45
2023-11-26,25
2023-12-03,13
2023-12-10,14
2023-12-17,18
2023-12-24,20
2023-12-31,13
2024-01-07,9
2024-01-14,11
2024-01-21,12
2024-01-28,7
2024-02-04,9
2024-02-11,8
2024-02-18,9
2024-02-25,8
2024-03-03,9
2024-03-10,7
2024-03-17,7
2024-03-24,8
2024-03-31,8
2024-04-07,8
2024-04-14,6
2024-04-21,10
2024-04-28,9
2024-05-05,8
2024-05-12,7
2024-05-19,7
2024-05-26,9
2024-06-02,10
2024-06-09,9
2024-06-16,9
2024-06-23,7
2024-06-30,9
2024-07-07,9
2024-07-14,20
2024-07-21,9
2024-07-28,9
2024-08-04,7
2024-08-11,12
2024-08-18,9
2024-08-25,10
2024-09-01,9
2024-09-08,10
2024-09-15,9
2024-09-22,6
2024-09-29,9
2024-10-06,16
2024-10-13,8
2024-10-20,7
2024-10-27,8
2024-11-03,10
2024-11-10,12
2024-11-17,20
2024-11-24,32
2024-12-01,17
2024-12-08,12
2024-12-15,10
2024-12-22,18
2024-12-29,13
2025-01-05,9
2025-01-12,8
2025-01-19,9
2025-01-26,7
2025-02-02,9
2025-02-09,8
2025-02-16,8
2025-02-23,6
2025-03-02,10
2025-03-09,8
2025-03-16,9
2025-03-23,8
2025-03-30,11
2025-04-06,8
2025-04-13,9
2025-04-20,11
2025-04-27,10
2025-05-04,10
2025-05-11,8
2025-05-18,9
2025-05-25,9
2025-06-01,10
2025-06-08,12
2025-06-15,10
2025-06-22,9
2025-06-29,11
2025-07-06,30
2025-07-13,16
2025-07-20,17
2025-07-27,34
