date,McDonald's stock price
2020-08-02,19
2020-08-09,21
2020-08-16,21
2020-08-23,22
2020-08-30,26
2020-09-06,24
2020-09-13,26
2020-09-20,21
2020-09-27,21
2020-10-04,17
2020-10-11,21
2020-10-18,20
2020-10-25,23
2020-11-01,20
2020-11-08,23
2020-11-15,20
2020-11-22,23
2020-11-29,22
2020-12-06,20
2020-12-13,22
2020-12-20,17
2020-12-27,21
2021-01-03,22
2021-01-10,22
2021-01-17,20
2021-01-24,28
2021-01-31,24
2021-02-07,22
2021-02-14,17
2021-02-21,23
2021-02-28,20
2021-03-07,16
2021-03-14,21
2021-03-21,22
2021-03-28,22
2021-04-04,15
2021-04-11,20
2021-04-18,17
2021-04-25,21
2021-05-02,18
2021-05-09,17
2021-05-16,16
2021-05-23,20
2021-05-30,18
2021-06-06,19
2021-06-13,18
2021-06-20,16
2021-06-27,18
2021-07-04,17
2021-07-11,17
2021-07-18,16
2021-07-25,20
2021-08-01,17
2021-08-08,17
2021-08-15,15
2021-08-22,17
2021-08-29,13
2021-09-05,12
2021-09-12,15
2021-09-19,15
2021-09-26,21
2021-10-03,19
2021-10-10,15
2021-10-17,15
2021-10-24,19
2021-10-31,21
2021-11-07,19
2021-11-14,20
2021-11-21,13
2021-11-28,17
2021-12-05,24
2021-12-12,16
2021-12-19,17
2021-12-26,21
2022-01-02,24
2022-01-09,19
2022-01-16,16
2022-01-23,28
2022-01-30,20
2022-02-06,19
2022-02-13,20
2022-02-20,22
2022-02-27,22
2022-03-06,31
2022-03-13,26
2022-03-20,25
2022-03-27,21
2022-04-03,18
2022-04-10,16
2022-04-17,19
2022-04-24,23
2022-05-01,20
2022-05-08,24
2022-05-15,19
2022-05-22,18
2022-05-29,14
2022-06-05,13
2022-06-12,21
2022-06-19,17
2022-06-26,18
2022-07-03,12
2022-07-10,17
2022-07-17,17
2022-07-24,21
2022-07-31,16
2022-08-07,16
2022-08-14,18
2022-08-21,14
2022-08-28,17
2022-09-04,13
2022-09-11,16
2022-09-18,16
2022-09-25,17
2022-10-02,14
2022-10-09,23
2022-10-16,20
2022-10-23,23
2022-10-30,23
2022-11-06,22
2022-11-13,22
2022-11-20,16
2022-11-27,18
2022-12-04,19
2022-12-11,16
2022-12-18,14
2022-12-25,14
2023-01-01,18
2023-01-08,21
2023-01-15,20
2023-01-22,24
2023-01-29,32
2023-02-05,25
2023-02-12,23
2023-02-19,21
2023-02-26,19
2023-03-05,22
2023-03-12,20
2023-03-19,20
2023-03-26,21
2023-04-02,33
2023-04-09,32
2023-04-16,31
2023-04-23,31
2023-04-30,28
2023-05-07,20
2023-05-14,21
2023-05-21,18
2023-05-28,18
2023-06-04,18
2023-06-11,24
2023-06-18,18
2023-06-25,20
2023-07-02,14
2023-07-09,16
2023-07-16,20
2023-07-23,21
2023-07-30,20
2023-08-06,14
2023-08-13,17
2023-08-20,18
2023-08-27,15
2023-09-03,14
2023-09-10,16
2023-09-17,18
2023-09-24,16
2023-10-01,19
2023-10-08,31
2023-10-15,37
2023-10-22,97
2023-10-29,80
2023-11-05,46
2023-11-12,39
2023-11-19,28
2023-11-26,35
2023-12-03,39
2023-12-10,33
2023-12-17,30
2023-12-24,26
2023-12-31,27
2024-01-07,27
2024-01-14,26
2024-01-21,28
2024-01-28,28
2024-02-04,32
2024-02-11,20
2024-02-18,23
2024-02-25,23
2024-03-03,25
2024-03-10,26
2024-03-17,23
2024-03-24,24
2024-03-31,22
2024-04-07,23
2024-04-14,20
2024-04-21,19
2024-04-28,21
2024-05-05,21
2024-05-12,23
2024-05-19,19
2024-05-26,18
2024-06-02,25
2024-06-09,21
2024-06-16,18
2024-06-23,20
2024-06-30,13
2024-07-07,28
2024-07-14,22
2024-07-21,21
2024-07-28,29
2024-08-04,24
2024-08-11,19
2024-08-18,21
2024-08-25,17
2024-09-01,15
2024-09-08,15
2024-09-15,18
2024-09-22,22
2024-09-29,17
2024-10-06,16
2024-10-13,16
2024-10-20,73
2024-10-27,43
2024-11-03,28
2024-11-10,25
2024-11-17,27
2024-11-24,18
2024-12-01,24
2024-12-08,29
2024-12-15,23
2024-12-22,16
2024-12-29,15
2025-01-05,19
2025-01-12,25
2025-01-19,16
2025-01-26,24
2025-02-02,27
2025-02-09,28
2025-02-16,22
2025-02-23,22
2025-03-02,27
2025-03-09,31
2025-03-16,26
2025-03-23,19
2025-03-30,27
2025-04-06,35
2025-04-13,23
2025-04-20,20
2025-04-27,22
2025-05-04,20
2025-05-11,24
2025-05-18,19
2025-05-25,17
2025-06-01,19
2025-06-08,21
2025-06-15,21
2025-06-22,29
2025-06-29,24
2025-07-06,33
2025-07-13,31
2025-07-20,48
2025-07-27,100
