date,remote work
2020-08-02,34
2020-08-09,33
2020-08-16,35
2020-08-23,31
2020-08-30,32
2020-09-06,32
2020-09-13,29
2020-09-20,29
2020-09-27,28
2020-10-04,28
2020-10-11,26
2020-10-18,28
2020-10-25,28
2020-11-01,25
2020-11-08,28
2020-11-15,29
2020-11-22,26
2020-11-29,30
2020-12-06,32
2020-12-13,28
2020-12-20,27
2020-12-27,34
2021-01-03,29
2021-01-10,29
2021-01-17,31
2021-01-24,30
2021-01-31,30
2021-02-07,30
2021-02-14,29
2021-02-21,29
2021-02-28,27
2021-03-07,26
2021-03-14,26
2021-03-21,25
2021-03-28,29
2021-04-04,28
2021-04-11,26
2021-04-18,27
2021-04-25,28
2021-05-02,30
2021-05-09,30
2021-05-16,28
2021-05-23,29
2021-05-30,28
2021-06-06,31
2021-06-13,30
2021-06-20,34
2021-06-27,30
2021-07-04,32
2021-07-11,32
2021-07-18,32
2021-07-25,32
2021-08-01,28
2021-08-08,32
2021-08-15,34
2021-08-22,35
2021-08-29,32
2021-09-05,33
2021-09-12,33
2021-09-19,34
2021-09-26,31
2021-10-03,34
2021-10-10,35
2021-10-17,34
2021-10-24,34
2021-10-31,37
2021-11-07,34
2021-11-14,33
2021-11-21,29
2021-11-28,38
2021-12-05,38
2021-12-12,34
2021-12-19,33
2021-12-26,38
2022-01-02,52
2022-01-09,50
2022-01-16,43
2022-01-23,47
2022-01-30,49
2022-02-06,46
2022-02-13,47
2022-02-20,46
2022-02-27,47
2022-03-06,49
2022-03-13,46
2022-03-20,45
2022-03-27,47
2022-04-03,48
2022-04-10,48
2022-04-17,48
2022-04-24,46
2022-05-01,47
2022-05-08,47
2022-05-15,45
2022-05-22,43
2022-05-29,51
2022-06-05,49
2022-06-12,48
2022-06-19,49
2022-06-26,48
2022-07-03,49
2022-07-10,51
2022-07-17,53
2022-07-24,49
2022-07-31,49
2022-08-07,51
2022-08-14,50
2022-08-21,51
2022-08-28,47
2022-09-04,47
2022-09-11,48
2022-09-18,48
2022-09-25,45
2022-10-02,48
2022-10-09,47
2022-10-16,47
2022-10-23,48
2022-10-30,49
2022-11-06,47
2022-11-13,51
2022-11-20,43
2022-11-27,47
2022-12-04,46
2022-12-11,45
2022-12-18,43
2022-12-25,47
2023-01-01,53
2023-01-08,56
2023-01-15,55
2023-01-22,57
2023-01-29,57
2023-02-05,51
2023-02-12,49
2023-02-19,51
2023-02-26,51
2023-03-05,50
2023-03-12,50
2023-03-19,52
2023-03-26,51
2023-04-02,50
2023-04-09,50
2023-04-16,53
2023-04-23,52
2023-04-30,52
2023-05-07,51
2023-05-14,50
2023-05-21,51
2023-05-28,54
2023-06-04,54
2023-06-11,57
2023-06-18,56
2023-06-25,56
2023-07-02,53
2023-07-09,55
2023-07-16,56
2023-07-23,55
2023-07-30,54
2023-08-06,57
2023-08-13,56
2023-08-20,53
2023-08-27,55
2023-09-03,54
2023-09-10,56
2023-09-17,56
2023-09-24,53
2023-10-01,55
2023-10-08,51
2023-10-15,54
2023-10-22,52
2023-10-29,53
2023-11-05,52
2023-11-12,53
2023-11-19,48
2023-11-26,55
2023-12-03,51
2023-12-10,49
2023-12-17,46
2023-12-24,47
2023-12-31,57
2024-01-07,59
2024-01-14,60
2024-01-21,65
2024-01-28,62
2024-02-04,62
2024-02-11,58
2024-02-18,58
2024-02-25,62
2024-03-03,59
2024-03-10,56
2024-03-17,59
2024-03-24,60
2024-03-31,59
2024-04-07,57
2024-04-14,60
2024-04-21,56
2024-04-28,59
2024-05-05,57
2024-05-12,57
2024-05-19,56
2024-05-26,57
2024-06-02,58
2024-06-09,59
2024-06-16,58
2024-06-23,58
2024-06-30,54
2024-07-07,61
2024-07-14,60
2024-07-21,62
2024-07-28,61
2024-08-04,59
2024-08-11,64
2024-08-18,65
2024-08-25,66
2024-09-01,57
2024-09-08,58
2024-09-15,63
2024-09-22,60
2024-09-29,58
2024-10-06,59
2024-10-13,62
2024-10-20,58
2024-10-27,58
2024-11-03,61
2024-11-10,66
2024-11-17,67
2024-11-24,59
2024-12-01,67
2024-12-08,64
2024-12-15,59
2024-12-22,51
2024-12-29,62
2025-01-05,73
2025-01-12,68
2025-01-19,95
2025-01-26,76
2025-02-02,72
2025-02-09,63
2025-02-16,70
2025-02-23,66
2025-03-02,63
2025-03-09,60
2025-03-16,65
2025-03-23,63
2025-03-30,65
2025-04-06,59
2025-04-13,57
2025-04-20,63
2025-04-27,62
2025-05-04,60
2025-05-11,56
2025-05-18,55
2025-05-25,57
2025-06-01,64
2025-06-08,69
2025-06-15,67
2025-06-22,70
2025-06-29,63
2025-07-06,74
2025-07-13,74
2025-07-20,100
2025-07-27,92
