date,Block stock price
2020-08-02,5
2020-08-09,6
2020-08-16,5
2020-08-23,5
2020-08-30,6
2020-09-06,5
2020-09-13,5
2020-09-20,3
2020-09-27,2
2020-10-04,5
2020-10-11,5
2020-10-18,4
2020-10-25,0
2020-11-01,3
2020-11-08,3
2020-11-15,5
2020-11-22,4
2020-11-29,6
2020-12-06,5
2020-12-13,4
2020-12-20,5
2020-12-27,4
2021-01-03,8
2021-01-10,10
2021-01-17,6
2021-01-24,17
2021-01-31,11
2021-02-07,11
2021-02-14,11
2021-02-21,10
2021-02-28,10
2021-03-07,8
2021-03-14,10
2021-03-21,8
2021-03-28,8
2021-04-04,7
2021-04-11,8
2021-04-18,7
2021-04-25,5
2021-05-02,5
2021-05-09,8
2021-05-16,8
2021-05-23,8
2021-05-30,8
2021-06-06,5
2021-06-13,6
2021-06-20,5
2021-06-27,5
2021-07-04,6
2021-07-11,6
2021-07-18,5
2021-07-25,6
2021-08-01,5
2021-08-08,5
2021-08-15,4
2021-08-22,4
2021-08-29,7
2021-09-05,5
2021-09-12,4
2021-09-19,5
2021-09-26,5
2021-10-03,5
2021-10-10,5
2021-10-17,5
2021-10-24,5
2021-10-31,5
2021-11-07,6
2021-11-14,4
2021-11-21,4
2021-11-28,5
2021-12-05,6
2021-12-12,10
2021-12-19,8
2021-12-26,8
2022-01-02,18
2022-01-09,20
2022-01-16,16
2022-01-23,23
2022-01-30,26
2022-02-06,20
2022-02-13,19
2022-02-20,25
2022-02-27,22
2022-03-06,19
2022-03-13,20
2022-03-20,21
2022-03-27,16
2022-04-03,18
2022-04-10,16
2022-04-17,17
2022-04-24,20
2022-05-01,17
2022-05-08,24
2022-05-15,19
2022-05-22,15
2022-05-29,15
2022-06-05,14
2022-06-12,20
2022-06-19,15
2022-06-26,13
2022-07-03,13
2022-07-10,12
2022-07-17,14
2022-07-24,11
2022-07-31,17
2022-08-07,14
2022-08-14,12
2022-08-21,13
2022-08-28,12
2022-09-04,9
2022-09-11,10
2022-09-18,10
2022-09-25,6
2022-10-02,9
2022-10-09,10
2022-10-16,9
2022-10-23,11
2022-10-30,13
2022-11-06,14
2022-11-13,13
2022-11-20,10
2022-11-27,11
2022-12-04,11
2022-12-11,9
2022-12-18,10
2022-12-25,7
2023-01-01,13
2023-01-08,10
2023-01-15,11
2023-01-22,13
2023-01-29,15
2023-02-05,12
2023-02-12,11
2023-02-19,11
2023-02-26,10
2023-03-05,9
2023-03-12,13
2023-03-19,48
2023-03-26,22
2023-04-02,15
2023-04-09,13
2023-04-16,12
2023-04-23,9
2023-04-30,13
2023-05-07,12
2023-05-14,9
2023-05-21,10
2023-05-28,9
2023-06-04,12
2023-06-11,12
2023-06-18,9
2023-06-25,9
2023-07-02,9
2023-07-09,14
2023-07-16,14
2023-07-23,12
2023-07-30,17
2023-08-06,11
2023-08-13,11
2023-08-20,11
2023-08-27,11
2023-09-03,10
2023-09-10,10
2023-09-17,11
2023-09-24,9
2023-10-01,10
2023-10-08,11
2023-10-15,10
2023-10-22,11
2023-10-29,15
2023-11-05,16
2023-11-12,14
2023-11-19,13
2023-11-26,14
2023-12-03,16
2023-12-10,14
2023-12-17,16
2023-12-24,14
2023-12-31,11
2024-01-07,12
2024-01-14,11
2024-01-21,13
2024-01-28,13
2024-02-04,15
2024-02-11,15
2024-02-18,19
2024-02-25,20
2024-03-03,19
2024-03-10,19
2024-03-17,15
2024-03-24,14
2024-03-31,15
2024-04-07,15
2024-04-14,10
2024-04-21,10
2024-04-28,16
2024-05-05,11
2024-05-12,12
2024-05-19,14
2024-05-26,10
2024-06-02,11
2024-06-09,12
2024-06-16,10
2024-06-23,11
2024-06-30,9
2024-07-07,12
2024-07-14,15
2024-07-21,12
2024-07-28,14
2024-08-04,12
2024-08-11,12
2024-08-18,12
2024-08-25,12
2024-09-01,10
2024-09-08,11
2024-09-15,15
2024-09-22,10
2024-09-29,7
2024-10-06,10
2024-10-13,10
2024-10-20,9
2024-10-27,10
2024-11-03,16
2024-11-10,21
2024-11-17,18
2024-11-24,12
2024-12-01,18
2024-12-08,17
2024-12-15,17
2024-12-22,10
2024-12-29,10
2025-01-05,12
2025-01-12,12
2025-01-19,18
2025-01-26,23
2025-02-02,23
2025-02-09,16
2025-02-16,25
2025-02-23,21
2025-03-02,17
2025-03-09,18
2025-03-16,18
2025-03-23,15
2025-03-30,20
2025-04-06,19
2025-04-13,14
2025-04-20,12
2025-04-27,25
2025-05-04,15
2025-05-11,18
2025-05-18,13
2025-05-25,14
2025-06-01,16
2025-06-08,25
2025-06-15,22
2025-06-22,20
2025-06-29,20
2025-07-06,21
2025-07-13,40
2025-07-20,67
2025-07-27,100
