date,cybersecurity
2020-08-02,14
2020-08-09,15
2020-08-16,16
2020-08-23,16
2020-08-30,16
2020-09-06,17
2020-09-13,17
2020-09-20,17
2020-09-27,16
2020-10-04,17
2020-10-11,17
2020-10-18,15
2020-10-25,15
2020-11-01,14
2020-11-08,16
2020-11-15,16
2020-11-22,13
2020-11-29,16
2020-12-06,15
2020-12-13,16
2020-12-20,13
2020-12-27,12
2021-01-03,15
2021-01-10,19
2021-01-17,15
2021-01-24,16
2021-01-31,15
2021-02-07,15
2021-02-14,15
2021-02-21,15
2021-02-28,15
2021-03-07,16
2021-03-14,16
2021-03-21,16
2021-03-28,18
2021-04-04,15
2021-04-11,17
2021-04-18,16
2021-04-25,16
2021-05-02,16
2021-05-09,20
2021-05-16,18
2021-05-23,18
2021-05-30,19
2021-06-06,20
2021-06-13,19
2021-06-20,18
2021-06-27,19
2021-07-04,17
2021-07-11,17
2021-07-18,18
2021-07-25,18
2021-08-01,17
2021-08-08,17
2021-08-15,16
2021-08-22,19
2021-08-29,20
2021-09-05,18
2021-09-12,21
2021-09-19,22
2021-09-26,21
2021-10-03,23
2021-10-10,21
2021-10-17,22
2021-10-24,21
2021-10-31,21
2021-11-07,21
2021-11-14,21
2021-11-21,18
2021-11-28,21
2021-12-05,23
2021-12-12,24
2021-12-19,18
2021-12-26,17
2022-01-02,19
2022-01-09,22
2022-01-16,21
2022-01-23,24
2022-01-30,25
2022-02-06,26
2022-02-13,28
2022-02-20,28
2022-02-27,29
2022-03-06,27
2022-03-13,28
2022-03-20,29
2022-03-27,29
2022-04-03,27
2022-04-10,27
2022-04-17,28
2022-04-24,29
2022-05-01,27
2022-05-08,30
2022-05-15,27
2022-05-22,26
2022-05-29,25
2022-06-05,26
2022-06-12,26
2022-06-19,29
2022-06-26,26
2022-07-03,26
2022-07-10,26
2022-07-17,27
2022-07-24,26
2022-07-31,26
2022-08-07,26
2022-08-14,27
2022-08-21,29
2022-08-28,29
2022-09-04,28
2022-09-11,32
2022-09-18,30
2022-09-25,32
2022-10-02,33
2022-10-09,33
2022-10-16,33
2022-10-23,32
2022-10-30,32
2022-11-06,31
2022-11-13,30
2022-11-20,27
2022-11-27,29
2022-12-04,28
2022-12-11,29
2022-12-18,24
2022-12-25,20
2023-01-01,28
2023-01-08,31
2023-01-15,32
2023-01-22,33
2023-01-29,34
2023-02-05,32
2023-02-12,30
2023-02-19,32
2023-02-26,32
2023-03-05,31
2023-03-12,30
2023-03-19,32
2023-03-26,31
2023-04-02,30
2023-04-09,31
2023-04-16,32
2023-04-23,33
2023-04-30,35
2023-05-07,34
2023-05-14,34
2023-05-21,35
2023-05-28,35
2023-06-04,35
2023-06-11,37
2023-06-18,36
2023-06-25,37
2023-07-02,34
2023-07-09,40
2023-07-16,40
2023-07-23,40
2023-07-30,38
2023-08-06,38
2023-08-13,37
2023-08-20,40
2023-08-27,40
2023-09-03,41
2023-09-10,42
2023-09-17,41
2023-09-24,43
2023-10-01,45
2023-10-08,43
2023-10-15,42
2023-10-22,43
2023-10-29,42
2023-11-05,43
2023-11-12,39
2023-11-19,36
2023-11-26,45
2023-12-03,42
2023-12-10,39
2023-12-17,36
2023-12-24,30
2023-12-31,37
2024-01-07,42
2024-01-14,43
2024-01-21,48
2024-01-28,50
2024-02-04,48
2024-02-11,48
2024-02-18,50
2024-02-25,52
2024-03-03,47
2024-03-10,47
2024-03-17,50
2024-03-24,47
2024-03-31,47
2024-04-07,47
2024-04-14,46
2024-04-21,48
2024-04-28,45
2024-05-05,47
2024-05-12,47
2024-05-19,46
2024-05-26,44
2024-06-02,43
2024-06-09,45
2024-06-16,44
2024-06-23,47
2024-06-30,43
2024-07-07,45
2024-07-14,60
2024-07-21,50
2024-07-28,45
2024-08-04,48
2024-08-11,48
2024-08-18,51
2024-08-25,49
2024-09-01,51
2024-09-08,50
2024-09-15,50
2024-09-22,51
2024-09-29,51
2024-10-06,51
2024-10-13,48
2024-10-20,55
2024-10-27,50
2024-11-03,48
2024-11-10,51
2024-11-17,52
2024-11-24,46
2024-12-01,51
2024-12-08,49
2024-12-15,47
2024-12-22,34
2024-12-29,38
2025-01-05,51
2025-01-12,55
2025-01-19,57
2025-01-26,55
2025-02-02,58
2025-02-09,55
2025-02-16,60
2025-02-23,60
2025-03-02,59
2025-03-09,58
2025-03-16,63
2025-03-23,58
2025-03-30,59
2025-04-06,60
2025-04-13,53
2025-04-20,63
2025-04-27,60
2025-05-04,60
2025-05-11,61
2025-05-18,60
2025-05-25,55
2025-06-01,74
2025-06-08,89
2025-06-15,89
2025-06-22,100
2025-06-29,75
2025-07-06,85
2025-07-13,85
2025-07-20,97
2025-07-27,97
