date,AWS price
2020-08-02,11
2020-08-09,11
2020-08-16,11
2020-08-23,11
2020-08-30,10
2020-09-06,9
2020-09-13,9
2020-09-20,9
2020-09-27,8
2020-10-04,8
2020-10-11,8
2020-10-18,7
2020-10-25,7
2020-11-01,6
2020-11-08,7
2020-11-15,7
2020-11-22,8
2020-11-29,9
2020-12-06,8
2020-12-13,7
2020-12-20,6
2020-12-27,6
2021-01-03,7
2021-01-10,8
2021-01-17,8
2021-01-24,8
2021-01-31,10
2021-02-07,8
2021-02-14,8
2021-02-21,7
2021-02-28,8
2021-03-07,8
2021-03-14,8
2021-03-21,8
2021-03-28,8
2021-04-04,7
2021-04-11,8
2021-04-18,8
2021-04-25,8
2021-05-02,7
2021-05-09,9
2021-05-16,8
2021-05-23,9
2021-05-30,8
2021-06-06,8
2021-06-13,8
2021-06-20,7
2021-06-27,7
2021-07-04,7
2021-07-11,8
2021-07-18,8
2021-07-25,8
2021-08-01,8
2021-08-08,7
2021-08-15,7
2021-08-22,7
2021-08-29,7
2021-09-05,7
2021-09-12,7
2021-09-19,8
2021-09-26,7
2021-10-03,8
2021-10-10,7
2021-10-17,8
2021-10-24,8
2021-10-31,7
2021-11-07,8
2021-11-14,9
2021-11-21,8
2021-11-28,9
2021-12-05,10
2021-12-12,9
2021-12-19,8
2021-12-26,6
2022-01-02,11
2022-01-09,11
2022-01-16,11
2022-01-23,13
2022-01-30,12
2022-02-06,12
2022-02-13,13
2022-02-20,12
2022-02-27,11
2022-03-06,12
2022-03-13,12
2022-03-20,12
2022-03-27,12
2022-04-03,13
2022-04-10,12
2022-04-17,12
2022-04-24,13
2022-05-01,12
2022-05-08,13
2022-05-15,13
2022-05-22,12
2022-05-29,12
2022-06-05,12
2022-06-12,14
2022-06-19,13
2022-06-26,12
2022-07-03,13
2022-07-10,14
2022-07-17,13
2022-07-24,12
2022-07-31,13
2022-08-07,13
2022-08-14,12
2022-08-21,13
2022-08-28,14
2022-09-04,12
2022-09-11,13
2022-09-18,14
2022-09-25,14
2022-10-02,12
2022-10-09,12
2022-10-16,14
2022-10-23,15
2022-10-30,13
2022-11-06,14
2022-11-13,13
2022-11-20,12
2022-11-27,13
2022-12-04,13
2022-12-11,12
2022-12-18,10
2022-12-25,10
2023-01-01,11
2023-01-08,13
2023-01-15,12
2023-01-22,12
2023-01-29,14
2023-02-05,14
2023-02-12,14
2023-02-19,13
2023-02-26,13
2023-03-05,12
2023-03-12,14
2023-03-19,13
2023-03-26,14
2023-04-02,13
2023-04-09,12
2023-04-16,12
2023-04-23,13
2023-04-30,12
2023-05-07,12
2023-05-14,12
2023-05-21,13
2023-05-28,12
2023-06-04,13
2023-06-11,14
2023-06-18,13
2023-06-25,11
2023-07-02,13
2023-07-09,14
2023-07-16,12
2023-07-23,14
2023-07-30,15
2023-08-06,14
2023-08-13,12
2023-08-20,13
2023-08-27,13
2023-09-03,13
2023-09-10,13
2023-09-17,12
2023-09-24,13
2023-10-01,12
2023-10-08,13
2023-10-15,12
2023-10-22,13
2023-10-29,13
2023-11-05,12
2023-11-12,12
2023-11-19,13
2023-11-26,13
2023-12-03,14
2023-12-10,13
2023-12-17,13
2023-12-24,10
2023-12-31,11
2024-01-07,13
2024-01-14,14
2024-01-21,14
2024-01-28,16
2024-02-04,16
2024-02-11,16
2024-02-18,17
2024-02-25,16
2024-03-03,18
2024-03-10,17
2024-03-17,16
2024-03-24,15
2024-03-31,15
2024-04-07,16
2024-04-14,14
2024-04-21,13
2024-04-28,15
2024-05-05,13
2024-05-12,15
2024-05-19,15
2024-05-26,14
2024-06-02,15
2024-06-09,15
2024-06-16,13
2024-06-23,15
2024-06-30,14
2024-07-07,15
2024-07-14,14
2024-07-21,15
2024-07-28,15
2024-08-04,13
2024-08-11,15
2024-08-18,14
2024-08-25,14
2024-09-01,15
2024-09-08,14
2024-09-15,15
2024-09-22,15
2024-09-29,14
2024-10-06,14
2024-10-13,13
2024-10-20,13
2024-10-27,13
2024-11-03,16
2024-11-10,15
2024-11-17,16
2024-11-24,14
2024-12-01,16
2024-12-08,16
2024-12-15,14
2024-12-22,11
2024-12-29,11
2025-01-05,15
2025-01-12,13
2025-01-19,15
2025-01-26,17
2025-02-02,18
2025-02-09,17
2025-02-16,17
2025-02-23,16
2025-03-02,17
2025-03-09,16
2025-03-16,17
2025-03-23,15
2025-03-30,17
2025-04-06,17
2025-04-13,13
2025-04-20,13
2025-04-27,14
2025-05-04,14
2025-05-11,16
2025-05-18,15
2025-05-25,16
2025-06-01,24
2025-06-08,38
2025-06-15,41
2025-06-22,32
2025-06-29,29
2025-07-06,26
2025-07-13,44
2025-07-20,62
2025-07-27,100
