date,Unity
2020-08-02,54
2020-08-09,54
2020-08-16,56
2020-08-23,55
2020-08-30,54
2020-09-06,56
2020-09-13,66
2020-09-20,61
2020-09-27,54
2020-10-04,54
2020-10-11,49
2020-10-18,50
2020-10-25,56
2020-11-01,47
2020-11-08,50
2020-11-15,48
2020-11-22,48
2020-11-29,48
2020-12-06,49
2020-12-13,47
2020-12-20,43
2020-12-27,43
2021-01-03,47
2021-01-10,49
2021-01-17,53
2021-01-24,52
2021-01-31,53
2021-02-07,49
2021-02-14,47
2021-02-21,48
2021-02-28,47
2021-03-07,47
2021-03-14,49
2021-03-21,47
2021-03-28,48
2021-04-04,45
2021-04-11,45
2021-04-18,48
2021-04-25,48
2021-05-02,48
2021-05-09,47
2021-05-16,46
2021-05-23,45
2021-05-30,45
2021-06-06,45
2021-06-13,45
2021-06-20,46
2021-06-27,45
2021-07-04,48
2021-07-11,51
2021-07-18,47
2021-07-25,46
2021-08-01,45
2021-08-08,47
2021-08-15,45
2021-08-22,46
2021-08-29,47
2021-09-05,48
2021-09-12,51
2021-09-19,48
2021-09-26,49
2021-10-03,49
2021-10-10,48
2021-10-17,50
2021-10-24,50
2021-10-31,53
2021-11-07,56
2021-11-14,55
2021-11-21,48
2021-11-28,49
2021-12-05,49
2021-12-12,50
2021-12-19,47
2021-12-26,45
2022-01-02,60
2022-01-09,64
2022-01-16,60
2022-01-23,73
2022-01-30,73
2022-02-06,67
2022-02-13,74
2022-02-20,70
2022-02-27,66
2022-03-06,68
2022-03-13,71
2022-03-20,69
2022-03-27,70
2022-04-03,71
2022-04-10,67
2022-04-17,72
2022-04-24,73
2022-05-01,66
2022-05-08,74
2022-05-15,68
2022-05-22,67
2022-05-29,64
2022-06-05,65
2022-06-12,62
2022-06-19,67
2022-06-26,64
2022-07-03,64
2022-07-10,69
2022-07-17,67
2022-07-24,64
2022-07-31,67
2022-08-07,65
2022-08-14,67
2022-08-21,62
2022-08-28,63
2022-09-04,63
2022-09-11,67
2022-09-18,67
2022-09-25,63
2022-10-02,67
2022-10-09,66
2022-10-16,66
2022-10-23,71
2022-10-30,75
2022-11-06,68
2022-11-13,66
2022-11-20,61
2022-11-27,62
2022-12-04,63
2022-12-11,66
2022-12-18,59
2022-12-25,57
2023-01-01,60
2023-01-08,67
2023-01-15,63
2023-01-22,64
2023-01-29,69
2023-02-05,65
2023-02-12,66
2023-02-19,64
2023-02-26,64
2023-03-05,63
2023-03-12,59
2023-03-19,65
2023-03-26,60
2023-04-02,62
2023-04-09,61
2023-04-16,61
2023-04-23,63
2023-04-30,59
2023-05-07,62
2023-05-14,57
2023-05-21,61
2023-05-28,60
2023-06-04,60
2023-06-11,62
2023-06-18,61
2023-06-25,61
2023-07-02,66
2023-07-09,60
2023-07-16,64
2023-07-23,62
2023-07-30,60
2023-08-06,61
2023-08-13,58
2023-08-20,62
2023-08-27,60
2023-09-03,60
2023-09-10,100
2023-09-17,82
2023-09-24,68
2023-10-01,61
2023-10-08,67
2023-10-15,66
2023-10-22,62
2023-10-29,65
2023-11-05,63
2023-11-12,63
2023-11-19,57
2023-11-26,62
2023-12-03,64
2023-12-10,61
2023-12-17,59
2023-12-24,54
2023-12-31,57
2024-01-07,62
2024-01-14,62
2024-01-21,66
2024-01-28,67
2024-02-04,63
2024-02-11,63
2024-02-18,63
2024-02-25,65
2024-03-03,64
2024-03-10,63
2024-03-17,64
2024-03-24,61
2024-03-31,58
2024-04-07,61
2024-04-14,65
2024-04-21,61
2024-04-28,62
2024-05-05,63
2024-05-12,63
2024-05-19,62
2024-05-26,60
2024-06-02,60
2024-06-09,61
2024-06-16,58
2024-06-23,55
2024-06-30,57
2024-07-07,56
2024-07-14,58
2024-07-21,60
2024-07-28,56
2024-08-04,58
2024-08-11,57
2024-08-18,60
2024-08-25,61
2024-09-01,60
2024-09-08,59
2024-09-15,59
2024-09-22,60
2024-09-29,64
2024-10-06,60
2024-10-13,61
2024-10-20,60
2024-10-27,63
2024-11-03,63
2024-11-10,62
2024-11-17,60
2024-11-24,59
2024-12-01,69
2024-12-08,67
2024-12-15,59
2024-12-22,53
2024-12-29,54
2025-01-05,62
2025-01-12,63
2025-01-19,63
2025-01-26,61
2025-02-02,64
2025-02-09,60
2025-02-16,61
2025-02-23,60
2025-03-02,57
2025-03-09,57
2025-03-16,59
2025-03-23,60
2025-03-30,61
2025-04-06,59
2025-04-13,59
2025-04-20,58
2025-04-27,56
2025-05-04,58
2025-05-11,54
2025-05-18,58
2025-05-25,58
2025-06-01,57
2025-06-08,56
2025-06-15,55
2025-06-22,51
2025-06-29,56
2025-07-06,53
2025-07-13,55
2025-07-20,56
2025-07-27,60
