date,PepsiCo vs PepsiCo
2020-08-02,9
2020-08-09,6
2020-08-16,9
2020-08-23,12
2020-08-30,7
2020-09-06,8
2020-09-13,9
2020-09-20,10
2020-09-27,13
2020-10-04,11
2020-10-11,11
2020-10-18,6
2020-10-25,11
2020-11-01,10
2020-11-08,6
2020-11-15,9
2020-11-22,8
2020-11-29,10
2020-12-06,14
2020-12-13,8
2020-12-20,7
2020-12-27,11
2021-01-03,11
2021-01-10,10
2021-01-17,6
2021-01-24,9
2021-01-31,10
2021-02-07,12
2021-02-14,6
2021-02-21,10
2021-02-28,7
2021-03-07,8
2021-03-14,11
2021-03-21,11
2021-03-28,9
2021-04-04,8
2021-04-11,9
2021-04-18,6
2021-04-25,16
2021-05-02,7
2021-05-09,13
2021-05-16,10
2021-05-23,12
2021-05-30,15
2021-06-06,13
2021-06-13,14
2021-06-20,8
2021-06-27,6
2021-07-04,7
2021-07-11,9
2021-07-18,9
2021-07-25,0
2021-08-01,13
2021-08-08,0
2021-08-15,0
2021-08-22,12
2021-08-29,0
2021-09-05,9
2021-09-12,10
2021-09-19,8
2021-09-26,10
2021-10-03,8
2021-10-10,8
2021-10-17,13
2021-10-24,14
2021-10-31,0
2021-11-07,8
2021-11-14,12
2021-11-21,8
2021-11-28,9
2021-12-05,9
2021-12-12,8
2021-12-19,0
2021-12-26,8
2022-01-02,7
2022-01-09,10
2022-01-16,14
2022-01-23,10
2022-01-30,10
2022-02-06,16
2022-02-13,16
2022-02-20,16
2022-02-27,14
2022-03-06,10
2022-03-13,12
2022-03-20,14
2022-03-27,19
2022-04-03,13
2022-04-10,13
2022-04-17,16
2022-04-24,16
2022-05-01,14
2022-05-08,11
2022-05-15,15
2022-05-22,13
2022-05-29,10
2022-06-05,17
2022-06-12,12
2022-06-19,9
2022-06-26,10
2022-07-03,12
2022-07-10,15
2022-07-17,14
2022-07-24,11
2022-07-31,15
2022-08-07,9
2022-08-14,12
2022-08-21,10
2022-08-28,9
2022-09-04,13
2022-09-11,15
2022-09-18,12
2022-09-25,15
2022-10-02,13
2022-10-09,23
2022-10-16,14
2022-10-23,21
2022-10-30,7
2022-11-06,18
2022-11-13,59
2022-11-20,92
2022-11-27,69
2022-12-04,70
2022-12-11,30
2022-12-18,17
2022-12-25,22
2023-01-01,21
2023-01-08,15
2023-01-15,25
2023-01-22,22
2023-01-29,27
2023-02-05,22
2023-02-12,24
2023-02-19,16
2023-02-26,16
2023-03-05,17
2023-03-12,23
2023-03-19,19
2023-03-26,20
2023-04-02,17
2023-04-09,17
2023-04-16,20
2023-04-23,17
2023-04-30,17
2023-05-07,25
2023-05-14,17
2023-05-21,13
2023-05-28,13
2023-06-04,26
2023-06-11,21
2023-06-18,16
2023-06-25,15
2023-07-02,11
2023-07-09,14
2023-07-16,18
2023-07-23,15
2023-07-30,14
2023-08-06,18
2023-08-13,14
2023-08-20,16
2023-08-27,16
2023-09-03,19
2023-09-10,14
2023-09-17,15
2023-09-24,12
2023-10-01,14
2023-10-08,15
2023-10-15,25
2023-10-22,20
2023-10-29,19
2023-11-05,14
2023-11-12,15
2023-11-19,18
2023-11-26,13
2023-12-03,11
2023-12-10,12
2023-12-17,11
2023-12-24,11
2023-12-31,18
2024-01-07,12
2024-01-14,18
2024-01-21,17
2024-01-28,18
2024-02-04,14
2024-02-11,12
2024-02-18,16
2024-02-25,15
2024-03-03,21
2024-03-10,19
2024-03-17,18
2024-03-24,20
2024-03-31,21
2024-04-07,10
2024-04-14,20
2024-04-21,16
2024-04-28,24
2024-05-05,12
2024-05-12,19
2024-05-19,14
2024-05-26,12
2024-06-02,16
2024-06-09,12
2024-06-16,15
2024-06-23,15
2024-06-30,8
2024-07-07,18
2024-07-14,12
2024-07-21,10
2024-07-28,16
2024-08-04,8
2024-08-11,14
2024-08-18,11
2024-08-25,12
2024-09-01,15
2024-09-08,13
2024-09-15,14
2024-09-22,13
2024-09-29,15
2024-10-06,15
2024-10-13,15
2024-10-20,13
2024-10-27,9
2024-11-03,17
2024-11-10,15
2024-11-17,20
2024-11-24,19
2024-12-01,19
2024-12-08,12
2024-12-15,15
2024-12-22,0
2024-12-29,11
2025-01-05,11
2025-01-12,14
2025-01-19,19
2025-01-26,13
2025-02-02,14
2025-02-09,21
2025-02-16,15
2025-02-23,19
2025-03-02,16
2025-03-09,14
2025-03-16,19
2025-03-23,15
2025-03-30,13
2025-04-06,16
2025-04-13,14
2025-04-20,22
2025-04-27,20
2025-05-04,16
2025-05-11,13
2025-05-18,18
2025-05-25,22
2025-06-01,16
2025-06-08,29
2025-06-15,30
2025-06-22,25
2025-06-29,25
2025-07-06,22
2025-07-13,40
2025-07-20,64
2025-07-27,100
