date,Sea Limited stock price
2020-08-02,62
2020-08-09,49
2020-08-16,99
2020-08-23,73
2020-08-30,78
2020-09-06,54
2020-09-13,61
2020-09-20,50
2020-09-27,62
2020-10-04,41
2020-10-11,53
2020-10-18,54
2020-10-25,58
2020-11-01,36
2020-11-08,57
2020-11-15,66
2020-11-22,64
2020-11-29,80
2020-12-06,77
2020-12-13,83
2020-12-20,41
2020-12-27,82
2021-01-03,73
2021-01-10,94
2021-01-17,72
2021-01-24,79
2021-01-31,97
2021-02-07,78
2021-02-14,76
2021-02-21,79
2021-02-28,72
2021-03-07,89
2021-03-14,67
2021-03-21,59
2021-03-28,45
2021-04-04,72
2021-04-11,82
2021-04-18,62
2021-04-25,64
2021-05-02,45
2021-05-09,71
2021-05-16,59
2021-05-23,73
2021-05-30,50
2021-06-06,56
2021-06-13,41
2021-06-20,51
2021-06-27,44
2021-07-04,48
2021-07-11,38
2021-07-18,46
2021-07-25,33
2021-08-01,64
2021-08-08,63
2021-08-15,59
2021-08-22,67
2021-08-29,76
2021-09-05,60
2021-09-12,52
2021-09-19,46
2021-09-26,49
2021-10-03,42
2021-10-10,57
2021-10-17,58
2021-10-24,65
2021-10-31,64
2021-11-07,71
2021-11-14,95
2021-11-21,59
2021-11-28,63
2021-12-05,57
2021-12-12,53
2021-12-19,70
2021-12-26,46
2022-01-02,70
2022-01-09,43
2022-01-16,64
2022-01-23,69
2022-01-30,67
2022-02-06,67
2022-02-13,100
2022-02-20,61
2022-02-27,81
2022-03-06,90
2022-03-13,97
2022-03-20,63
2022-03-27,71
2022-04-03,63
2022-04-10,35
2022-04-17,48
2022-04-24,58
2022-05-01,48
2022-05-08,53
2022-05-15,56
2022-05-22,47
2022-05-29,33
2022-06-05,29
2022-06-12,58
2022-06-19,33
2022-06-26,26
2022-07-03,47
2022-07-10,31
2022-07-17,31
2022-07-24,0
2022-07-31,25
2022-08-07,47
2022-08-14,46
2022-08-21,34
2022-08-28,18
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,27
2022-10-09,21
2022-10-16,29
2022-10-23,25
2022-10-30,25
2022-11-06,26
2022-11-13,47
2022-11-20,27
2022-11-27,33
2022-12-04,17
2022-12-11,0
2022-12-18,18
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,17
2023-01-22,33
2023-01-29,22
2023-02-05,0
2023-02-12,22
2023-02-19,29
2023-02-26,0
2023-03-05,37
2023-03-12,28
2023-03-19,21
2023-03-26,22
2023-04-02,20
2023-04-09,23
2023-04-16,22
2023-04-23,17
2023-04-30,0
2023-05-07,24
2023-05-14,26
2023-05-21,0
2023-05-28,20
2023-06-04,20
2023-06-11,24
2023-06-18,0
2023-06-25,22
2023-07-02,0
2023-07-09,29
2023-07-16,21
2023-07-23,30
2023-07-30,21
2023-08-06,27
2023-08-13,45
2023-08-20,46
2023-08-27,29
2023-09-03,27
2023-09-10,0
2023-09-17,0
2023-09-24,33
2023-10-01,20
2023-10-08,38
2023-10-15,25
2023-10-22,19
2023-10-29,24
2023-11-05,27
2023-11-12,35
2023-11-19,29
2023-11-26,24
2023-12-03,0
2023-12-10,44
2023-12-17,19
2023-12-24,0
2023-12-31,19
2024-01-07,22
2024-01-14,25
2024-01-21,32
2024-01-28,28
2024-02-04,0
2024-02-11,41
2024-02-18,28
2024-02-25,39
2024-03-03,45
2024-03-10,54
2024-03-17,28
2024-03-24,22
2024-03-31,0
2024-04-07,22
2024-04-14,24
2024-04-21,27
2024-04-28,0
2024-05-05,0
2024-05-12,32
2024-05-19,26
2024-05-26,22
2024-06-02,0
2024-06-09,25
2024-06-16,30
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,24
2024-07-28,0
2024-08-04,0
2024-08-11,0
2024-08-18,22
2024-08-25,0
2024-09-01,0
2024-09-08,0
2024-09-15,0
2024-09-22,0
2024-09-29,0
2024-10-06,20
2024-10-13,20
2024-10-20,0
2024-10-27,0
2024-11-03,0
2024-11-10,32
2024-11-17,0
2024-11-24,23
2024-12-01,0
2024-12-08,0
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,31
2025-01-12,0
2025-01-19,0
2025-01-26,43
2025-02-02,21
2025-02-09,47
2025-02-16,43
2025-02-23,21
2025-03-02,0
2025-03-09,21
2025-03-16,22
2025-03-23,0
2025-03-30,23
2025-04-06,25
2025-04-13,0
2025-04-20,0
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,0
2025-05-25,0
2025-06-01,0
2025-06-08,24
2025-06-15,0
2025-06-22,26
2025-06-29,0
2025-07-06,0
2025-07-13,0
2025-07-20,31
2025-07-27,41
