date,Tesla news
2020-08-02,27
2020-08-09,34
2020-08-16,39
2020-08-23,42
2020-08-30,65
2020-09-06,46
2020-09-13,42
2020-09-20,64
2020-09-27,39
2020-10-04,35
2020-10-11,30
2020-10-18,36
2020-10-25,29
2020-11-01,28
2020-11-08,28
2020-11-15,40
2020-11-22,32
2020-11-29,34
2020-12-06,42
2020-12-13,34
2020-12-20,32
2020-12-27,32
2021-01-03,45
2021-01-10,48
2021-01-17,35
2021-01-24,43
2021-01-31,33
2021-02-07,40
2021-02-14,33
2021-02-21,40
2021-02-28,35
2021-03-07,36
2021-03-14,29
2021-03-21,31
2021-03-28,31
2021-04-04,28
2021-04-11,28
2021-04-18,33
2021-04-25,30
2021-05-02,26
2021-05-09,34
2021-05-16,30
2021-05-23,25
2021-05-30,24
2021-06-06,27
2021-06-13,22
2021-06-20,24
2021-06-27,23
2021-07-04,22
2021-07-11,22
2021-07-18,21
2021-07-25,25
2021-08-01,22
2021-08-08,20
2021-08-15,26
2021-08-22,21
2021-08-29,20
2021-09-05,19
2021-09-12,20
2021-09-19,19
2021-09-26,20
2021-10-03,24
2021-10-10,21
2021-10-17,25
2021-10-24,38
2021-10-31,37
2021-11-07,40
2021-11-14,30
2021-11-21,26
2021-11-28,27
2021-12-05,28
2021-12-12,31
2021-12-19,26
2021-12-26,28
2022-01-02,34
2022-01-09,30
2022-01-16,24
2022-01-23,36
2022-01-30,27
2022-02-06,25
2022-02-13,24
2022-02-20,27
2022-02-27,27
2022-03-06,25
2022-03-13,24
2022-03-20,27
2022-03-27,30
2022-04-03,28
2022-04-10,23
2022-04-17,28
2022-04-24,29
2022-05-01,21
2022-05-08,27
2022-05-15,26
2022-05-22,26
2022-05-29,25
2022-06-05,24
2022-06-12,24
2022-06-19,26
2022-06-26,23
2022-07-03,23
2022-07-10,21
2022-07-17,25
2022-07-24,20
2022-07-31,26
2022-08-07,24
2022-08-14,19
2022-08-21,25
2022-08-28,20
2022-09-04,19
2022-09-11,18
2022-09-18,19
2022-09-25,20
2022-10-02,24
2022-10-09,19
2022-10-16,24
2022-10-23,20
2022-10-30,18
2022-11-06,23
2022-11-13,22
2022-11-20,18
2022-11-27,18
2022-12-04,19
2022-12-11,26
2022-12-18,32
2022-12-25,34
2023-01-01,38
2023-01-08,31
2023-01-15,31
2023-01-22,33
2023-01-29,30
2023-02-05,30
2023-02-12,29
2023-02-19,27
2023-02-26,39
2023-03-05,28
2023-03-12,22
2023-03-19,30
2023-03-26,24
2023-04-02,28
2023-04-09,25
2023-04-16,30
2023-04-23,24
2023-04-30,19
2023-05-07,20
2023-05-14,21
2023-05-21,23
2023-05-28,25
2023-06-04,28
2023-06-11,29
2023-06-18,29
2023-06-25,26
2023-07-02,32
2023-07-09,27
2023-07-16,31
2023-07-23,27
2023-07-30,22
2023-08-06,21
2023-08-13,22
2023-08-20,22
2023-08-27,24
2023-09-03,19
2023-09-10,22
2023-09-17,21
2023-09-24,19
2023-10-01,21
2023-10-08,20
2023-10-15,25
2023-10-22,20
2023-10-29,21
2023-11-05,19
2023-11-12,19
2023-11-19,16
2023-11-26,21
2023-12-03,18
2023-12-10,20
2023-12-17,18
2023-12-24,18
2023-12-31,19
2024-01-07,20
2024-01-14,21
2024-01-21,28
2024-01-28,23
2024-02-04,21
2024-02-11,19
2024-02-18,16
2024-02-25,17
2024-03-03,23
2024-03-10,21
2024-03-17,18
2024-03-24,18
2024-03-31,25
2024-04-07,19
2024-04-14,30
2024-04-21,33
2024-04-28,29
2024-05-05,21
2024-05-12,19
2024-05-19,17
2024-05-26,17
2024-06-02,17
2024-06-09,23
2024-06-16,18
2024-06-23,18
2024-06-30,25
2024-07-07,24
2024-07-14,19
2024-07-21,25
2024-07-28,18
2024-08-04,18
2024-08-11,17
2024-08-18,17
2024-08-25,15
2024-09-01,16
2024-09-08,14
2024-09-15,15
2024-09-22,16
2024-09-29,19
2024-10-06,33
2024-10-13,21
2024-10-20,26
2024-10-27,18
2024-11-03,30
2024-11-10,30
2024-11-17,23
2024-11-24,19
2024-12-01,23
2024-12-08,24
2024-12-15,28
2024-12-22,20
2024-12-29,38
2025-01-05,25
2025-01-12,21
2025-01-19,42
2025-01-26,27
2025-02-02,27
2025-02-09,29
2025-02-16,27
2025-02-23,36
2025-03-02,48
2025-03-09,93
2025-03-16,91
2025-03-23,71
2025-03-30,100
2025-04-06,64
2025-04-13,35
2025-04-20,50
2025-04-27,38
2025-05-04,29
2025-05-11,28
2025-05-18,29
2025-05-25,41
2025-06-01,44
2025-06-08,44
2025-06-15,30
2025-06-22,41
2025-06-29,39
2025-07-06,39
2025-07-13,44
2025-07-20,58
2025-07-27,95
