date,Doja Cat
2020-08-02,26
2020-08-09,33
2020-08-16,30
2020-08-23,25
2020-08-30,41
2020-09-06,23
2020-09-13,20
2020-09-20,16
2020-09-27,17
2020-10-04,16
2020-10-11,20
2020-10-18,20
2020-10-25,18
2020-11-01,14
2020-11-08,20
2020-11-15,15
2020-11-22,22
2020-11-29,15
2020-12-06,15
2020-12-13,16
2020-12-20,15
2020-12-27,31
2021-01-03,23
2021-01-10,31
2021-01-17,31
2021-01-24,30
2021-01-31,32
2021-02-07,29
2021-02-14,26
2021-02-21,27
2021-02-28,24
2021-03-07,33
2021-03-14,52
2021-03-21,29
2021-03-28,26
2021-04-04,28
2021-04-11,30
2021-04-18,36
2021-04-25,35
2021-05-02,30
2021-05-09,32
2021-05-16,30
2021-05-23,36
2021-05-30,30
2021-06-06,37
2021-06-13,34
2021-06-20,56
2021-06-27,59
2021-07-04,46
2021-07-11,57
2021-07-18,56
2021-07-25,51
2021-08-01,47
2021-08-08,50
2021-08-15,50
2021-08-22,52
2021-08-29,50
2021-09-05,52
2021-09-12,72
2021-09-19,47
2021-09-26,44
2021-10-03,52
2021-10-10,52
2021-10-17,54
2021-10-24,56
2021-10-31,44
2021-11-07,40
2021-11-14,43
2021-11-21,41
2021-11-28,50
2021-12-05,58
2021-12-12,53
2021-12-19,45
2021-12-26,47
2022-01-02,43
2022-01-09,42
2022-01-16,36
2022-01-23,33
2022-01-30,38
2022-02-06,36
2022-02-13,38
2022-02-20,36
2022-02-27,39
2022-03-06,39
2022-03-13,41
2022-03-20,100
2022-03-27,73
2022-04-03,82
2022-04-10,41
2022-04-17,50
2022-04-24,40
2022-05-01,40
2022-05-08,36
2022-05-15,43
2022-05-22,36
2022-05-29,37
2022-06-05,36
2022-06-12,34
2022-06-19,36
2022-06-26,36
2022-07-03,96
2022-07-10,81
2022-07-17,41
2022-07-24,36
2022-07-31,39
2022-08-07,44
2022-08-14,33
2022-08-21,32
2022-08-28,54
2022-09-04,25
2022-09-11,24
2022-09-18,23
2022-09-25,22
2022-10-02,25
2022-10-09,20
2022-10-16,23
2022-10-23,60
2022-10-30,23
2022-11-06,24
2022-11-13,25
2022-11-20,17
2022-11-27,17
2022-12-04,17
2022-12-11,17
2022-12-18,17
2022-12-25,19
2023-01-01,18
2023-01-08,15
2023-01-15,14
2023-01-22,66
2023-01-29,26
2023-02-05,28
2023-02-12,19
2023-02-19,19
2023-02-26,16
2023-03-05,27
2023-03-12,20
2023-03-19,19
2023-03-26,16
2023-04-02,15
2023-04-09,17
2023-04-16,18
2023-04-23,15
2023-04-30,76
2023-05-07,29
2023-05-14,19
2023-05-21,16
2023-05-28,14
2023-06-04,15
2023-06-11,26
2023-06-18,27
2023-06-25,27
2023-07-02,21
2023-07-09,19
2023-07-16,19
2023-07-23,43
2023-07-30,31
2023-08-06,42
2023-08-13,33
2023-08-20,28
2023-08-27,50
2023-09-03,67
2023-09-10,75
2023-09-17,66
2023-09-24,57
2023-10-01,49
2023-10-08,51
2023-10-15,36
2023-10-22,36
2023-10-29,40
2023-11-05,39
2023-11-12,33
2023-11-19,30
2023-11-26,33
2023-12-03,32
2023-12-10,35
2023-12-17,29
2023-12-24,28
2023-12-31,27
2024-01-07,26
2024-01-14,30
2024-01-21,27
2024-01-28,26
2024-02-04,60
2024-02-11,27
2024-02-18,24
2024-02-25,20
2024-03-03,21
2024-03-10,21
2024-03-17,18
2024-03-24,19
2024-03-31,23
2024-04-07,21
2024-04-14,30
2024-04-21,25
2024-04-28,28
2024-05-05,67
2024-05-12,25
2024-05-19,20
2024-05-26,21
2024-06-02,20
2024-06-09,24
2024-06-16,24
2024-06-23,23
2024-06-30,21
2024-07-07,23
2024-07-14,22
2024-07-21,18
2024-07-28,15
2024-08-04,14
2024-08-11,15
2024-08-18,29
2024-08-25,17
2024-09-01,16
2024-09-08,17
2024-09-15,15
2024-09-22,18
2024-09-29,17
2024-10-06,15
2024-10-13,14
2024-10-20,17
2024-10-27,15
2024-11-03,13
2024-11-10,12
2024-11-17,13
2024-11-24,14
2024-12-01,15
2024-12-08,16
2024-12-15,13
2024-12-22,13
2024-12-29,14
2025-01-05,13
2025-01-12,13
2025-01-19,13
2025-01-26,13
2025-02-02,18
2025-02-09,16
2025-02-16,13
2025-02-23,12
2025-03-02,22
2025-03-09,13
2025-03-16,15
2025-03-23,16
2025-03-30,14
2025-04-06,12
2025-04-13,12
2025-04-20,11
2025-04-27,11
2025-05-04,17
2025-05-11,17
2025-05-18,11
2025-05-25,11
2025-06-01,11
2025-06-08,11
2025-06-15,14
2025-06-22,10
2025-06-29,10
2025-07-06,10
2025-07-13,21
2025-07-20,10
2025-07-27,14
