date,CRWD
2020-08-02,9
2020-08-09,10
2020-08-16,8
2020-08-23,9
2020-08-30,39
2020-09-06,12
2020-09-13,10
2020-09-20,11
2020-09-27,9
2020-10-04,9
2020-10-11,11
2020-10-18,9
2020-10-25,8
2020-11-01,7
2020-11-08,10
2020-11-15,9
2020-11-22,7
2020-11-29,20
2020-12-06,13
2020-12-13,12
2020-12-20,14
2020-12-27,10
2021-01-03,14
2021-01-10,13
2021-01-17,8
2021-01-24,11
2021-01-31,9
2021-02-07,10
2021-02-14,9
2021-02-21,10
2021-02-28,10
2021-03-07,11
2021-03-14,17
2021-03-21,10
2021-03-28,9
2021-04-04,10
2021-04-11,9
2021-04-18,8
2021-04-25,8
2021-05-02,7
2021-05-09,9
2021-05-16,8
2021-05-23,8
2021-05-30,10
2021-06-06,10
2021-06-13,9
2021-06-20,12
2021-06-27,8
2021-07-04,9
2021-07-11,8
2021-07-18,8
2021-07-25,6
2021-08-01,7
2021-08-08,8
2021-08-15,7
2021-08-22,14
2021-08-29,19
2021-09-05,7
2021-09-12,8
2021-09-19,7
2021-09-26,7
2021-10-03,7
2021-10-10,9
2021-10-17,8
2021-10-24,8
2021-10-31,9
2021-11-07,7
2021-11-14,12
2021-11-21,9
2021-11-28,18
2021-12-05,11
2021-12-12,10
2021-12-19,7
2021-12-26,7
2022-01-02,9
2022-01-09,7
2022-01-16,6
2022-01-23,7
2022-01-30,6
2022-02-06,6
2022-02-13,5
2022-02-20,8
2022-02-27,10
2022-03-06,15
2022-03-13,9
2022-03-20,8
2022-03-27,7
2022-04-03,6
2022-04-10,7
2022-04-17,6
2022-04-24,6
2022-05-01,7
2022-05-08,7
2022-05-15,6
2022-05-22,6
2022-05-29,9
2022-06-05,7
2022-06-12,6
2022-06-19,5
2022-06-26,5
2022-07-03,5
2022-07-10,4
2022-07-17,4
2022-07-24,5
2022-07-31,5
2022-08-07,5
2022-08-14,5
2022-08-21,5
2022-08-28,11
2022-09-04,4
2022-09-11,5
2022-09-18,4
2022-09-25,4
2022-10-02,4
2022-10-09,4
2022-10-16,4
2022-10-23,4
2022-10-30,5
2022-11-06,5
2022-11-13,5
2022-11-20,3
2022-11-27,15
2022-12-04,5
2022-12-11,5
2022-12-18,5
2022-12-25,4
2023-01-01,5
2023-01-08,5
2023-01-15,4
2023-01-22,5
2023-01-29,5
2023-02-05,5
2023-02-12,5
2023-02-19,5
2023-02-26,5
2023-03-05,12
2023-03-12,5
2023-03-19,5
2023-03-26,4
2023-04-02,4
2023-04-09,5
2023-04-16,4
2023-04-23,5
2023-04-30,4
2023-05-07,4
2023-05-14,5
2023-05-21,6
2023-05-28,14
2023-06-04,7
2023-06-11,7
2023-06-18,5
2023-06-25,5
2023-07-02,4
2023-07-09,6
2023-07-16,6
2023-07-23,5
2023-07-30,6
2023-08-06,5
2023-08-13,4
2023-08-20,5
2023-08-27,13
2023-09-03,5
2023-09-10,5
2023-09-17,5
2023-09-24,4
2023-10-01,5
2023-10-08,7
2023-10-15,5
2023-10-22,5
2023-10-29,5
2023-11-05,5
2023-11-12,7
2023-11-19,5
2023-11-26,14
2023-12-03,8
2023-12-10,9
2023-12-17,8
2023-12-24,5
2023-12-31,6
2024-01-07,11
2024-01-14,7
2024-01-21,11
2024-01-28,9
2024-02-04,13
2024-02-11,12
2024-02-18,16
2024-02-25,13
2024-03-03,36
2024-03-10,12
2024-03-17,11
2024-03-24,9
2024-03-31,8
2024-04-07,6
2024-04-14,7
2024-04-21,7
2024-04-28,7
2024-05-05,7
2024-05-12,8
2024-05-19,10
2024-05-26,12
2024-06-02,27
2024-06-09,22
2024-06-16,12
2024-06-23,11
2024-06-30,10
2024-07-07,12
2024-07-14,78
2024-07-21,100
2024-07-28,54
2024-08-04,33
2024-08-11,24
2024-08-18,25
2024-08-25,31
2024-09-01,15
2024-09-08,13
2024-09-15,18
2024-09-22,17
2024-09-29,13
2024-10-06,16
2024-10-13,15
2024-10-20,13
2024-10-27,13
2024-11-03,15
2024-11-10,16
2024-11-17,16
2024-11-24,25
2024-12-01,15
2024-12-08,12
2024-12-15,14
2024-12-22,10
2024-12-29,9
2025-01-05,9
2025-01-12,9
2025-01-19,9
2025-01-26,16
2025-02-02,16
2025-02-09,15
2025-02-16,12
2025-02-23,13
2025-03-02,25
2025-03-09,16
2025-03-16,13
2025-03-23,14
2025-03-30,15
2025-04-06,15
2025-04-13,10
2025-04-20,11
2025-04-27,11
2025-05-04,14
2025-05-11,12
2025-05-18,11
2025-05-25,12
2025-06-01,28
2025-06-08,13
2025-06-15,11
2025-06-22,15
2025-06-29,11
2025-07-06,13
2025-07-13,12
2025-07-20,12
2025-07-27,12
