date,Novartis stock price
2020-08-02,67
2020-08-09,75
2020-08-16,55
2020-08-23,48
2020-08-30,67
2020-09-06,56
2020-09-13,64
2020-09-20,62
2020-09-27,50
2020-10-04,51
2020-10-11,46
2020-10-18,42
2020-10-25,69
2020-11-01,47
2020-11-08,100
2020-11-15,63
2020-11-22,70
2020-11-29,55
2020-12-06,60
2020-12-13,75
2020-12-20,47
2020-12-27,47
2021-01-03,59
2021-01-10,74
2021-01-17,87
2021-01-24,66
2021-01-31,70
2021-02-07,67
2021-02-14,67
2021-02-21,74
2021-02-28,60
2021-03-07,52
2021-03-14,61
2021-03-21,41
2021-03-28,47
2021-04-04,41
2021-04-11,49
2021-04-18,61
2021-04-25,71
2021-05-02,49
2021-05-09,51
2021-05-16,53
2021-05-23,50
2021-05-30,58
2021-06-06,62
2021-06-13,75
2021-06-20,39
2021-06-27,52
2021-07-04,46
2021-07-11,46
2021-07-18,44
2021-07-25,46
2021-08-01,32
2021-08-08,46
2021-08-15,42
2021-08-22,33
2021-08-29,38
2021-09-05,46
2021-09-12,60
2021-09-19,36
2021-09-26,55
2021-10-03,46
2021-10-10,41
2021-10-17,37
2021-10-24,59
2021-10-31,35
2021-11-07,49
2021-11-14,42
2021-11-21,32
2021-11-28,46
2021-12-05,40
2021-12-12,57
2021-12-19,44
2021-12-26,41
2022-01-02,49
2022-01-09,35
2022-01-16,36
2022-01-23,53
2022-01-30,56
2022-02-06,51
2022-02-13,44
2022-02-20,51
2022-02-27,40
2022-03-06,48
2022-03-13,44
2022-03-20,43
2022-03-27,39
2022-04-03,41
2022-04-10,35
2022-04-17,40
2022-04-24,51
2022-05-01,38
2022-05-08,45
2022-05-15,29
2022-05-22,32
2022-05-29,44
2022-06-05,32
2022-06-12,33
2022-06-19,37
2022-06-26,37
2022-07-03,34
2022-07-10,31
2022-07-17,56
2022-07-24,39
2022-07-31,32
2022-08-07,41
2022-08-14,17
2022-08-21,37
2022-08-28,30
2022-09-04,35
2022-09-11,33
2022-09-18,27
2022-09-25,38
2022-10-02,39
2022-10-09,34
2022-10-16,26
2022-10-23,43
2022-10-30,24
2022-11-06,30
2022-11-13,25
2022-11-20,34
2022-11-27,30
2022-12-04,27
2022-12-11,26
2022-12-18,29
2022-12-25,25
2023-01-01,35
2023-01-08,27
2023-01-15,25
2023-01-22,38
2023-01-29,43
2023-02-05,38
2023-02-12,27
2023-02-19,28
2023-02-26,27
2023-03-05,28
2023-03-12,34
2023-03-19,22
2023-03-26,55
2023-04-02,46
2023-04-09,25
2023-04-16,22
2023-04-23,59
2023-04-30,50
2023-05-07,33
2023-05-14,26
2023-05-21,44
2023-05-28,29
2023-06-04,47
2023-06-11,45
2023-06-18,41
2023-06-25,38
2023-07-02,28
2023-07-09,44
2023-07-16,55
2023-07-23,42
2023-07-30,29
2023-08-06,35
2023-08-13,34
2023-08-20,29
2023-08-27,35
2023-09-03,33
2023-09-10,37
2023-09-17,29
2023-09-24,32
2023-10-01,43
2023-10-08,30
2023-10-15,47
2023-10-22,37
2023-10-29,40
2023-11-05,33
2023-11-12,38
2023-11-19,26
2023-11-26,41
2023-12-03,36
2023-12-10,26
2023-12-17,47
2023-12-24,28
2023-12-31,39
2024-01-07,60
2024-01-14,42
2024-01-21,42
2024-01-28,34
2024-02-04,62
2024-02-11,41
2024-02-18,58
2024-02-25,32
2024-03-03,58
2024-03-10,54
2024-03-17,36
2024-03-24,32
2024-03-31,24
2024-04-07,34
2024-04-14,44
2024-04-21,42
2024-04-28,40
2024-05-05,37
2024-05-12,38
2024-05-19,24
2024-05-26,29
2024-06-02,34
2024-06-09,32
2024-06-16,43
2024-06-23,32
2024-06-30,30
2024-07-07,46
2024-07-14,66
2024-07-21,37
2024-07-28,34
2024-08-04,43
2024-08-11,56
2024-08-18,37
2024-08-25,42
2024-09-01,30
2024-09-08,40
2024-09-15,43
2024-09-22,32
2024-09-29,29
2024-10-06,23
2024-10-13,29
2024-10-20,36
2024-10-27,37
2024-11-03,37
2024-11-10,41
2024-11-17,37
2024-11-24,0
2024-12-01,31
2024-12-08,25
2024-12-15,42
2024-12-22,0
2024-12-29,0
2025-01-05,22
2025-01-12,34
2025-01-19,33
2025-01-26,58
2025-02-02,41
2025-02-09,46
2025-02-16,50
2025-02-23,68
2025-03-02,64
2025-03-09,63
2025-03-16,49
2025-03-23,41
2025-03-30,65
2025-04-06,81
2025-04-13,30
2025-04-20,37
2025-04-27,50
2025-05-04,48
2025-05-11,56
2025-05-18,37
2025-05-25,50
2025-06-01,57
2025-06-08,54
2025-06-15,40
2025-06-22,35
2025-06-29,34
2025-07-06,55
2025-07-13,46
2025-07-20,55
2025-07-27,88
