date,wearable fitness
2020-08-02,27
2020-08-09,24
2020-08-16,24
2020-08-23,32
2020-08-30,41
2020-09-06,36
2020-09-13,26
2020-09-20,29
2020-09-27,33
2020-10-04,41
2020-10-11,34
2020-10-18,42
2020-10-25,35
2020-11-01,25
2020-11-08,32
2020-11-15,42
2020-11-22,39
2020-11-29,39
2020-12-06,30
2020-12-13,33
2020-12-20,18
2020-12-27,34
2021-01-03,30
2021-01-10,31
2021-01-17,31
2021-01-24,29
2021-01-31,22
2021-02-07,23
2021-02-14,40
2021-02-21,30
2021-02-28,30
2021-03-07,32
2021-03-14,28
2021-03-21,37
2021-03-28,38
2021-04-04,26
2021-04-11,26
2021-04-18,35
2021-04-25,32
2021-05-02,30
2021-05-09,29
2021-05-16,34
2021-05-23,33
2021-05-30,23
2021-06-06,30
2021-06-13,26
2021-06-20,34
2021-06-27,23
2021-07-04,28
2021-07-11,23
2021-07-18,34
2021-07-25,31
2021-08-01,30
2021-08-08,35
2021-08-15,30
2021-08-22,20
2021-08-29,36
2021-09-05,25
2021-09-12,37
2021-09-19,21
2021-09-26,38
2021-10-03,38
2021-10-10,33
2021-10-17,47
2021-10-24,38
2021-10-31,30
2021-11-07,28
2021-11-14,33
2021-11-21,41
2021-11-28,39
2021-12-05,36
2021-12-12,48
2021-12-19,42
2021-12-26,45
2022-01-02,37
2022-01-09,40
2022-01-16,49
2022-01-23,37
2022-01-30,33
2022-02-06,36
2022-02-13,30
2022-02-20,44
2022-02-27,40
2022-03-06,27
2022-03-13,42
2022-03-20,35
2022-03-27,43
2022-04-03,26
2022-04-10,32
2022-04-17,38
2022-04-24,33
2022-05-01,30
2022-05-08,36
2022-05-15,31
2022-05-22,36
2022-05-29,34
2022-06-05,31
2022-06-12,34
2022-06-19,23
2022-06-26,31
2022-07-03,31
2022-07-10,25
2022-07-17,28
2022-07-24,31
2022-07-31,24
2022-08-07,30
2022-08-14,37
2022-08-21,33
2022-08-28,36
2022-09-04,26
2022-09-11,31
2022-09-18,30
2022-09-25,44
2022-10-02,32
2022-10-09,34
2022-10-16,38
2022-10-23,37
2022-10-30,38
2022-11-06,30
2022-11-13,37
2022-11-20,38
2022-11-27,36
2022-12-04,36
2022-12-11,28
2022-12-18,22
2022-12-25,23
2023-01-01,37
2023-01-08,24
2023-01-15,34
2023-01-22,39
2023-01-29,38
2023-02-05,43
2023-02-12,40
2023-02-19,36
2023-02-26,27
2023-03-05,38
2023-03-12,30
2023-03-19,32
2023-03-26,31
2023-04-02,34
2023-04-09,36
2023-04-16,35
2023-04-23,38
2023-04-30,34
2023-05-07,36
2023-05-14,30
2023-05-21,27
2023-05-28,23
2023-06-04,30
2023-06-11,32
2023-06-18,23
2023-06-25,30
2023-07-02,32
2023-07-09,44
2023-07-16,36
2023-07-23,33
2023-07-30,30
2023-08-06,24
2023-08-13,32
2023-08-20,31
2023-08-27,34
2023-09-03,33
2023-09-10,31
2023-09-17,43
2023-09-24,28
2023-10-01,38
2023-10-08,32
2023-10-15,34
2023-10-22,42
2023-10-29,23
2023-11-05,38
2023-11-12,37
2023-11-19,50
2023-11-26,36
2023-12-03,38
2023-12-10,33
2023-12-17,30
2023-12-24,35
2023-12-31,44
2024-01-07,42
2024-01-14,33
2024-01-21,41
2024-01-28,41
2024-02-04,52
2024-02-11,40
2024-02-18,50
2024-02-25,66
2024-03-03,54
2024-03-10,38
2024-03-17,48
2024-03-24,29
2024-03-31,44
2024-04-07,32
2024-04-14,54
2024-04-21,55
2024-04-28,49
2024-05-05,40
2024-05-12,40
2024-05-19,34
2024-05-26,49
2024-06-02,42
2024-06-09,51
2024-06-16,46
2024-06-23,42
2024-06-30,45
2024-07-07,44
2024-07-14,49
2024-07-21,61
2024-07-28,45
2024-08-04,48
2024-08-11,42
2024-08-18,53
2024-08-25,49
2024-09-01,58
2024-09-08,47
2024-09-15,61
2024-09-22,65
2024-09-29,63
2024-10-06,69
2024-10-13,49
2024-10-20,65
2024-10-27,59
2024-11-03,45
2024-11-10,54
2024-11-17,73
2024-11-24,67
2024-12-01,75
2024-12-08,77
2024-12-15,60
2024-12-22,55
2024-12-29,67
2025-01-05,70
2025-01-12,82
2025-01-19,67
2025-01-26,60
2025-02-02,65
2025-02-09,55
2025-02-16,61
2025-02-23,71
2025-03-02,67
2025-03-09,67
2025-03-16,67
2025-03-23,68
2025-03-30,71
2025-04-06,63
2025-04-13,60
2025-04-20,60
2025-04-27,62
2025-05-04,57
2025-05-11,46
2025-05-18,54
2025-05-25,68
2025-06-01,73
2025-06-08,81
2025-06-15,68
2025-06-22,75
2025-06-29,65
2025-07-06,76
2025-07-13,81
2025-07-20,100
2025-07-27,97
