date,Meta stock price
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,1
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,1
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,7
2021-10-31,8
2021-11-07,8
2021-11-14,9
2021-11-21,6
2021-11-28,7
2021-12-05,7
2021-12-12,5
2021-12-19,5
2021-12-26,6
2022-01-02,6
2022-01-09,6
2022-01-16,6
2022-01-23,7
2022-01-30,73
2022-02-06,42
2022-02-13,25
2022-02-20,21
2022-02-27,13
2022-03-06,15
2022-03-13,13
2022-03-20,12
2022-03-27,11
2022-04-03,9
2022-04-10,8
2022-04-17,13
2022-04-24,24
2022-05-01,14
2022-05-08,17
2022-05-15,12
2022-05-22,12
2022-05-29,9
2022-06-05,9
2022-06-12,16
2022-06-19,17
2022-06-26,13
2022-07-03,13
2022-07-10,11
2022-07-17,14
2022-07-24,24
2022-07-31,14
2022-08-07,13
2022-08-14,10
2022-08-21,11
2022-08-28,12
2022-09-04,8
2022-09-11,14
2022-09-18,14
2022-09-25,16
2022-10-02,12
2022-10-09,15
2022-10-16,13
2022-10-23,69
2022-10-30,42
2022-11-06,52
2022-11-13,27
2022-11-20,15
2022-11-27,15
2022-12-04,16
2022-12-11,16
2022-12-18,14
2022-12-25,14
2023-01-01,14
2023-01-08,15
2023-01-15,13
2023-01-22,17
2023-01-29,47
2023-02-05,26
2023-02-12,18
2023-02-19,15
2023-02-26,13
2023-03-05,16
2023-03-12,22
2023-03-19,20
2023-03-26,17
2023-04-02,14
2023-04-09,16
2023-04-16,17
2023-04-23,32
2023-04-30,18
2023-05-07,15
2023-05-14,16
2023-05-21,21
2023-05-28,19
2023-06-04,20
2023-06-11,21
2023-06-18,16
2023-06-25,18
2023-07-02,28
2023-07-09,30
2023-07-16,25
2023-07-23,36
2023-07-30,24
2023-08-06,18
2023-08-13,17
2023-08-20,17
2023-08-27,16
2023-09-03,12
2023-09-10,14
2023-09-17,14
2023-09-24,15
2023-10-01,16
2023-10-08,15
2023-10-15,14
2023-10-22,26
2023-10-29,17
2023-11-05,18
2023-11-12,18
2023-11-19,13
2023-11-26,16
2023-12-03,17
2023-12-10,17
2023-12-17,19
2023-12-24,15
2023-12-31,15
2024-01-07,19
2024-01-14,18
2024-01-21,23
2024-01-28,55
2024-02-04,44
2024-02-11,31
2024-02-18,28
2024-02-25,27
2024-03-03,37
2024-03-10,31
2024-03-17,26
2024-03-24,22
2024-03-31,25
2024-04-07,25
2024-04-14,24
2024-04-21,54
2024-04-28,35
2024-05-05,27
2024-05-12,25
2024-05-19,22
2024-05-26,19
2024-06-02,22
2024-06-09,25
2024-06-16,20
2024-06-23,23
2024-06-30,21
2024-07-07,28
2024-07-14,29
2024-07-21,28
2024-07-28,43
2024-08-04,37
2024-08-11,28
2024-08-18,24
2024-08-25,22
2024-09-01,18
2024-09-08,20
2024-09-15,23
2024-09-22,26
2024-09-29,25
2024-10-06,25
2024-10-13,22
2024-10-20,23
2024-10-27,44
2024-11-03,35
2024-11-10,31
2024-11-17,28
2024-11-24,20
2024-12-01,33
2024-12-08,31
2024-12-15,32
2024-12-22,22
2024-12-29,22
2025-01-05,31
2025-01-12,42
2025-01-19,53
2025-01-26,92
2025-02-02,44
2025-02-09,43
2025-02-16,38
2025-02-23,43
2025-03-02,41
2025-03-09,49
2025-03-16,37
2025-03-23,33
2025-03-30,49
2025-04-06,57
2025-04-13,33
2025-04-20,39
2025-04-27,50
2025-05-04,34
2025-05-11,41
2025-05-18,31
2025-05-25,27
2025-06-01,34
2025-06-08,34
2025-06-15,29
2025-06-22,47
2025-06-29,34
2025-07-06,35
2025-07-13,38
2025-07-20,40
2025-07-27,100
