date,Cisco news
2020-08-02,16
2020-08-09,36
2020-08-16,20
2020-08-23,19
2020-08-30,17
2020-09-06,18
2020-09-13,13
2020-09-20,15
2020-09-27,11
2020-10-04,18
2020-10-11,14
2020-10-18,13
2020-10-25,14
2020-11-01,15
2020-11-08,17
2020-11-15,10
2020-11-22,10
2020-11-29,9
2020-12-06,13
2020-12-13,10
2020-12-20,10
2020-12-27,9
2021-01-03,15
2021-01-10,12
2021-01-17,14
2021-01-24,14
2021-01-31,10
2021-02-07,17
2021-02-14,11
2021-02-21,12
2021-02-28,11
2021-03-07,11
2021-03-14,10
2021-03-21,11
2021-03-28,12
2021-04-04,9
2021-04-11,10
2021-04-18,11
2021-04-25,9
2021-05-02,10
2021-05-09,9
2021-05-16,13
2021-05-23,12
2021-05-30,10
2021-06-06,11
2021-06-13,11
2021-06-20,11
2021-06-27,11
2021-07-04,9
2021-07-11,10
2021-07-18,10
2021-07-25,10
2021-08-01,10
2021-08-08,12
2021-08-15,14
2021-08-22,12
2021-08-29,11
2021-09-05,9
2021-09-12,9
2021-09-19,10
2021-09-26,11
2021-10-03,8
2021-10-10,12
2021-10-17,9
2021-10-24,10
2021-10-31,11
2021-11-07,10
2021-11-14,10
2021-11-21,10
2021-11-28,12
2021-12-05,11
2021-12-12,9
2021-12-19,9
2021-12-26,10
2022-01-02,12
2022-01-09,12
2022-01-16,10
2022-01-23,9
2022-01-30,12
2022-02-06,18
2022-02-13,16
2022-02-20,14
2022-02-27,16
2022-03-06,12
2022-03-13,14
2022-03-20,12
2022-03-27,12
2022-04-03,9
2022-04-10,9
2022-04-17,12
2022-04-24,11
2022-05-01,7
2022-05-08,11
2022-05-15,16
2022-05-22,11
2022-05-29,9
2022-06-05,10
2022-06-12,10
2022-06-19,12
2022-06-26,11
2022-07-03,11
2022-07-10,11
2022-07-17,10
2022-07-24,9
2022-07-31,9
2022-08-07,12
2022-08-14,14
2022-08-21,11
2022-08-28,9
2022-09-04,9
2022-09-11,9
2022-09-18,9
2022-09-25,11
2022-10-02,10
2022-10-09,8
2022-10-16,7
2022-10-23,10
2022-10-30,9
2022-11-06,12
2022-11-13,18
2022-11-20,13
2022-11-27,8
2022-12-04,8
2022-12-11,12
2022-12-18,9
2022-12-25,6
2023-01-01,8
2023-01-08,8
2023-01-15,11
2023-01-22,10
2023-01-29,10
2023-02-05,10
2023-02-12,10
2023-02-19,10
2023-02-26,9
2023-03-05,8
2023-03-12,11
2023-03-19,9
2023-03-26,9
2023-04-02,8
2023-04-09,9
2023-04-16,11
2023-04-23,8
2023-04-30,8
2023-05-07,11
2023-05-14,9
2023-05-21,9
2023-05-28,7
2023-06-04,9
2023-06-11,11
2023-06-18,10
2023-06-25,11
2023-07-02,7
2023-07-09,10
2023-07-16,12
2023-07-23,11
2023-07-30,9
2023-08-06,8
2023-08-13,12
2023-08-20,9
2023-08-27,10
2023-09-03,8
2023-09-10,10
2023-09-17,21
2023-09-24,10
2023-10-01,10
2023-10-08,11
2023-10-15,10
2023-10-22,9
2023-10-29,10
2023-11-05,9
2023-11-12,15
2023-11-19,8
2023-11-26,8
2023-12-03,10
2023-12-10,7
2023-12-17,8
2023-12-24,8
2023-12-31,7
2024-01-07,9
2024-01-14,10
2024-01-21,11
2024-01-28,12
2024-02-04,16
2024-02-11,32
2024-02-18,14
2024-02-25,11
2024-03-03,9
2024-03-10,8
2024-03-17,11
2024-03-24,8
2024-03-31,11
2024-04-07,9
2024-04-14,12
2024-04-21,10
2024-04-28,11
2024-05-05,9
2024-05-12,10
2024-05-19,7
2024-05-26,9
2024-06-02,13
2024-06-09,10
2024-06-16,10
2024-06-23,9
2024-06-30,8
2024-07-07,10
2024-07-14,9
2024-07-21,8
2024-07-28,11
2024-08-04,17
2024-08-11,31
2024-08-18,15
2024-08-25,12
2024-09-01,8
2024-09-08,12
2024-09-15,17
2024-09-22,11
2024-09-29,9
2024-10-06,11
2024-10-13,13
2024-10-20,13
2024-10-27,12
2024-11-03,10
2024-11-10,14
2024-11-17,10
2024-11-24,6
2024-12-01,11
2024-12-08,10
2024-12-15,11
2024-12-22,6
2024-12-29,8
2025-01-05,8
2025-01-12,9
2025-01-19,9
2025-01-26,12
2025-02-02,12
2025-02-09,14
2025-02-16,11
2025-02-23,12
2025-03-02,11
2025-03-09,11
2025-03-16,9
2025-03-23,9
2025-03-30,10
2025-04-06,12
2025-04-13,9
2025-04-20,10
2025-04-27,8
2025-05-04,14
2025-05-11,12
2025-05-18,8
2025-05-25,7
2025-06-01,11
2025-06-08,26
2025-06-15,23
2025-06-22,23
2025-06-29,22
2025-07-06,19
2025-07-13,34
2025-07-20,51
2025-07-27,100
