date,Atlassian
2020-08-02,46
2020-08-09,45
2020-08-16,46
2020-08-23,44
2020-08-30,47
2020-09-06,41
2020-09-13,44
2020-09-20,39
2020-09-27,36
2020-10-04,34
2020-10-11,33
2020-10-18,37
2020-10-25,34
2020-11-01,29
2020-11-08,29
2020-11-15,32
2020-11-22,27
2020-11-29,29
2020-12-06,29
2020-12-13,30
2020-12-20,22
2020-12-27,17
2021-01-03,27
2021-01-10,30
2021-01-17,34
2021-01-24,33
2021-01-31,31
2021-02-07,33
2021-02-14,29
2021-02-21,30
2021-02-28,29
2021-03-07,28
2021-03-14,30
2021-03-21,28
2021-03-28,27
2021-04-04,29
2021-04-11,30
2021-04-18,32
2021-04-25,34
2021-05-02,30
2021-05-09,29
2021-05-16,29
2021-05-23,28
2021-05-30,28
2021-06-06,30
2021-06-13,31
2021-06-20,33
2021-06-27,28
2021-07-04,27
2021-07-11,30
2021-07-18,32
2021-07-25,35
2021-08-01,32
2021-08-08,28
2021-08-15,28
2021-08-22,32
2021-08-29,35
2021-09-05,37
2021-09-12,39
2021-09-19,33
2021-09-26,32
2021-10-03,32
2021-10-10,30
2021-10-17,35
2021-10-24,36
2021-10-31,35
2021-11-07,32
2021-11-14,34
2021-11-21,30
2021-11-28,35
2021-12-05,34
2021-12-12,37
2021-12-19,26
2021-12-26,19
2022-01-02,39
2022-01-09,45
2022-01-16,40
2022-01-23,54
2022-01-30,47
2022-02-06,48
2022-02-13,42
2022-02-20,47
2022-02-27,43
2022-03-06,42
2022-03-13,43
2022-03-20,41
2022-03-27,49
2022-04-03,62
2022-04-10,64
2022-04-17,50
2022-04-24,53
2022-05-01,53
2022-05-08,53
2022-05-15,49
2022-05-22,47
2022-05-29,57
2022-06-05,56
2022-06-12,51
2022-06-19,53
2022-06-26,53
2022-07-03,43
2022-07-10,51
2022-07-17,53
2022-07-24,51
2022-07-31,54
2022-08-07,55
2022-08-14,50
2022-08-21,55
2022-08-28,48
2022-09-04,47
2022-09-11,56
2022-09-18,54
2022-09-25,47
2022-10-02,56
2022-10-09,54
2022-10-16,48
2022-10-23,50
2022-10-30,62
2022-11-06,58
2022-11-13,54
2022-11-20,45
2022-11-27,47
2022-12-04,46
2022-12-11,44
2022-12-18,39
2022-12-25,29
2023-01-01,40
2023-01-08,49
2023-01-15,49
2023-01-22,52
2023-01-29,51
2023-02-05,56
2023-02-12,50
2023-02-19,50
2023-02-26,51
2023-03-05,64
2023-03-12,49
2023-03-19,45
2023-03-26,46
2023-04-02,42
2023-04-09,41
2023-04-16,47
2023-04-23,71
2023-04-30,48
2023-05-07,53
2023-05-14,45
2023-05-21,51
2023-05-28,45
2023-06-04,46
2023-06-11,46
2023-06-18,49
2023-06-25,46
2023-07-02,54
2023-07-09,51
2023-07-16,47
2023-07-23,53
2023-07-30,57
2023-08-06,54
2023-08-13,51
2023-08-20,55
2023-08-27,52
2023-09-03,50
2023-09-10,52
2023-09-17,49
2023-09-24,49
2023-10-01,50
2023-10-08,58
2023-10-15,52
2023-10-22,47
2023-10-29,52
2023-11-05,50
2023-11-12,48
2023-11-19,41
2023-11-26,46
2023-12-03,48
2023-12-10,48
2023-12-17,46
2023-12-24,28
2023-12-31,41
2024-01-07,45
2024-01-14,60
2024-01-21,63
2024-01-28,68
2024-02-04,68
2024-02-11,61
2024-02-18,59
2024-02-25,58
2024-03-03,60
2024-03-10,58
2024-03-17,58
2024-03-24,57
2024-03-31,60
2024-04-07,55
2024-04-14,61
2024-04-21,62
2024-04-28,58
2024-05-05,53
2024-05-12,60
2024-05-19,53
2024-05-26,53
2024-06-02,57
2024-06-09,53
2024-06-16,51
2024-06-23,52
2024-06-30,52
2024-07-07,54
2024-07-14,56
2024-07-21,57
2024-07-28,56
2024-08-04,55
2024-08-11,50
2024-08-18,56
2024-08-25,57
2024-09-01,56
2024-09-08,57
2024-09-15,63
2024-09-22,56
2024-09-29,53
2024-10-06,56
2024-10-13,55
2024-10-20,56
2024-10-27,57
2024-11-03,59
2024-11-10,56
2024-11-17,60
2024-11-24,52
2024-12-01,58
2024-12-08,51
2024-12-15,60
2024-12-22,31
2024-12-29,35
2025-01-05,57
2025-01-12,60
2025-01-19,61
2025-01-26,60
2025-02-02,72
2025-02-09,95
2025-02-16,83
2025-02-23,61
2025-03-02,65
2025-03-09,68
2025-03-16,77
2025-03-23,70
2025-03-30,68
2025-04-06,71
2025-04-13,62
2025-04-20,63
2025-04-27,62
2025-05-04,64
2025-05-11,67
2025-05-18,64
2025-05-25,63
2025-06-01,72
2025-06-08,76
2025-06-15,76
2025-06-22,75
2025-06-29,72
2025-07-06,76
2025-07-13,77
2025-07-20,85
2025-07-27,100
