date,central banks
2020-08-02,47
2020-08-09,45
2020-08-16,45
2020-08-23,45
2020-08-30,48
2020-09-06,49
2020-09-13,53
2020-09-20,50
2020-09-27,48
2020-10-04,58
2020-10-11,52
2020-10-18,51
2020-10-25,54
2020-11-01,48
2020-11-08,52
2020-11-15,52
2020-11-22,55
2020-11-29,56
2020-12-06,57
2020-12-13,55
2020-12-20,42
2020-12-27,39
2021-01-03,41
2021-01-10,50
2021-01-17,46
2021-01-24,44
2021-01-31,56
2021-02-07,47
2021-02-14,56
2021-02-21,50
2021-02-28,52
2021-03-07,53
2021-03-14,56
2021-03-21,48
2021-03-28,49
2021-04-04,52
2021-04-11,54
2021-04-18,56
2021-04-25,54
2021-05-02,59
2021-05-09,57
2021-05-16,52
2021-05-23,50
2021-05-30,45
2021-06-06,48
2021-06-13,48
2021-06-20,54
2021-06-27,45
2021-07-04,45
2021-07-11,46
2021-07-18,42
2021-07-25,82
2021-08-01,46
2021-08-08,51
2021-08-15,45
2021-08-22,53
2021-08-29,43
2021-09-05,47
2021-09-12,52
2021-09-19,53
2021-09-26,43
2021-10-03,47
2021-10-10,52
2021-10-17,53
2021-10-24,56
2021-10-31,51
2021-11-07,53
2021-11-14,60
2021-11-21,49
2021-11-28,53
2021-12-05,56
2021-12-12,62
2021-12-19,46
2021-12-26,35
2022-01-02,45
2022-01-09,49
2022-01-16,49
2022-01-23,58
2022-01-30,54
2022-02-06,62
2022-02-13,64
2022-02-20,70
2022-02-27,82
2022-03-06,74
2022-03-13,71
2022-03-20,75
2022-03-27,81
2022-04-03,80
2022-04-10,68
2022-04-17,78
2022-04-24,75
2022-05-01,73
2022-05-08,70
2022-05-15,56
2022-05-22,51
2022-05-29,47
2022-06-05,52
2022-06-12,58
2022-06-19,59
2022-06-26,56
2022-07-03,52
2022-07-10,52
2022-07-17,51
2022-07-24,46
2022-07-31,51
2022-08-07,43
2022-08-14,47
2022-08-21,50
2022-08-28,44
2022-09-04,49
2022-09-11,50
2022-09-18,58
2022-09-25,68
2022-10-02,68
2022-10-09,68
2022-10-16,60
2022-10-23,67
2022-10-30,70
2022-11-06,70
2022-11-13,70
2022-11-20,57
2022-11-27,69
2022-12-04,72
2022-12-11,75
2022-12-18,52
2022-12-25,47
2023-01-01,50
2023-01-08,56
2023-01-15,53
2023-01-22,52
2023-01-29,59
2023-02-05,55
2023-02-12,57
2023-02-19,96
2023-02-26,64
2023-03-05,65
2023-03-12,83
2023-03-19,90
2023-03-26,73
2023-04-02,70
2023-04-09,67
2023-04-16,71
2023-04-23,70
2023-04-30,72
2023-05-07,59
2023-05-14,61
2023-05-21,53
2023-05-28,49
2023-06-04,50
2023-06-11,49
2023-06-18,50
2023-06-25,48
2023-07-02,45
2023-07-09,51
2023-07-16,48
2023-07-23,46
2023-07-30,48
2023-08-06,42
2023-08-13,41
2023-08-20,39
2023-08-27,44
2023-09-03,45
2023-09-10,49
2023-09-17,53
2023-09-24,54
2023-10-01,51
2023-10-08,56
2023-10-15,52
2023-10-22,53
2023-10-29,59
2023-11-05,61
2023-11-12,61
2023-11-19,55
2023-11-26,69
2023-12-03,66
2023-12-10,60
2023-12-17,42
2023-12-24,35
2023-12-31,40
2024-01-07,48
2024-01-14,50
2024-01-21,52
2024-01-28,56
2024-02-04,57
2024-02-11,57
2024-02-18,56
2024-02-25,65
2024-03-03,64
2024-03-10,64
2024-03-17,65
2024-03-24,64
2024-03-31,65
2024-04-07,76
2024-04-14,80
2024-04-21,79
2024-04-28,78
2024-05-05,63
2024-05-12,63
2024-05-19,53
2024-05-26,47
2024-06-02,49
2024-06-09,54
2024-06-16,46
2024-06-23,45
2024-06-30,46
2024-07-07,45
2024-07-14,44
2024-07-21,51
2024-07-28,45
2024-08-04,40
2024-08-11,44
2024-08-18,47
2024-08-25,50
2024-09-01,47
2024-09-08,50
2024-09-15,58
2024-09-22,55
2024-09-29,54
2024-10-06,58
2024-10-13,54
2024-10-20,57
2024-10-27,53
2024-11-03,67
2024-11-10,69
2024-11-17,64
2024-11-24,53
2024-12-01,66
2024-12-08,62
2024-12-15,46
2024-12-22,33
2024-12-29,37
2025-01-05,44
2025-01-12,51
2025-01-19,49
2025-01-26,59
2025-02-02,60
2025-02-09,62
2025-02-16,61
2025-02-23,57
2025-03-02,55
2025-03-09,56
2025-03-16,62
2025-03-23,65
2025-03-30,65
2025-04-06,69
2025-04-13,63
2025-04-20,67
2025-04-27,70
2025-05-04,67
2025-05-11,50
2025-05-18,51
2025-05-25,46
2025-06-01,47
2025-06-08,53
2025-06-15,58
2025-06-22,62
2025-06-29,53
2025-07-06,53
2025-07-13,65
2025-07-20,70
2025-07-27,100
