date,supply chain trends
2020-08-02,14
2020-08-09,15
2020-08-16,17
2020-08-23,22
2020-08-30,18
2020-09-06,21
2020-09-13,15
2020-09-20,24
2020-09-27,23
2020-10-04,12
2020-10-11,21
2020-10-18,15
2020-10-25,28
2020-11-01,17
2020-11-08,15
2020-11-15,17
2020-11-22,35
2020-11-29,20
2020-12-06,25
2020-12-13,11
2020-12-20,20
2020-12-27,11
2021-01-03,15
2021-01-10,19
2021-01-17,18
2021-01-24,21
2021-01-31,12
2021-02-07,17
2021-02-14,29
2021-02-21,19
2021-02-28,19
2021-03-07,19
2021-03-14,18
2021-03-21,16
2021-03-28,22
2021-04-04,15
2021-04-11,21
2021-04-18,21
2021-04-25,20
2021-05-02,18
2021-05-09,25
2021-05-16,20
2021-05-23,16
2021-05-30,18
2021-06-06,14
2021-06-13,19
2021-06-20,20
2021-06-27,13
2021-07-04,18
2021-07-11,18
2021-07-18,13
2021-07-25,18
2021-08-01,15
2021-08-08,14
2021-08-15,14
2021-08-22,16
2021-08-29,16
2021-09-05,15
2021-09-12,20
2021-09-19,21
2021-09-26,20
2021-10-03,20
2021-10-10,27
2021-10-17,23
2021-10-24,26
2021-10-31,22
2021-11-07,17
2021-11-14,25
2021-11-21,23
2021-11-28,28
2021-12-05,32
2021-12-12,23
2021-12-19,17
2021-12-26,9
2022-01-02,16
2022-01-09,28
2022-01-16,24
2022-01-23,25
2022-01-30,29
2022-02-06,30
2022-02-13,31
2022-02-20,30
2022-02-27,22
2022-03-06,29
2022-03-13,33
2022-03-20,28
2022-03-27,28
2022-04-03,34
2022-04-10,28
2022-04-17,28
2022-04-24,34
2022-05-01,33
2022-05-08,37
2022-05-15,24
2022-05-22,28
2022-05-29,20
2022-06-05,27
2022-06-12,29
2022-06-19,29
2022-06-26,24
2022-07-03,22
2022-07-10,25
2022-07-17,28
2022-07-24,32
2022-07-31,22
2022-08-07,24
2022-08-14,21
2022-08-21,28
2022-08-28,23
2022-09-04,27
2022-09-11,22
2022-09-18,29
2022-09-25,33
2022-10-02,23
2022-10-09,31
2022-10-16,32
2022-10-23,37
2022-10-30,31
2022-11-06,29
2022-11-13,41
2022-11-20,28
2022-11-27,35
2022-12-04,29
2022-12-11,41
2022-12-18,25
2022-12-25,16
2023-01-01,28
2023-01-08,23
2023-01-15,29
2023-01-22,27
2023-01-29,34
2023-02-05,31
2023-02-12,39
2023-02-19,34
2023-02-26,29
2023-03-05,32
2023-03-12,27
2023-03-19,31
2023-03-26,30
2023-04-02,24
2023-04-09,31
2023-04-16,28
2023-04-23,28
2023-04-30,30
2023-05-07,25
2023-05-14,24
2023-05-21,30
2023-05-28,26
2023-06-04,21
2023-06-11,20
2023-06-18,25
2023-06-25,26
2023-07-02,26
2023-07-09,21
2023-07-16,24
2023-07-23,27
2023-07-30,20
2023-08-06,26
2023-08-13,19
2023-08-20,29
2023-08-27,31
2023-09-03,26
2023-09-10,25
2023-09-17,26
2023-09-24,27
2023-10-01,33
2023-10-08,29
2023-10-15,26
2023-10-22,30
2023-10-29,28
2023-11-05,34
2023-11-12,26
2023-11-19,25
2023-11-26,29
2023-12-03,36
2023-12-10,31
2023-12-17,26
2023-12-24,12
2023-12-31,28
2024-01-07,30
2024-01-14,28
2024-01-21,30
2024-01-28,29
2024-02-04,31
2024-02-11,32
2024-02-18,27
2024-02-25,39
2024-03-03,33
2024-03-10,31
2024-03-17,42
2024-03-24,38
2024-03-31,33
2024-04-07,31
2024-04-14,38
2024-04-21,35
2024-04-28,33
2024-05-05,33
2024-05-12,32
2024-05-19,23
2024-05-26,30
2024-06-02,27
2024-06-09,28
2024-06-16,29
2024-06-23,21
2024-06-30,33
2024-07-07,29
2024-07-14,36
2024-07-21,24
2024-07-28,19
2024-08-04,25
2024-08-11,21
2024-08-18,24
2024-08-25,36
2024-09-01,31
2024-09-08,29
2024-09-15,31
2024-09-22,43
2024-09-29,26
2024-10-06,24
2024-10-13,30
2024-10-20,40
2024-10-27,30
2024-11-03,34
2024-11-10,37
2024-11-17,50
2024-11-24,42
2024-12-01,41
2024-12-08,35
2024-12-15,23
2024-12-22,25
2024-12-29,16
2025-01-05,20
2025-01-12,30
2025-01-19,35
2025-01-26,32
2025-02-02,40
2025-02-09,49
2025-02-16,37
2025-02-23,46
2025-03-02,46
2025-03-09,32
2025-03-16,35
2025-03-23,40
2025-03-30,37
2025-04-06,47
2025-04-13,34
2025-04-20,39
2025-04-27,37
2025-05-04,39
2025-05-11,37
2025-05-18,35
2025-05-25,35
2025-06-01,56
2025-06-08,88
2025-06-15,81
2025-06-22,74
2025-06-29,71
2025-07-06,71
2025-07-13,81
2025-07-20,75
2025-07-27,100
