date,Ryan Reynolds
2020-08-02,19
2020-08-09,16
2020-08-16,20
2020-08-23,15
2020-08-30,14
2020-09-06,15
2020-09-13,14
2020-09-20,19
2020-09-27,14
2020-10-04,16
2020-10-11,14
2020-10-18,22
2020-10-25,17
2020-11-01,13
2020-11-08,15
2020-11-15,23
2020-11-22,17
2020-11-29,19
2020-12-06,17
2020-12-13,16
2020-12-20,18
2020-12-27,20
2021-01-03,15
2021-01-10,15
2021-01-17,16
2021-01-24,14
2021-01-31,16
2021-02-07,15
2021-02-14,18
2021-02-21,14
2021-02-28,13
2021-03-07,12
2021-03-14,15
2021-03-21,13
2021-03-28,15
2021-04-04,14
2021-04-11,15
2021-04-18,13
2021-04-25,13
2021-05-02,16
2021-05-09,18
2021-05-16,16
2021-05-23,19
2021-05-30,15
2021-06-06,17
2021-06-13,16
2021-06-20,19
2021-06-27,16
2021-07-04,17
2021-07-11,18
2021-07-18,22
2021-07-25,18
2021-08-01,30
2021-08-08,34
2021-08-15,36
2021-08-22,29
2021-08-29,26
2021-09-05,22
2021-09-12,28
2021-09-19,24
2021-09-26,26
2021-10-03,24
2021-10-10,23
2021-10-17,28
2021-10-24,27
2021-10-31,23
2021-11-07,54
2021-11-14,81
2021-11-21,47
2021-11-28,39
2021-12-05,32
2021-12-12,30
2021-12-19,32
2021-12-26,41
2022-01-02,35
2022-01-09,24
2022-01-16,22
2022-01-23,20
2022-01-30,21
2022-02-06,22
2022-02-13,25
2022-02-20,22
2022-02-27,29
2022-03-06,36
2022-03-13,54
2022-03-20,40
2022-03-27,34
2022-04-03,31
2022-04-10,28
2022-04-17,25
2022-04-24,23
2022-05-01,48
2022-05-08,34
2022-05-15,28
2022-05-22,34
2022-05-29,27
2022-06-05,23
2022-06-12,23
2022-06-19,20
2022-06-26,19
2022-07-03,19
2022-07-10,18
2022-07-17,21
2022-07-24,23
2022-07-31,21
2022-08-07,25
2022-08-14,22
2022-08-21,27
2022-08-28,24
2022-09-04,22
2022-09-11,34
2022-09-18,26
2022-09-25,29
2022-10-02,25
2022-10-09,25
2022-10-16,21
2022-10-23,22
2022-10-30,23
2022-11-06,31
2022-11-13,29
2022-11-20,32
2022-11-27,26
2022-12-04,33
2022-12-11,26
2022-12-18,29
2022-12-25,30
2023-01-01,25
2023-01-08,23
2023-01-15,19
2023-01-22,20
2023-01-29,34
2023-02-05,22
2023-02-12,26
2023-02-19,21
2023-02-26,18
2023-03-05,19
2023-03-12,33
2023-03-19,21
2023-03-26,22
2023-04-02,21
2023-04-09,29
2023-04-16,32
2023-04-23,45
2023-04-30,29
2023-05-07,22
2023-05-14,19
2023-05-21,17
2023-05-28,19
2023-06-04,17
2023-06-11,17
2023-06-18,17
2023-06-25,22
2023-07-02,17
2023-07-09,21
2023-07-16,21
2023-07-23,25
2023-07-30,20
2023-08-06,19
2023-08-13,19
2023-08-20,23
2023-08-27,21
2023-09-03,18
2023-09-10,19
2023-09-17,18
2023-09-24,17
2023-10-01,23
2023-10-08,16
2023-10-15,19
2023-10-22,19
2023-10-29,18
2023-11-05,18
2023-11-12,17
2023-11-19,18
2023-11-26,16
2023-12-03,20
2023-12-10,19
2023-12-17,21
2023-12-24,23
2023-12-31,20
2024-01-07,20
2024-01-14,19
2024-01-21,18
2024-01-28,16
2024-02-04,17
2024-02-11,37
2024-02-18,22
2024-02-25,18
2024-03-03,17
2024-03-10,18
2024-03-17,16
2024-03-24,17
2024-03-31,17
2024-04-07,16
2024-04-14,18
2024-04-21,22
2024-04-28,25
2024-05-05,23
2024-05-12,25
2024-05-19,21
2024-05-26,23
2024-06-02,20
2024-06-09,20
2024-06-16,18
2024-06-23,16
2024-06-30,19
2024-07-07,22
2024-07-14,27
2024-07-21,78
2024-07-28,100
2024-08-04,87
2024-08-11,77
2024-08-18,49
2024-08-25,34
2024-09-01,27
2024-09-08,22
2024-09-15,22
2024-09-22,19
2024-09-29,20
2024-10-06,19
2024-10-13,17
2024-10-20,17
2024-10-27,16
2024-11-03,16
2024-11-10,19
2024-11-17,18
2024-11-24,17
2024-12-01,15
2024-12-08,18
2024-12-15,19
2024-12-22,31
2024-12-29,26
2025-01-05,20
2025-01-12,20
2025-01-19,22
2025-01-26,29
2025-02-02,29
2025-02-09,25
2025-02-16,41
2025-02-23,23
2025-03-02,18
2025-03-09,15
2025-03-16,16
2025-03-23,15
2025-03-30,13
2025-04-06,12
2025-04-13,13
2025-04-20,15
2025-04-27,20
2025-05-04,16
2025-05-11,15
2025-05-18,15
2025-05-25,13
2025-06-01,12
2025-06-08,12
2025-06-15,13
2025-06-22,12
2025-06-29,13
2025-07-06,13
2025-07-13,12
2025-07-20,12
2025-07-27,12
