date,SHE
2020-08-02,58
2020-08-09,59
2020-08-16,59
2020-08-23,60
2020-08-30,61
2020-09-06,62
2020-09-13,68
2020-09-20,67
2020-09-27,67
2020-10-04,66
2020-10-11,64
2020-10-18,61
2020-10-25,60
2020-11-01,56
2020-11-08,61
2020-11-15,62
2020-11-22,62
2020-11-29,62
2020-12-06,64
2020-12-13,63
2020-12-20,57
2020-12-27,57
2021-01-03,59
2021-01-10,62
2021-01-17,62
2021-01-24,63
2021-01-31,64
2021-02-07,62
2021-02-14,64
2021-02-21,66
2021-02-28,67
2021-03-07,67
2021-03-14,64
2021-03-21,62
2021-03-28,60
2021-04-04,62
2021-04-11,62
2021-04-18,68
2021-04-25,66
2021-05-02,63
2021-05-09,64
2021-05-16,62
2021-05-23,64
2021-05-30,58
2021-06-06,60
2021-06-13,59
2021-06-20,57
2021-06-27,55
2021-07-04,58
2021-07-11,57
2021-07-18,60
2021-07-25,60
2021-08-01,57
2021-08-08,58
2021-08-15,58
2021-08-22,57
2021-08-29,59
2021-09-05,62
2021-09-12,64
2021-09-19,66
2021-09-26,65
2021-10-03,67
2021-10-10,67
2021-10-17,66
2021-10-24,61
2021-10-31,65
2021-11-07,68
2021-11-14,69
2021-11-21,60
2021-11-28,66
2021-12-05,65
2021-12-12,64
2021-12-19,58
2021-12-26,63
2022-01-02,63
2022-01-09,72
2022-01-16,62
2022-01-23,69
2022-01-30,68
2022-02-06,72
2022-02-13,77
2022-02-20,74
2022-02-27,75
2022-03-06,76
2022-03-13,76
2022-03-20,67
2022-03-27,78
2022-04-03,73
2022-04-10,71
2022-04-17,72
2022-04-24,77
2022-05-01,72
2022-05-08,73
2022-05-15,79
2022-05-22,68
2022-05-29,62
2022-06-05,65
2022-06-12,67
2022-06-19,68
2022-06-26,64
2022-07-03,62
2022-07-10,64
2022-07-17,61
2022-07-24,67
2022-07-31,64
2022-08-07,69
2022-08-14,100
2022-08-21,95
2022-08-28,89
2022-09-04,98
2022-09-11,92
2022-09-18,91
2022-09-25,81
2022-10-02,85
2022-10-09,90
2022-10-16,81
2022-10-23,72
2022-10-30,72
2022-11-06,70
2022-11-13,75
2022-11-20,64
2022-11-27,68
2022-12-04,72
2022-12-11,73
2022-12-18,64
2022-12-25,60
2023-01-01,62
2023-01-08,68
2023-01-15,66
2023-01-22,69
2023-01-29,71
2023-02-05,67
2023-02-12,71
2023-02-19,76
2023-02-26,72
2023-03-05,72
2023-03-12,66
2023-03-19,68
2023-03-26,68
2023-04-02,64
2023-04-09,67
2023-04-16,66
2023-04-23,67
2023-04-30,68
2023-05-07,66
2023-05-14,65
2023-05-21,67
2023-05-28,63
2023-06-04,59
2023-06-11,58
2023-06-18,57
2023-06-25,58
2023-07-02,56
2023-07-09,57
2023-07-16,57
2023-07-23,59
2023-07-30,53
2023-08-06,56
2023-08-13,60
2023-08-20,58
2023-08-27,61
2023-09-03,62
2023-09-10,64
2023-09-17,72
2023-09-24,68
2023-10-01,66
2023-10-08,66
2023-10-15,66
2023-10-22,67
2023-10-29,63
2023-11-05,66
2023-11-12,66
2023-11-19,60
2023-11-26,67
2023-12-03,69
2023-12-10,65
2023-12-17,61
2023-12-24,56
2023-12-31,62
2024-01-07,61
2024-01-14,63
2024-01-21,65
2024-01-28,71
2024-02-04,73
2024-02-11,70
2024-02-18,72
2024-02-25,75
2024-03-03,75
2024-03-10,69
2024-03-17,69
2024-03-24,68
2024-03-31,66
2024-04-07,70
2024-04-14,68
2024-04-21,68
2024-04-28,69
2024-05-05,68
2024-05-12,65
2024-05-19,65
2024-05-26,60
2024-06-02,62
2024-06-09,61
2024-06-16,59
2024-06-23,58
2024-06-30,58
2024-07-07,59
2024-07-14,59
2024-07-21,62
2024-07-28,59
2024-08-04,59
2024-08-11,60
2024-08-18,64
2024-08-25,65
2024-09-01,63
2024-09-08,68
2024-09-15,71
2024-09-22,73
2024-09-29,76
2024-10-06,73
2024-10-13,71
2024-10-20,72
2024-10-27,71
2024-11-03,71
2024-11-10,66
2024-11-17,69
2024-11-24,61
2024-12-01,71
2024-12-08,71
2024-12-15,66
2024-12-22,61
2024-12-29,60
2025-01-05,69
2025-01-12,71
2025-01-19,69
2025-01-26,73
2025-02-02,78
2025-02-09,77
2025-02-16,77
2025-02-23,78
2025-03-02,78
2025-03-09,71
2025-03-16,72
2025-03-23,75
2025-03-30,74
2025-04-06,73
2025-04-13,72
2025-04-20,72
2025-04-27,75
2025-05-04,73
2025-05-11,76
2025-05-18,73
2025-05-25,71
2025-06-01,68
2025-06-08,67
2025-06-15,68
2025-06-22,67
2025-06-29,69
2025-07-06,70
2025-07-13,69
2025-07-20,71
2025-07-27,72
