date,mortgage rates forecast
2020-08-02,18
2020-08-09,19
2020-08-16,14
2020-08-23,13
2020-08-30,16
2020-09-06,14
2020-09-13,15
2020-09-20,15
2020-09-27,13
2020-10-04,11
2020-10-11,12
2020-10-18,12
2020-10-25,11
2020-11-01,11
2020-11-08,13
2020-11-15,10
2020-11-22,13
2020-11-29,7
2020-12-06,10
2020-12-13,11
2020-12-20,11
2020-12-27,12
2021-01-03,13
2021-01-10,18
2021-01-17,18
2021-01-24,17
2021-01-31,19
2021-02-07,18
2021-02-14,17
2021-02-21,25
2021-02-28,22
2021-03-07,23
2021-03-14,20
2021-03-21,18
2021-03-28,20
2021-04-04,13
2021-04-11,13
2021-04-18,13
2021-04-25,11
2021-05-02,7
2021-05-09,13
2021-05-16,10
2021-05-23,11
2021-05-30,8
2021-06-06,10
2021-06-13,13
2021-06-20,12
2021-06-27,6
2021-07-04,9
2021-07-11,10
2021-07-18,11
2021-07-25,6
2021-08-01,12
2021-08-08,15
2021-08-15,13
2021-08-22,12
2021-08-29,7
2021-09-05,8
2021-09-12,10
2021-09-19,8
2021-09-26,19
2021-10-03,12
2021-10-10,11
2021-10-17,12
2021-10-24,9
2021-10-31,16
2021-11-07,10
2021-11-14,10
2021-11-21,10
2021-11-28,6
2021-12-05,12
2021-12-12,17
2021-12-19,10
2021-12-26,13
2022-01-02,23
2022-01-09,19
2022-01-16,20
2022-01-23,23
2022-01-30,19
2022-02-06,27
2022-02-13,24
2022-02-20,24
2022-02-27,20
2022-03-06,22
2022-03-13,26
2022-03-20,29
2022-03-27,28
2022-04-03,36
2022-04-10,34
2022-04-17,40
2022-04-24,33
2022-05-01,38
2022-05-08,27
2022-05-15,24
2022-05-22,21
2022-05-29,27
2022-06-05,26
2022-06-12,46
2022-06-19,30
2022-06-26,25
2022-07-03,30
2022-07-10,30
2022-07-17,28
2022-07-24,33
2022-07-31,29
2022-08-07,24
2022-08-14,19
2022-08-21,25
2022-08-28,21
2022-09-04,27
2022-09-11,26
2022-09-18,37
2022-09-25,47
2022-10-02,38
2022-10-09,41
2022-10-16,44
2022-10-23,44
2022-10-30,37
2022-11-06,29
2022-11-13,27
2022-11-20,24
2022-11-27,25
2022-12-04,29
2022-12-11,29
2022-12-18,23
2022-12-25,28
2023-01-01,35
2023-01-08,26
2023-01-15,27
2023-01-22,28
2023-01-29,31
2023-02-05,27
2023-02-12,28
2023-02-19,28
2023-02-26,30
2023-03-05,33
2023-03-12,30
2023-03-19,28
2023-03-26,23
2023-04-02,25
2023-04-09,26
2023-04-16,25
2023-04-23,22
2023-04-30,24
2023-05-07,24
2023-05-14,21
2023-05-21,24
2023-05-28,23
2023-06-04,30
2023-06-11,33
2023-06-18,30
2023-06-25,28
2023-07-02,32
2023-07-09,39
2023-07-16,29
2023-07-23,25
2023-07-30,30
2023-08-06,29
2023-08-13,29
2023-08-20,29
2023-08-27,21
2023-09-03,23
2023-09-10,29
2023-09-17,24
2023-09-24,21
2023-10-01,29
2023-10-08,30
2023-10-15,41
2023-10-22,36
2023-10-29,87
2023-11-05,26
2023-11-12,26
2023-11-19,29
2023-11-26,28
2023-12-03,28
2023-12-10,28
2023-12-17,26
2023-12-24,22
2023-12-31,29
2024-01-07,27
2024-01-14,29
2024-01-21,26
2024-01-28,27
2024-02-04,28
2024-02-11,23
2024-02-18,27
2024-02-25,24
2024-03-03,21
2024-03-10,23
2024-03-17,24
2024-03-24,21
2024-03-31,22
2024-04-07,23
2024-04-14,23
2024-04-21,25
2024-04-28,24
2024-05-05,25
2024-05-12,20
2024-05-19,19
2024-05-26,22
2024-06-02,26
2024-06-09,21
2024-06-16,21
2024-06-23,16
2024-06-30,19
2024-07-07,24
2024-07-14,19
2024-07-21,30
2024-07-28,25
2024-08-04,22
2024-08-11,31
2024-08-18,30
2024-08-25,24
2024-09-01,26
2024-09-08,19
2024-09-15,36
2024-09-22,22
2024-09-29,25
2024-10-06,27
2024-10-13,29
2024-10-20,25
2024-10-27,28
2024-11-03,34
2024-11-10,27
2024-11-17,20
2024-11-24,25
2024-12-01,26
2024-12-08,30
2024-12-15,26
2024-12-22,18
2024-12-29,27
2025-01-05,26
2025-01-12,30
2025-01-19,28
2025-01-26,31
2025-02-02,26
2025-02-09,24
2025-02-16,23
2025-02-23,24
2025-03-02,28
2025-03-09,28
2025-03-16,25
2025-03-23,20
2025-03-30,31
2025-04-06,32
2025-04-13,26
2025-04-20,18
2025-04-27,23
2025-05-04,25
2025-05-11,21
2025-05-18,21
2025-05-25,21
2025-06-01,23
2025-06-08,22
2025-06-15,20
2025-06-22,24
2025-06-29,26
2025-07-06,25
2025-07-13,41
2025-07-20,64
2025-07-27,100
