date,Cloudflare
2020-08-02,22
2020-08-09,19
2020-08-16,17
2020-08-23,18
2020-08-30,26
2020-09-06,16
2020-09-13,17
2020-09-20,16
2020-09-27,14
2020-10-04,14
2020-10-11,17
2020-10-18,14
2020-10-25,12
2020-11-01,13
2020-11-08,12
2020-11-15,13
2020-11-22,12
2020-11-29,12
2020-12-06,14
2020-12-13,13
2020-12-20,12
2020-12-27,12
2021-01-03,14
2021-01-10,14
2021-01-17,13
2021-01-24,14
2021-01-31,13
2021-02-07,19
2021-02-14,14
2021-02-21,13
2021-02-28,12
2021-03-07,12
2021-03-14,13
2021-03-21,13
2021-03-28,13
2021-04-04,12
2021-04-11,13
2021-04-18,13
2021-04-25,12
2021-05-02,14
2021-05-09,14
2021-05-16,15
2021-05-23,13
2021-05-30,14
2021-06-06,15
2021-06-13,13
2021-06-20,13
2021-06-27,13
2021-07-04,13
2021-07-11,12
2021-07-18,13
2021-07-25,14
2021-08-01,13
2021-08-08,13
2021-08-15,13
2021-08-22,13
2021-08-29,13
2021-09-05,13
2021-09-12,14
2021-09-19,13
2021-09-26,15
2021-10-03,18
2021-10-10,16
2021-10-17,15
2021-10-24,14
2021-10-31,16
2021-11-07,16
2021-11-14,16
2021-11-21,15
2021-11-28,15
2021-12-05,16
2021-12-12,17
2021-12-19,14
2021-12-26,13
2022-01-02,23
2022-01-09,23
2022-01-16,23
2022-01-23,26
2022-01-30,24
2022-02-06,27
2022-02-13,28
2022-02-20,25
2022-02-27,29
2022-03-06,35
2022-03-13,30
2022-03-20,28
2022-03-27,28
2022-04-03,28
2022-04-10,26
2022-04-17,27
2022-04-24,27
2022-05-01,29
2022-05-08,31
2022-05-15,26
2022-05-22,27
2022-05-29,25
2022-06-05,25
2022-06-12,28
2022-06-19,73
2022-06-26,28
2022-07-03,26
2022-07-10,27
2022-07-17,28
2022-07-24,30
2022-07-31,31
2022-08-07,28
2022-08-14,28
2022-08-21,30
2022-08-28,26
2022-09-04,30
2022-09-11,27
2022-09-18,26
2022-09-25,28
2022-10-02,28
2022-10-09,27
2022-10-16,26
2022-10-23,27
2022-10-30,30
2022-11-06,30
2022-11-13,29
2022-11-20,27
2022-11-27,27
2022-12-04,28
2022-12-11,28
2022-12-18,27
2022-12-25,24
2023-01-01,29
2023-01-08,30
2023-01-15,29
2023-01-22,31
2023-01-29,34
2023-02-05,35
2023-02-12,33
2023-02-19,32
2023-02-26,31
2023-03-05,33
2023-03-12,32
2023-03-19,32
2023-03-26,35
2023-04-02,32
2023-04-09,32
2023-04-16,32
2023-04-23,31
2023-04-30,31
2023-05-07,32
2023-05-14,31
2023-05-21,32
2023-05-28,29
2023-06-04,32
2023-06-11,32
2023-06-18,28
2023-06-25,31
2023-07-02,32
2023-07-09,35
2023-07-16,33
2023-07-23,33
2023-07-30,33
2023-08-06,36
2023-08-13,33
2023-08-20,31
2023-08-27,35
2023-09-03,33
2023-09-10,31
2023-09-17,34
2023-09-24,55
2023-10-01,34
2023-10-08,33
2023-10-15,34
2023-10-22,34
2023-10-29,46
2023-11-05,36
2023-11-12,34
2023-11-19,33
2023-11-26,35
2023-12-03,34
2023-12-10,34
2023-12-17,34
2023-12-24,30
2023-12-31,33
2024-01-07,43
2024-01-14,50
2024-01-21,43
2024-01-28,46
2024-02-04,51
2024-02-11,45
2024-02-18,44
2024-02-25,44
2024-03-03,45
2024-03-10,44
2024-03-17,48
2024-03-24,44
2024-03-31,43
2024-04-07,46
2024-04-14,43
2024-04-21,44
2024-04-28,46
2024-05-05,41
2024-05-12,43
2024-05-19,45
2024-05-26,47
2024-06-02,48
2024-06-09,44
2024-06-16,43
2024-06-23,44
2024-06-30,44
2024-07-07,42
2024-07-14,46
2024-07-21,48
2024-07-28,46
2024-08-04,52
2024-08-11,47
2024-08-18,46
2024-08-25,45
2024-09-01,44
2024-09-08,45
2024-09-15,60
2024-09-22,51
2024-09-29,48
2024-10-06,52
2024-10-13,50
2024-10-20,49
2024-10-27,47
2024-11-03,50
2024-11-10,48
2024-11-17,49
2024-11-24,49
2024-12-01,52
2024-12-08,49
2024-12-15,49
2024-12-22,44
2024-12-29,41
2025-01-05,50
2025-01-12,52
2025-01-19,57
2025-01-26,52
2025-02-02,58
2025-02-09,58
2025-02-16,57
2025-02-23,58
2025-03-02,57
2025-03-09,58
2025-03-16,60
2025-03-23,57
2025-03-30,57
2025-04-06,57
2025-04-13,55
2025-04-20,54
2025-04-27,51
2025-05-04,54
2025-05-11,56
2025-05-18,61
2025-05-25,71
2025-06-01,72
2025-06-08,100
2025-06-15,75
2025-06-22,64
2025-06-29,68
2025-07-06,64
2025-07-13,69
2025-07-20,65
2025-07-27,72
