date,CRM
2020-08-02,54
2020-08-09,48
2020-08-16,56
2020-08-23,63
2020-08-30,60
2020-09-06,55
2020-09-13,57
2020-09-20,56
2020-09-27,55
2020-10-04,54
2020-10-11,49
2020-10-18,48
2020-10-25,47
2020-11-01,46
2020-11-08,48
2020-11-15,48
2020-11-22,49
2020-11-29,57
2020-12-06,53
2020-12-13,49
2020-12-20,40
2020-12-27,35
2021-01-03,46
2021-01-10,52
2021-01-17,52
2021-01-24,51
2021-01-31,51
2021-02-07,51
2021-02-14,49
2021-02-21,51
2021-02-28,53
2021-03-07,52
2021-03-14,49
2021-03-21,50
2021-03-28,47
2021-04-04,49
2021-04-11,50
2021-04-18,51
2021-04-25,48
2021-05-02,49
2021-05-09,50
2021-05-16,52
2021-05-23,54
2021-05-30,51
2021-06-06,53
2021-06-13,53
2021-06-20,49
2021-06-27,50
2021-07-04,49
2021-07-11,48
2021-07-18,51
2021-07-25,49
2021-08-01,50
2021-08-08,48
2021-08-15,46
2021-08-22,50
2021-08-29,50
2021-09-05,49
2021-09-12,54
2021-09-19,53
2021-09-26,53
2021-10-03,51
2021-10-10,49
2021-10-17,50
2021-10-24,55
2021-10-31,48
2021-11-07,53
2021-11-14,54
2021-11-21,54
2021-11-28,63
2021-12-05,59
2021-12-12,54
2021-12-19,51
2021-12-26,47
2022-01-02,60
2022-01-09,62
2022-01-16,58
2022-01-23,61
2022-01-30,62
2022-02-06,62
2022-02-13,61
2022-02-20,59
2022-02-27,60
2022-03-06,57
2022-03-13,59
2022-03-20,60
2022-03-27,66
2022-04-03,63
2022-04-10,54
2022-04-17,60
2022-04-24,63
2022-05-01,59
2022-05-08,58
2022-05-15,61
2022-05-22,60
2022-05-29,60
2022-06-05,57
2022-06-12,58
2022-06-19,61
2022-06-26,57
2022-07-03,55
2022-07-10,58
2022-07-17,58
2022-07-24,58
2022-07-31,53
2022-08-07,59
2022-08-14,56
2022-08-21,57
2022-08-28,55
2022-09-04,53
2022-09-11,57
2022-09-18,56
2022-09-25,56
2022-10-02,55
2022-10-09,53
2022-10-16,57
2022-10-23,55
2022-10-30,54
2022-11-06,57
2022-11-13,58
2022-11-20,59
2022-11-27,60
2022-12-04,57
2022-12-11,58
2022-12-18,53
2022-12-25,46
2023-01-01,54
2023-01-08,58
2023-01-15,60
2023-01-22,58
2023-01-29,63
2023-02-05,60
2023-02-12,59
2023-02-19,57
2023-02-26,63
2023-03-05,59
2023-03-12,59
2023-03-19,59
2023-03-26,60
2023-04-02,53
2023-04-09,55
2023-04-16,55
2023-04-23,57
2023-04-30,59
2023-05-07,61
2023-05-14,62
2023-05-21,63
2023-05-28,68
2023-06-04,65
2023-06-11,67
2023-06-18,64
2023-06-25,64
2023-07-02,62
2023-07-09,68
2023-07-16,66
2023-07-23,64
2023-07-30,64
2023-08-06,61
2023-08-13,62
2023-08-20,66
2023-08-27,64
2023-09-03,61
2023-09-10,64
2023-09-17,65
2023-09-24,64
2023-10-01,61
2023-10-08,59
2023-10-15,64
2023-10-22,63
2023-10-29,62
2023-11-05,64
2023-11-12,60
2023-11-19,56
2023-11-26,64
2023-12-03,64
2023-12-10,64
2023-12-17,59
2023-12-24,48
2023-12-31,54
2024-01-07,63
2024-01-14,65
2024-01-21,68
2024-01-28,71
2024-02-04,74
2024-02-11,66
2024-02-18,71
2024-02-25,78
2024-03-03,73
2024-03-10,74
2024-03-17,71
2024-03-24,68
2024-03-31,71
2024-04-07,66
2024-04-14,70
2024-04-21,70
2024-04-28,60
2024-05-05,65
2024-05-12,67
2024-05-19,64
2024-05-26,76
2024-06-02,71
2024-06-09,70
2024-06-16,67
2024-06-23,69
2024-06-30,66
2024-07-07,66
2024-07-14,69
2024-07-21,72
2024-07-28,65
2024-08-04,68
2024-08-11,68
2024-08-18,68
2024-08-25,71
2024-09-01,70
2024-09-08,69
2024-09-15,67
2024-09-22,69
2024-09-29,67
2024-10-06,67
2024-10-13,67
2024-10-20,72
2024-10-27,67
2024-11-03,67
2024-11-10,71
2024-11-17,70
2024-11-24,68
2024-12-01,72
2024-12-08,68
2024-12-15,69
2024-12-22,49
2024-12-29,51
2025-01-05,72
2025-01-12,78
2025-01-19,79
2025-01-26,72
2025-02-02,82
2025-02-09,75
2025-02-16,80
2025-02-23,82
2025-03-02,76
2025-03-09,75
2025-03-16,80
2025-03-23,79
2025-03-30,80
2025-04-06,81
2025-04-13,72
2025-04-20,79
2025-04-27,81
2025-05-04,84
2025-05-11,87
2025-05-18,83
2025-05-25,84
2025-06-01,93
2025-06-08,92
2025-06-15,93
2025-06-22,95
2025-06-29,82
2025-07-06,87
2025-07-13,92
2025-07-20,100
2025-07-27,95
