date,Kylie Jenner
2020-08-02,51
2020-08-09,72
2020-08-16,47
2020-08-23,52
2020-08-30,51
2020-09-06,49
2020-09-13,40
2020-09-20,34
2020-09-27,47
2020-10-04,45
2020-10-11,45
2020-10-18,42
2020-10-25,42
2020-11-01,38
2020-11-08,36
2020-11-15,41
2020-11-22,41
2020-11-29,39
2020-12-06,38
2020-12-13,43
2020-12-20,42
2020-12-27,45
2021-01-03,42
2021-01-10,35
2021-01-17,42
2021-01-24,34
2021-01-31,41
2021-02-07,40
2021-02-14,33
2021-02-21,35
2021-02-28,32
2021-03-07,31
2021-03-14,33
2021-03-21,53
2021-03-28,37
2021-04-04,43
2021-04-11,35
2021-04-18,36
2021-04-25,36
2021-05-02,35
2021-05-09,31
2021-05-16,40
2021-05-23,34
2021-05-30,35
2021-06-06,31
2021-06-13,45
2021-06-20,43
2021-06-27,34
2021-07-04,35
2021-07-11,37
2021-07-18,38
2021-07-25,31
2021-08-01,38
2021-08-08,52
2021-08-15,86
2021-08-22,68
2021-08-29,39
2021-09-05,96
2021-09-12,55
2021-09-19,45
2021-09-26,38
2021-10-03,32
2021-10-10,34
2021-10-17,35
2021-10-24,29
2021-10-31,38
2021-11-07,65
2021-11-14,42
2021-11-21,34
2021-11-28,30
2021-12-05,32
2021-12-12,30
2021-12-19,33
2021-12-26,38
2022-01-02,38
2022-01-09,40
2022-01-16,35
2022-01-23,33
2022-01-30,36
2022-02-06,95
2022-02-13,42
2022-02-20,31
2022-02-27,28
2022-03-06,30
2022-03-13,29
2022-03-20,59
2022-03-27,33
2022-04-03,32
2022-04-10,40
2022-04-17,45
2022-04-24,37
2022-05-01,63
2022-05-08,38
2022-05-15,35
2022-05-22,36
2022-05-29,31
2022-06-05,46
2022-06-12,32
2022-06-19,33
2022-06-26,29
2022-07-03,30
2022-07-10,30
2022-07-17,33
2022-07-24,29
2022-07-31,33
2022-08-07,46
2022-08-14,31
2022-08-21,29
2022-08-28,26
2022-09-04,27
2022-09-11,25
2022-09-18,28
2022-09-25,29
2022-10-02,29
2022-10-09,24
2022-10-16,30
2022-10-23,43
2022-10-30,29
2022-11-06,24
2022-11-13,25
2022-11-20,28
2022-11-27,27
2022-12-04,21
2022-12-11,23
2022-12-18,25
2022-12-25,30
2023-01-01,26
2023-01-08,27
2023-01-15,27
2023-01-22,58
2023-01-29,33
2023-02-05,24
2023-02-12,26
2023-02-19,30
2023-02-26,36
2023-03-05,28
2023-03-12,24
2023-03-19,21
2023-03-26,19
2023-04-02,36
2023-04-09,40
2023-04-16,49
2023-04-23,28
2023-04-30,32
2023-05-07,21
2023-05-14,20
2023-05-21,18
2023-05-28,23
2023-06-04,21
2023-06-11,20
2023-06-18,22
2023-06-25,22
2023-07-02,22
2023-07-09,24
2023-07-16,26
2023-07-23,29
2023-07-30,29
2023-08-06,25
2023-08-13,29
2023-08-20,23
2023-08-27,19
2023-09-03,100
2023-09-10,52
2023-09-17,26
2023-09-24,29
2023-10-01,26
2023-10-08,29
2023-10-15,21
2023-10-22,22
2023-10-29,24
2023-11-05,22
2023-11-12,21
2023-11-19,21
2023-11-26,23
2023-12-03,21
2023-12-10,21
2023-12-17,23
2023-12-24,29
2023-12-31,26
2024-01-07,83
2024-01-14,30
2024-01-21,43
2024-01-28,33
2024-02-04,27
2024-02-11,26
2024-02-18,24
2024-02-25,27
2024-03-03,33
2024-03-10,31
2024-03-17,29
2024-03-24,27
2024-03-31,26
2024-04-07,27
2024-04-14,22
2024-04-21,41
2024-04-28,24
2024-05-05,35
2024-05-12,23
2024-05-19,21
2024-05-26,21
2024-06-02,23
2024-06-09,20
2024-06-16,23
2024-06-23,23
2024-06-30,22
2024-07-07,21
2024-07-14,21
2024-07-21,21
2024-07-28,17
2024-08-04,18
2024-08-11,25
2024-08-18,19
2024-08-25,18
2024-09-01,18
2024-09-08,16
2024-09-15,13
2024-09-22,15
2024-09-29,18
2024-10-06,15
2024-10-13,15
2024-10-20,16
2024-10-27,18
2024-11-03,13
2024-11-10,13
2024-11-17,15
2024-11-24,14
2024-12-01,15
2024-12-08,16
2024-12-15,17
2024-12-22,19
2024-12-29,24
2025-01-05,50
2025-01-12,21
2025-01-19,16
2025-01-26,20
2025-02-02,21
2025-02-09,21
2025-02-16,31
2025-02-23,22
2025-03-02,45
2025-03-09,28
2025-03-16,20
2025-03-23,19
2025-03-30,16
2025-04-06,16
2025-04-13,21
2025-04-20,18
2025-04-27,17
2025-05-04,30
2025-05-11,28
2025-05-18,20
2025-05-25,20
2025-06-01,27
2025-06-08,17
2025-06-15,17
2025-06-22,17
2025-06-29,17
2025-07-06,17
2025-07-13,18
2025-07-20,14
2025-07-27,15
