date,workplace diversity
2020-08-02,63
2020-08-09,73
2020-08-16,72
2020-08-23,72
2020-08-30,79
2020-09-06,89
2020-09-13,90
2020-09-20,90
2020-09-27,75
2020-10-04,79
2020-10-11,68
2020-10-18,75
2020-10-25,69
2020-11-01,63
2020-11-08,67
2020-11-15,66
2020-11-22,60
2020-11-29,63
2020-12-06,60
2020-12-13,55
2020-12-20,28
2020-12-27,26
2021-01-03,41
2021-01-10,57
2021-01-17,62
2021-01-24,66
2021-01-31,70
2021-02-07,70
2021-02-14,63
2021-02-21,73
2021-02-28,73
2021-03-07,73
2021-03-14,66
2021-03-21,70
2021-03-28,71
2021-04-04,71
2021-04-11,78
2021-04-18,89
2021-04-25,76
2021-05-02,73
2021-05-09,73
2021-05-16,71
2021-05-23,72
2021-05-30,67
2021-06-06,68
2021-06-13,69
2021-06-20,66
2021-06-27,59
2021-07-04,54
2021-07-11,57
2021-07-18,58
2021-07-25,60
2021-08-01,57
2021-08-08,64
2021-08-15,62
2021-08-22,69
2021-08-29,68
2021-09-05,67
2021-09-12,75
2021-09-19,75
2021-09-26,76
2021-10-03,83
2021-10-10,80
2021-10-17,75
2021-10-24,73
2021-10-31,70
2021-11-07,77
2021-11-14,74
2021-11-21,62
2021-11-28,75
2021-12-05,73
2021-12-12,63
2021-12-19,39
2021-12-26,29
2022-01-02,49
2022-01-09,60
2022-01-16,65
2022-01-23,74
2022-01-30,78
2022-02-06,77
2022-02-13,88
2022-02-20,81
2022-02-27,91
2022-03-06,88
2022-03-13,83
2022-03-20,94
2022-03-27,100
2022-04-03,91
2022-04-10,83
2022-04-17,87
2022-04-24,98
2022-05-01,81
2022-05-08,80
2022-05-15,82
2022-05-22,73
2022-05-29,63
2022-06-05,67
2022-06-12,66
2022-06-19,70
2022-06-26,62
2022-07-03,60
2022-07-10,61
2022-07-17,57
2022-07-24,64
2022-07-31,61
2022-08-07,59
2022-08-14,61
2022-08-21,67
2022-08-28,68
2022-09-04,76
2022-09-11,85
2022-09-18,80
2022-09-25,81
2022-10-02,76
2022-10-09,84
2022-10-16,88
2022-10-23,79
2022-10-30,83
2022-11-06,83
2022-11-13,84
2022-11-20,74
2022-11-27,78
2022-12-04,82
2022-12-11,67
2022-12-18,42
2022-12-25,30
2023-01-01,42
2023-01-08,59
2023-01-15,64
2023-01-22,70
2023-01-29,80
2023-02-05,78
2023-02-12,71
2023-02-19,83
2023-02-26,76
2023-03-05,80
2023-03-12,73
2023-03-19,72
2023-03-26,74
2023-04-02,58
2023-04-09,63
2023-04-16,68
2023-04-23,67
2023-04-30,65
2023-05-07,61
2023-05-14,63
2023-05-21,61
2023-05-28,63
2023-06-04,64
2023-06-11,62
2023-06-18,56
2023-06-25,55
2023-07-02,52
2023-07-09,54
2023-07-16,57
2023-07-23,59
2023-07-30,55
2023-08-06,58
2023-08-13,56
2023-08-20,60
2023-08-27,62
2023-09-03,66
2023-09-10,69
2023-09-17,72
2023-09-24,69
2023-10-01,68
2023-10-08,68
2023-10-15,68
2023-10-22,71
2023-10-29,66
2023-11-05,66
2023-11-12,66
2023-11-19,64
2023-11-26,62
2023-12-03,67
2023-12-10,58
2023-12-17,43
2023-12-24,29
2023-12-31,40
2024-01-07,55
2024-01-14,60
2024-01-21,70
2024-01-28,72
2024-02-04,69
2024-02-11,66
2024-02-18,71
2024-02-25,74
2024-03-03,73
2024-03-10,66
2024-03-17,72
2024-03-24,65
2024-03-31,63
2024-04-07,65
2024-04-14,69
2024-04-21,66
2024-04-28,62
2024-05-05,61
2024-05-12,58
2024-05-19,52
2024-05-26,53
2024-06-02,56
2024-06-09,52
2024-06-16,47
2024-06-23,51
2024-06-30,47
2024-07-07,49
2024-07-14,48
2024-07-21,52
2024-07-28,48
2024-08-04,47
2024-08-11,58
2024-08-18,51
2024-08-25,54
2024-09-01,54
2024-09-08,57
2024-09-15,61
2024-09-22,56
2024-09-29,52
2024-10-06,56
2024-10-13,54
2024-10-20,58
2024-10-27,50
2024-11-03,56
2024-11-10,55
2024-11-17,56
2024-11-24,49
2024-12-01,53
2024-12-08,50
2024-12-15,37
2024-12-22,21
2024-12-29,24
2025-01-05,39
2025-01-12,47
2025-01-19,60
2025-01-26,55
2025-02-02,59
2025-02-09,52
2025-02-16,54
2025-02-23,55
2025-03-02,56
2025-03-09,52
2025-03-16,57
2025-03-23,58
2025-03-30,49
2025-04-06,47
2025-04-13,43
2025-04-20,47
2025-04-27,50
2025-05-04,46
2025-05-11,50
2025-05-18,45
2025-05-25,37
2025-06-01,43
2025-06-08,46
2025-06-15,49
2025-06-22,42
2025-06-29,38
2025-07-06,43
2025-07-13,41
2025-07-20,36
2025-07-27,39
