date,vegan
2020-01-01,100
2020-02-01,88
2020-03-01,66
2020-04-01,76
2020-05-01,71
2020-06-01,74
2020-07-01,74
2020-08-01,78
2020-09-01,76
2020-10-01,65
2020-11-01,69
2020-12-01,75
2021-01-01,71
2021-02-01,71
2021-03-01,67
2021-04-01,69
2021-05-01,67
2021-06-01,64
2021-07-01,67
2021-08-01,66
2021-09-01,63
2021-10-01,66
2021-11-01,65
2021-12-01,72
2022-01-01,73
2022-02-01,66
2022-03-01,66
2022-04-01,67
2022-05-01,60
2022-06-01,58
2022-07-01,60
2022-08-01,57
2022-09-01,57
2022-10-01,56
2022-11-01,57
2022-12-01,61
2023-01-01,60
2023-02-01,54
2023-03-01,56
2023-04-01,53
2023-05-01,51
2023-06-01,54
2023-07-01,53
2023-08-01,50
2023-09-01,52
2023-10-01,50
2023-11-01,52
2023-12-01,58
2024-01-01,61
2024-02-01,56
2024-03-01,54
2024-04-01,49
2024-05-01,47
2024-06-01,46
2024-07-01,49
2024-08-01,47
2024-09-01,45
2024-10-01,45
2024-11-01,51
2024-12-01,56
2025-01-01,48
2025-02-01,48
2025-03-01,49
2025-04-01,47
2025-05-01,43
2025-06-01,45
2025-07-01,46
2025-08-01,53
