date,stakeholder capitalism
2020-08-02,12
2020-08-09,0
2020-08-16,15
2020-08-23,16
2020-08-30,16
2020-09-06,16
2020-09-13,16
2020-09-20,31
2020-09-27,16
2020-10-04,21
2020-10-11,18
2020-10-18,16
2020-10-25,25
2020-11-01,13
2020-11-08,22
2020-11-15,53
2020-11-22,34
2020-11-29,28
2020-12-06,40
2020-12-13,26
2020-12-20,16
2020-12-27,17
2021-01-03,23
2021-01-10,18
2021-01-17,15
2021-01-24,100
2021-01-31,52
2021-02-07,42
2021-02-14,32
2021-02-21,26
2021-02-28,30
2021-03-07,20
2021-03-14,20
2021-03-21,16
2021-03-28,23
2021-04-04,18
2021-04-11,22
2021-04-18,24
2021-04-25,25
2021-05-02,14
2021-05-09,18
2021-05-16,21
2021-05-23,21
2021-05-30,16
2021-06-06,18
2021-06-13,13
2021-06-20,14
2021-06-27,11
2021-07-04,20
2021-07-11,22
2021-07-18,15
2021-07-25,14
2021-08-01,11
2021-08-08,14
2021-08-15,14
2021-08-22,24
2021-08-29,13
2021-09-05,23
2021-09-12,20
2021-09-19,24
2021-09-26,20
2021-10-03,23
2021-10-10,20
2021-10-17,23
2021-10-24,18
2021-10-31,18
2021-11-07,20
2021-11-14,17
2021-11-21,18
2021-11-28,15
2021-12-05,15
2021-12-12,19
2021-12-19,18
2021-12-26,12
2022-01-02,18
2022-01-09,22
2022-01-16,42
2022-01-23,35
2022-01-30,36
2022-02-06,34
2022-02-13,35
2022-02-20,38
2022-02-27,27
2022-03-06,33
2022-03-13,23
2022-03-20,27
2022-03-27,26
2022-04-03,27
2022-04-10,26
2022-04-17,23
2022-04-24,21
2022-05-01,27
2022-05-08,28
2022-05-15,24
2022-05-22,39
2022-05-29,31
2022-06-05,22
2022-06-12,13
2022-06-19,18
2022-06-26,18
2022-07-03,17
2022-07-10,18
2022-07-17,18
2022-07-24,16
2022-07-31,17
2022-08-07,17
2022-08-14,19
2022-08-21,16
2022-08-28,20
2022-09-04,21
2022-09-11,26
2022-09-18,20
2022-09-25,19
2022-10-02,17
2022-10-09,12
2022-10-16,22
2022-10-23,25
2022-10-30,20
2022-11-06,18
2022-11-13,15
2022-11-20,16
2022-11-27,16
2022-12-04,18
2022-12-11,17
2022-12-18,9
2022-12-25,0
2023-01-01,16
2023-01-08,24
2023-01-15,25
2023-01-22,21
2023-01-29,14
2023-02-05,18
2023-02-12,18
2023-02-19,22
2023-02-26,17
2023-03-05,16
2023-03-12,14
2023-03-19,18
2023-03-26,16
2023-04-02,14
2023-04-09,14
2023-04-16,20
2023-04-23,18
2023-04-30,16
2023-05-07,19
2023-05-14,16
2023-05-21,16
2023-05-28,13
2023-06-04,12
2023-06-11,14
2023-06-18,13
2023-06-25,14
2023-07-02,14
2023-07-09,9
2023-07-16,10
2023-07-23,0
2023-07-30,11
2023-08-06,12
2023-08-13,8
2023-08-20,11
2023-08-27,11
2023-09-03,10
2023-09-10,13
2023-09-17,14
2023-09-24,16
2023-10-01,22
2023-10-08,14
2023-10-15,12
2023-10-22,9
2023-10-29,13
2023-11-05,14
2023-11-12,10
2023-11-19,15
2023-11-26,15
2023-12-03,13
2023-12-10,16
2023-12-17,8
2023-12-24,0
2023-12-31,9
2024-01-07,9
2024-01-14,17
2024-01-21,15
2024-01-28,11
2024-02-04,15
2024-02-11,12
2024-02-18,14
2024-02-25,20
2024-03-03,12
2024-03-10,11
2024-03-17,10
2024-03-24,0
2024-03-31,16
2024-04-07,9
2024-04-14,13
2024-04-21,11
2024-04-28,9
2024-05-05,17
2024-05-12,9
2024-05-19,9
2024-05-26,0
2024-06-02,7
2024-06-09,11
2024-06-16,0
2024-06-23,8
2024-06-30,19
2024-07-07,11
2024-07-14,12
2024-07-21,12
2024-07-28,0
2024-08-04,0
2024-08-11,10
2024-08-18,11
2024-08-25,9
2024-09-01,12
2024-09-08,15
2024-09-15,11
2024-09-22,0
2024-09-29,9
2024-10-06,14
2024-10-13,13
2024-10-20,19
2024-10-27,15
2024-11-03,16
2024-11-10,0
2024-11-17,8
2024-11-24,8
2024-12-01,12
2024-12-08,14
2024-12-15,25
2024-12-22,13
2024-12-29,11
2025-01-05,10
2025-01-12,16
2025-01-19,14
2025-01-26,15
2025-02-02,15
2025-02-09,13
2025-02-16,13
2025-02-23,12
2025-03-02,19
2025-03-09,12
2025-03-16,10
2025-03-23,8
2025-03-30,9
2025-04-06,7
2025-04-13,10
2025-04-20,15
2025-04-27,10
2025-05-04,9
2025-05-11,0
2025-05-18,16
2025-05-25,10
2025-06-01,9
2025-06-08,13
2025-06-15,13
2025-06-22,10
2025-06-29,10
2025-07-06,0
2025-07-13,10
2025-07-20,19
2025-07-27,9
