date,IBB
2020-08-02,40
2020-08-09,42
2020-08-16,44
2020-08-23,43
2020-08-30,44
2020-09-06,42
2020-09-13,58
2020-09-20,61
2020-09-27,62
2020-10-04,51
2020-10-11,51
2020-10-18,57
2020-10-25,62
2020-11-01,68
2020-11-08,63
2020-11-15,49
2020-11-22,46
2020-11-29,47
2020-12-06,45
2020-12-13,54
2020-12-20,58
2020-12-27,44
2021-01-03,53
2021-01-10,70
2021-01-17,65
2021-01-24,56
2021-01-31,47
2021-02-07,51
2021-02-14,53
2021-02-21,53
2021-02-28,48
2021-03-07,50
2021-03-14,44
2021-03-21,43
2021-03-28,41
2021-04-04,38
2021-04-11,44
2021-04-18,43
2021-04-25,46
2021-05-02,48
2021-05-09,33
2021-05-16,41
2021-05-23,41
2021-05-30,49
2021-06-06,47
2021-06-13,47
2021-06-20,49
2021-06-27,51
2021-07-04,56
2021-07-11,53
2021-07-18,34
2021-07-25,49
2021-08-01,42
2021-08-08,45
2021-08-15,47
2021-08-22,48
2021-08-29,54
2021-09-05,60
2021-09-12,61
2021-09-19,59
2021-09-26,59
2021-10-03,74
2021-10-10,61
2021-10-17,66
2021-10-24,50
2021-10-31,55
2021-11-07,57
2021-11-14,61
2021-11-21,66
2021-11-28,49
2021-12-05,47
2021-12-12,53
2021-12-19,48
2021-12-26,55
2022-01-02,61
2022-01-09,54
2022-01-16,51
2022-01-23,74
2022-01-30,58
2022-02-06,53
2022-02-13,53
2022-02-20,49
2022-02-27,49
2022-03-06,55
2022-03-13,52
2022-03-20,49
2022-03-27,49
2022-04-03,54
2022-04-10,52
2022-04-17,46
2022-04-24,50
2022-05-01,40
2022-05-08,47
2022-05-15,50
2022-05-22,68
2022-05-29,51
2022-06-05,50
2022-06-12,54
2022-06-19,55
2022-06-26,52
2022-07-03,47
2022-07-10,44
2022-07-17,51
2022-07-24,50
2022-07-31,47
2022-08-07,50
2022-08-14,51
2022-08-21,72
2022-08-28,65
2022-09-04,62
2022-09-11,72
2022-09-18,67
2022-09-25,89
2022-10-02,86
2022-10-09,78
2022-10-16,62
2022-10-23,67
2022-10-30,55
2022-11-06,57
2022-11-13,56
2022-11-20,62
2022-11-27,60
2022-12-04,62
2022-12-11,75
2022-12-18,89
2022-12-25,62
2023-01-01,61
2023-01-08,52
2023-01-15,51
2023-01-22,55
2023-01-29,56
2023-02-05,68
2023-02-12,100
2023-02-19,100
2023-02-26,74
2023-03-05,63
2023-03-12,60
2023-03-19,75
2023-03-26,62
2023-04-02,54
2023-04-09,54
2023-04-16,51
2023-04-23,51
2023-04-30,50
2023-05-07,50
2023-05-14,50
2023-05-21,56
2023-05-28,54
2023-06-04,49
2023-06-11,53
2023-06-18,51
2023-06-25,43
2023-07-02,54
2023-07-09,55
2023-07-16,52
2023-07-23,53
2023-07-30,52
2023-08-06,55
2023-08-13,57
2023-08-20,73
2023-08-27,62
2023-09-03,60
2023-09-10,76
2023-09-17,68
2023-09-24,82
2023-10-01,69
2023-10-08,75
2023-10-15,69
2023-10-22,61
2023-10-29,63
2023-11-05,56
2023-11-12,59
2023-11-19,60
2023-11-26,57
2023-12-03,63
2023-12-10,62
2023-12-17,83
2023-12-24,51
2023-12-31,70
2024-01-07,66
2024-01-14,60
2024-01-21,68
2024-01-28,67
2024-02-04,62
2024-02-11,62
2024-02-18,70
2024-02-25,62
2024-03-03,72
2024-03-10,76
2024-03-17,60
2024-03-24,61
2024-03-31,72
2024-04-07,53
2024-04-14,68
2024-04-21,67
2024-04-28,60
2024-05-05,54
2024-05-12,67
2024-05-19,59
2024-05-26,54
2024-06-02,55
2024-06-09,50
2024-06-16,43
2024-06-23,52
2024-06-30,52
2024-07-07,57
2024-07-14,56
2024-07-21,56
2024-07-28,55
2024-08-04,53
2024-08-11,68
2024-08-18,71
2024-08-25,70
2024-09-01,78
2024-09-08,64
2024-09-15,62
2024-09-22,75
2024-09-29,66
2024-10-06,64
2024-10-13,57
2024-10-20,55
2024-10-27,65
2024-11-03,57
2024-11-10,55
2024-11-17,54
2024-11-24,51
2024-12-01,55
2024-12-08,55
2024-12-15,65
2024-12-22,76
2024-12-29,71
2025-01-05,74
2025-01-12,70
2025-01-19,56
2025-01-26,56
2025-02-02,61
2025-02-09,71
2025-02-16,80
2025-02-23,83
2025-03-02,61
2025-03-09,57
2025-03-16,84
2025-03-23,90
2025-03-30,54
2025-04-06,60
2025-04-13,55
2025-04-20,56
2025-04-27,57
2025-05-04,50
2025-05-11,46
2025-05-18,57
2025-05-25,50
2025-06-01,47
2025-06-08,44
2025-06-15,48
2025-06-22,50
2025-06-29,46
2025-07-06,52
2025-07-13,47
2025-07-20,48
2025-07-27,53
