date,big data trends
2020-08-02,22
2020-08-09,18
2020-08-16,15
2020-08-23,26
2020-08-30,31
2020-09-06,28
2020-09-13,31
2020-09-20,31
2020-09-27,44
2020-10-04,29
2020-10-11,27
2020-10-18,36
2020-10-25,14
2020-11-01,13
2020-11-08,21
2020-11-15,18
2020-11-22,28
2020-11-29,21
2020-12-06,27
2020-12-13,24
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,15
2021-01-24,31
2021-01-31,22
2021-02-07,32
2021-02-14,16
2021-02-21,18
2021-02-28,22
2021-03-07,27
2021-03-14,41
2021-03-21,19
2021-03-28,21
2021-04-04,28
2021-04-11,33
2021-04-18,28
2021-04-25,27
2021-05-02,17
2021-05-09,17
2021-05-16,24
2021-05-23,0
2021-05-30,25
2021-06-06,24
2021-06-13,25
2021-06-20,21
2021-06-27,15
2021-07-04,0
2021-07-11,29
2021-07-18,0
2021-07-25,21
2021-08-01,22
2021-08-08,16
2021-08-15,0
2021-08-22,28
2021-08-29,27
2021-09-05,19
2021-09-12,19
2021-09-19,22
2021-09-26,27
2021-10-03,35
2021-10-10,29
2021-10-17,26
2021-10-24,26
2021-10-31,27
2021-11-07,19
2021-11-14,35
2021-11-21,31
2021-11-28,33
2021-12-05,26
2021-12-12,28
2021-12-19,0
2021-12-26,0
2022-01-02,23
2022-01-09,38
2022-01-16,31
2022-01-23,44
2022-01-30,31
2022-02-06,27
2022-02-13,44
2022-02-20,37
2022-02-27,52
2022-03-06,36
2022-03-13,35
2022-03-20,33
2022-03-27,29
2022-04-03,32
2022-04-10,31
2022-04-17,32
2022-04-24,26
2022-05-01,34
2022-05-08,45
2022-05-15,24
2022-05-22,23
2022-05-29,24
2022-06-05,30
2022-06-12,35
2022-06-19,28
2022-06-26,25
2022-07-03,16
2022-07-10,0
2022-07-17,23
2022-07-24,34
2022-07-31,28
2022-08-07,21
2022-08-14,29
2022-08-21,20
2022-08-28,45
2022-09-04,14
2022-09-11,29
2022-09-18,35
2022-09-25,25
2022-10-02,23
2022-10-09,35
2022-10-16,32
2022-10-23,23
2022-10-30,36
2022-11-06,30
2022-11-13,26
2022-11-20,32
2022-11-27,32
2022-12-04,43
2022-12-11,25
2022-12-18,19
2022-12-25,14
2023-01-01,21
2023-01-08,19
2023-01-15,29
2023-01-22,37
2023-01-29,35
2023-02-05,34
2023-02-12,44
2023-02-19,27
2023-02-26,29
2023-03-05,31
2023-03-12,36
2023-03-19,31
2023-03-26,27
2023-04-02,33
2023-04-09,15
2023-04-16,37
2023-04-23,29
2023-04-30,27
2023-05-07,40
2023-05-14,24
2023-05-21,30
2023-05-28,32
2023-06-04,26
2023-06-11,36
2023-06-18,25
2023-06-25,41
2023-07-02,28
2023-07-09,28
2023-07-16,16
2023-07-23,42
2023-07-30,19
2023-08-06,26
2023-08-13,36
2023-08-20,23
2023-08-27,18
2023-09-03,30
2023-09-10,40
2023-09-17,32
2023-09-24,28
2023-10-01,29
2023-10-08,36
2023-10-15,32
2023-10-22,40
2023-10-29,28
2023-11-05,30
2023-11-12,46
2023-11-19,29
2023-11-26,23
2023-12-03,37
2023-12-10,33
2023-12-17,25
2023-12-24,19
2023-12-31,18
2024-01-07,32
2024-01-14,30
2024-01-21,41
2024-01-28,37
2024-02-04,35
2024-02-11,37
2024-02-18,46
2024-02-25,47
2024-03-03,48
2024-03-10,30
2024-03-17,46
2024-03-24,35
2024-03-31,33
2024-04-07,39
2024-04-14,39
2024-04-21,31
2024-04-28,25
2024-05-05,37
2024-05-12,32
2024-05-19,27
2024-05-26,22
2024-06-02,24
2024-06-09,26
2024-06-16,38
2024-06-23,16
2024-06-30,45
2024-07-07,36
2024-07-14,35
2024-07-21,33
2024-07-28,24
2024-08-04,38
2024-08-11,29
2024-08-18,29
2024-08-25,49
2024-09-01,41
2024-09-08,56
2024-09-15,38
2024-09-22,57
2024-09-29,46
2024-10-06,42
2024-10-13,42
2024-10-20,38
2024-10-27,36
2024-11-03,45
2024-11-10,46
2024-11-17,43
2024-11-24,35
2024-12-01,43
2024-12-08,34
2024-12-15,34
2024-12-22,29
2024-12-29,19
2025-01-05,22
2025-01-12,34
2025-01-19,42
2025-01-26,41
2025-02-02,40
2025-02-09,37
2025-02-16,45
2025-02-23,47
2025-03-02,42
2025-03-09,40
2025-03-16,42
2025-03-23,31
2025-03-30,35
2025-04-06,35
2025-04-13,21
2025-04-20,28
2025-04-27,50
2025-05-04,33
2025-05-11,33
2025-05-18,41
2025-05-25,38
2025-06-01,49
2025-06-08,67
2025-06-15,57
2025-06-22,60
2025-06-29,100
2025-07-06,58
2025-07-13,57
2025-07-20,59
2025-07-27,78
