date,Apple Watch review
2020-08-02,17
2020-08-09,16
2020-08-16,17
2020-08-23,15
2020-08-30,15
2020-09-06,15
2020-09-13,48
2020-09-20,49
2020-09-27,35
2020-10-04,30
2020-10-11,27
2020-10-18,23
2020-10-25,21
2020-11-01,20
2020-11-08,24
2020-11-15,27
2020-11-22,36
2020-11-29,29
2020-12-06,25
2020-12-13,24
2020-12-20,29
2020-12-27,30
2021-01-03,22
2021-01-10,20
2021-01-17,18
2021-01-24,18
2021-01-31,18
2021-02-07,16
2021-02-14,15
2021-02-21,15
2021-02-28,16
2021-03-07,15
2021-03-14,16
2021-03-21,14
2021-03-28,14
2021-04-04,15
2021-04-11,14
2021-04-18,15
2021-04-25,14
2021-05-02,16
2021-05-09,16
2021-05-16,14
2021-05-23,13
2021-05-30,14
2021-06-06,15
2021-06-13,14
2021-06-20,15
2021-06-27,13
2021-07-04,13
2021-07-11,13
2021-07-18,16
2021-07-25,14
2021-08-01,20
2021-08-08,14
2021-08-15,15
2021-08-22,14
2021-08-29,15
2021-09-05,12
2021-09-12,19
2021-09-19,16
2021-09-26,15
2021-10-03,20
2021-10-10,28
2021-10-17,23
2021-10-24,18
2021-10-31,20
2021-11-07,20
2021-11-14,21
2021-11-21,33
2021-11-28,23
2021-12-05,20
2021-12-12,21
2021-12-19,23
2021-12-26,26
2022-01-02,25
2022-01-09,21
2022-01-16,18
2022-01-23,18
2022-01-30,20
2022-02-06,18
2022-02-13,18
2022-02-20,14
2022-02-27,15
2022-03-06,15
2022-03-13,15
2022-03-20,17
2022-03-27,15
2022-04-03,15
2022-04-10,14
2022-04-17,14
2022-04-24,15
2022-05-01,16
2022-05-08,14
2022-05-15,13
2022-05-22,13
2022-05-29,13
2022-06-05,15
2022-06-12,15
2022-06-19,14
2022-06-26,15
2022-07-03,13
2022-07-10,18
2022-07-17,15
2022-07-24,14
2022-07-31,15
2022-08-07,14
2022-08-14,14
2022-08-21,14
2022-08-28,14
2022-09-04,35
2022-09-11,46
2022-09-18,62
2022-09-25,45
2022-10-02,34
2022-10-09,32
2022-10-16,28
2022-10-23,28
2022-10-30,27
2022-11-06,25
2022-11-13,26
2022-11-20,34
2022-11-27,27
2022-12-04,23
2022-12-11,24
2022-12-18,23
2022-12-25,31
2023-01-01,26
2023-01-08,23
2023-01-15,21
2023-01-22,20
2023-01-29,19
2023-02-05,19
2023-02-12,18
2023-02-19,18
2023-02-26,16
2023-03-05,16
2023-03-12,16
2023-03-19,16
2023-03-26,17
2023-04-02,17
2023-04-09,16
2023-04-16,15
2023-04-23,17
2023-04-30,17
2023-05-07,15
2023-05-14,16
2023-05-21,15
2023-05-28,15
2023-06-04,16
2023-06-11,16
2023-06-18,16
2023-06-25,15
2023-07-02,15
2023-07-09,18
2023-07-16,15
2023-07-23,15
2023-07-30,16
2023-08-06,14
2023-08-13,15
2023-08-20,14
2023-08-27,14
2023-09-03,12
2023-09-10,24
2023-09-17,28
2023-09-24,26
2023-10-01,22
2023-10-08,21
2023-10-15,18
2023-10-22,18
2023-10-29,19
2023-11-05,20
2023-11-12,20
2023-11-19,28
2023-11-26,21
2023-12-03,17
2023-12-10,19
2023-12-17,22
2023-12-24,25
2023-12-31,20
2024-01-07,15
2024-01-14,16
2024-01-21,15
2024-01-28,17
2024-02-04,17
2024-02-11,16
2024-02-18,14
2024-02-25,16
2024-03-03,13
2024-03-10,15
2024-03-17,16
2024-03-24,14
2024-03-31,14
2024-04-07,13
2024-04-14,14
2024-04-21,14
2024-04-28,14
2024-05-05,14
2024-05-12,13
2024-05-19,15
2024-05-26,14
2024-06-02,14
2024-06-09,16
2024-06-16,14
2024-06-23,14
2024-06-30,14
2024-07-07,13
2024-07-14,18
2024-07-21,15
2024-07-28,13
2024-08-04,14
2024-08-11,15
2024-08-18,13
2024-08-25,15
2024-09-01,15
2024-09-08,31
2024-09-15,30
2024-09-22,25
2024-09-29,22
2024-10-06,22
2024-10-13,19
2024-10-20,17
2024-10-27,17
2024-11-03,17
2024-11-10,19
2024-11-17,20
2024-11-24,28
2024-12-01,22
2024-12-08,21
2024-12-15,19
2024-12-22,24
2024-12-29,22
2025-01-05,20
2025-01-12,20
2025-01-19,18
2025-01-26,16
2025-02-02,18
2025-02-09,16
2025-02-16,12
2025-02-23,13
2025-03-02,14
2025-03-09,14
2025-03-16,13
2025-03-23,13
2025-03-30,14
2025-04-06,13
2025-04-13,14
2025-04-20,13
2025-04-27,14
2025-05-04,16
2025-05-11,14
2025-05-18,13
2025-05-25,13
2025-06-01,16
2025-06-08,19
2025-06-15,18
2025-06-22,17
2025-06-29,16
2025-07-06,20
2025-07-13,32
2025-07-20,52
2025-07-27,100
