date,buy Tesla shares
2020-08-02,11
2020-08-09,22
2020-08-16,37
2020-08-23,48
2020-08-30,58
2020-09-06,30
2020-09-13,21
2020-09-20,25
2020-09-27,16
2020-10-04,14
2020-10-11,10
2020-10-18,14
2020-10-25,10
2020-11-01,11
2020-11-08,10
2020-11-15,25
2020-11-22,41
2020-11-29,28
2020-12-06,30
2020-12-13,23
2020-12-20,36
2020-12-27,48
2021-01-03,100
2021-01-10,91
2021-01-17,49
2021-01-24,58
2021-01-31,44
2021-02-07,45
2021-02-14,30
2021-02-21,39
2021-02-28,24
2021-03-07,36
2021-03-14,20
2021-03-21,18
2021-03-28,21
2021-04-04,22
2021-04-11,26
2021-04-18,21
2021-04-25,23
2021-05-02,20
2021-05-09,20
2021-05-16,20
2021-05-23,13
2021-05-30,13
2021-06-06,11
2021-06-13,12
2021-06-20,9
2021-06-27,15
2021-07-04,9
2021-07-11,8
2021-07-18,11
2021-07-25,16
2021-08-01,10
2021-08-08,8
2021-08-15,11
2021-08-22,12
2021-08-29,11
2021-09-05,10
2021-09-12,11
2021-09-19,12
2021-09-26,9
2021-10-03,11
2021-10-10,13
2021-10-17,18
2021-10-24,36
2021-10-31,38
2021-11-07,48
2021-11-14,29
2021-11-21,20
2021-11-28,22
2021-12-05,19
2021-12-12,20
2021-12-19,17
2021-12-26,25
2022-01-02,29
2022-01-09,21
2022-01-16,20
2022-01-23,26
2022-01-30,21
2022-02-06,17
2022-02-13,15
2022-02-20,13
2022-02-27,12
2022-03-06,14
2022-03-13,16
2022-03-20,15
2022-03-27,20
2022-04-03,19
2022-04-10,18
2022-04-17,20
2022-04-24,40
2022-05-01,20
2022-05-08,20
2022-05-15,25
2022-05-22,16
2022-05-29,9
2022-06-05,11
2022-06-12,13
2022-06-19,9
2022-06-26,9
2022-07-03,14
2022-07-10,13
2022-07-17,11
2022-07-24,8
2022-07-31,13
2022-08-07,17
2022-08-14,17
2022-08-21,19
2022-08-28,13
2022-09-04,14
2022-09-11,12
2022-09-18,11
2022-09-25,13
2022-10-02,14
2022-10-09,10
2022-10-16,14
2022-10-23,13
2022-10-30,16
2022-11-06,17
2022-11-13,14
2022-11-20,9
2022-11-27,8
2022-12-04,8
2022-12-11,14
2022-12-18,14
2022-12-25,19
2023-01-01,22
2023-01-08,19
2023-01-15,13
2023-01-22,19
2023-01-29,18
2023-02-05,14
2023-02-12,14
2023-02-19,14
2023-02-26,16
2023-03-05,9
2023-03-12,7
2023-03-19,6
2023-03-26,8
2023-04-02,8
2023-04-09,8
2023-04-16,14
2023-04-23,11
2023-04-30,8
2023-05-07,5
2023-05-14,7
2023-05-21,10
2023-05-28,9
2023-06-04,12
2023-06-11,11
2023-06-18,11
2023-06-25,9
2023-07-02,10
2023-07-09,7
2023-07-16,12
2023-07-23,12
2023-07-30,7
2023-08-06,6
2023-08-13,10
2023-08-20,7
2023-08-27,8
2023-09-03,7
2023-09-10,8
2023-09-17,10
2023-09-24,9
2023-10-01,7
2023-10-08,7
2023-10-15,6
2023-10-22,9
2023-10-29,7
2023-11-05,5
2023-11-12,10
2023-11-19,7
2023-11-26,8
2023-12-03,7
2023-12-10,9
2023-12-17,7
2023-12-24,7
2023-12-31,10
2024-01-07,8
2024-01-14,8
2024-01-21,15
2024-01-28,10
2024-02-04,10
2024-02-11,7
2024-02-18,10
2024-02-25,9
2024-03-03,12
2024-03-10,9
2024-03-17,8
2024-03-24,8
2024-03-31,10
2024-04-07,10
2024-04-14,13
2024-04-21,10
2024-04-28,6
2024-05-05,8
2024-05-12,6
2024-05-19,5
2024-05-26,5
2024-06-02,7
2024-06-09,13
2024-06-16,8
2024-06-23,4
2024-06-30,7
2024-07-07,10
2024-07-14,7
2024-07-21,9
2024-07-28,8
2024-08-04,6
2024-08-11,4
2024-08-18,8
2024-08-25,0
2024-09-01,6
2024-09-08,0
2024-09-15,8
2024-09-22,3
2024-09-29,6
2024-10-06,9
2024-10-13,10
2024-10-20,13
2024-10-27,7
2024-11-03,24
2024-11-10,33
2024-11-17,17
2024-11-24,14
2024-12-01,15
2024-12-08,16
2024-12-15,12
2024-12-22,13
2024-12-29,12
2025-01-05,13
2025-01-12,15
2025-01-19,9
2025-01-26,8
2025-02-02,7
2025-02-09,9
2025-02-16,8
2025-02-23,10
2025-03-02,13
2025-03-09,29
2025-03-16,29
2025-03-23,24
2025-03-30,21
2025-04-06,24
2025-04-13,9
2025-04-20,14
2025-04-27,9
2025-05-04,5
2025-05-11,7
2025-05-18,7
2025-05-25,8
2025-06-01,19
2025-06-08,18
2025-06-15,9
2025-06-22,12
2025-06-29,10
2025-07-06,10
2025-07-13,15
2025-07-20,17
2025-07-27,17
