date,PayPal
2020-08-02,100
2020-08-09,89
2020-08-16,90
2020-08-23,92
2020-08-30,91
2020-09-06,86
2020-09-13,83
2020-09-20,88
2020-09-27,89
2020-10-04,89
2020-10-11,88
2020-10-18,84
2020-10-25,86
2020-11-01,80
2020-11-08,87
2020-11-15,89
2020-11-22,92
2020-11-29,99
2020-12-06,92
2020-12-13,93
2020-12-20,82
2020-12-27,95
2021-01-03,91
2021-01-10,87
2021-01-17,92
2021-01-24,88
2021-01-31,92
2021-02-07,82
2021-02-14,82
2021-02-21,83
2021-02-28,83
2021-03-07,77
2021-03-14,76
2021-03-21,77
2021-03-28,82
2021-04-04,76
2021-04-11,74
2021-04-18,79
2021-04-25,74
2021-05-02,79
2021-05-09,72
2021-05-16,79
2021-05-23,76
2021-05-30,72
2021-06-06,71
2021-06-13,67
2021-06-20,67
2021-06-27,71
2021-07-04,65
2021-07-11,71
2021-07-18,70
2021-07-25,70
2021-08-01,70
2021-08-08,64
2021-08-15,66
2021-08-22,68
2021-08-29,66
2021-09-05,63
2021-09-12,63
2021-09-19,67
2021-09-26,63
2021-10-03,64
2021-10-10,64
2021-10-17,64
2021-10-24,65
2021-10-31,65
2021-11-07,71
2021-11-14,67
2021-11-21,70
2021-11-28,74
2021-12-05,71
2021-12-12,76
2021-12-19,66
2021-12-26,66
2022-01-02,77
2022-01-09,79
2022-01-16,72
2022-01-23,73
2022-01-30,82
2022-02-06,74
2022-02-13,74
2022-02-20,71
2022-02-27,74
2022-03-06,77
2022-03-13,72
2022-03-20,71
2022-03-27,71
2022-04-03,71
2022-04-10,68
2022-04-17,67
2022-04-24,70
2022-05-01,69
2022-05-08,67
2022-05-15,67
2022-05-22,68
2022-05-29,67
2022-06-05,67
2022-06-12,68
2022-06-19,66
2022-06-26,70
2022-07-03,68
2022-07-10,69
2022-07-17,69
2022-07-24,70
2022-07-31,71
2022-08-07,68
2022-08-14,66
2022-08-21,66
2022-08-28,68
2022-09-04,65
2022-09-11,66
2022-09-18,75
2022-09-25,74
2022-10-02,67
2022-10-09,75
2022-10-16,65
2022-10-23,62
2022-10-30,68
2022-11-06,65
2022-11-13,69
2022-11-20,65
2022-11-27,70
2022-12-04,68
2022-12-11,68
2022-12-18,64
2022-12-25,60
2023-01-01,64
2023-01-08,65
2023-01-15,62
2023-01-22,64
2023-01-29,65
2023-02-05,63
2023-02-12,59
2023-02-19,59
2023-02-26,63
2023-03-05,58
2023-03-12,57
2023-03-19,59
2023-03-26,61
2023-04-02,58
2023-04-09,60
2023-04-16,58
2023-04-23,58
2023-04-30,55
2023-05-07,58
2023-05-14,57
2023-05-21,56
2023-05-28,57
2023-06-04,59
2023-06-11,59
2023-06-18,57
2023-06-25,60
2023-07-02,61
2023-07-09,61
2023-07-16,58
2023-07-23,58
2023-07-30,62
2023-08-06,59
2023-08-13,60
2023-08-20,57
2023-08-27,60
2023-09-03,57
2023-09-10,54
2023-09-17,59
2023-09-24,57
2023-10-01,57
2023-10-08,56
2023-10-15,57
2023-10-22,61
2023-10-29,59
2023-11-05,59
2023-11-12,58
2023-11-19,59
2023-11-26,62
2023-12-03,61
2023-12-10,58
2023-12-17,59
2023-12-24,54
2023-12-31,59
2024-01-07,59
2024-01-14,59
2024-01-21,60
2024-01-28,66
2024-02-04,63
2024-02-11,57
2024-02-18,56
2024-02-25,59
2024-03-03,57
2024-03-10,54
2024-03-17,55
2024-03-24,60
2024-03-31,58
2024-04-07,56
2024-04-14,56
2024-04-21,55
2024-04-28,60
2024-05-05,53
2024-05-12,54
2024-05-19,52
2024-05-26,54
2024-06-02,57
2024-06-09,58
2024-06-16,55
2024-06-23,55
2024-06-30,58
2024-07-07,56
2024-07-14,58
2024-07-21,56
2024-07-28,59
2024-08-04,55
2024-08-11,55
2024-08-18,53
2024-08-25,54
2024-09-01,57
2024-09-08,55
2024-09-15,56
2024-09-22,52
2024-09-29,54
2024-10-06,52
2024-10-13,48
2024-10-20,50
2024-10-27,52
2024-11-03,52
2024-11-10,52
2024-11-17,56
2024-11-24,56
2024-12-01,57
2024-12-08,57
2024-12-15,54
2024-12-22,51
2024-12-29,52
2025-01-05,54
2025-01-12,54
2025-01-19,53
2025-01-26,54
2025-02-02,53
2025-02-09,50
2025-02-16,49
2025-02-23,50
2025-03-02,50
2025-03-09,48
2025-03-16,49
2025-03-23,47
2025-03-30,49
2025-04-06,50
2025-04-13,47
2025-04-20,46
2025-04-27,48
2025-05-04,47
2025-05-11,46
2025-05-18,48
2025-05-25,49
2025-06-01,51
2025-06-08,49
2025-06-15,48
2025-06-22,51
2025-06-29,52
2025-07-06,51
2025-07-13,51
2025-07-20,50
2025-07-27,60
