date,Support Israel
2020-08-02,1
2020-08-09,1
2020-08-16,1
2020-08-23,1
2020-08-30,1
2020-09-06,1
2020-09-13,1
2020-09-20,1
2020-09-27,1
2020-10-04,1
2020-10-11,1
2020-10-18,1
2020-10-25,1
2020-11-01,1
2020-11-08,1
2020-11-15,1
2020-11-22,1
2020-11-29,1
2020-12-06,1
2020-12-13,1
2020-12-20,1
2020-12-27,1
2021-01-03,0
2021-01-10,1
2021-01-17,1
2021-01-24,1
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,1
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,1
2021-04-11,1
2021-04-18,1
2021-04-25,1
2021-05-02,1
2021-05-09,14
2021-05-16,25
2021-05-23,7
2021-05-30,4
2021-06-06,2
2021-06-13,3
2021-06-20,2
2021-06-27,2
2021-07-04,2
2021-07-11,1
2021-07-18,1
2021-07-25,1
2021-08-01,2
2021-08-08,1
2021-08-15,1
2021-08-22,1
2021-08-29,1
2021-09-05,1
2021-09-12,1
2021-09-19,1
2021-09-26,1
2021-10-03,1
2021-10-10,1
2021-10-17,1
2021-10-24,1
2021-10-31,1
2021-11-07,1
2021-11-14,1
2021-11-21,1
2021-11-28,1
2021-12-05,1
2021-12-12,1
2021-12-19,1
2021-12-26,1
2022-01-02,1
2022-01-09,1
2022-01-16,1
2022-01-23,1
2022-01-30,1
2022-02-06,1
2022-02-13,1
2022-02-20,2
2022-02-27,3
2022-03-06,1
2022-03-13,1
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,1
2022-04-24,1
2022-05-01,1
2022-05-08,1
2022-05-15,1
2022-05-22,1
2022-05-29,1
2022-06-05,1
2022-06-12,1
2022-06-19,1
2022-06-26,1
2022-07-03,1
2022-07-10,1
2022-07-17,1
2022-07-24,1
2022-07-31,1
2022-08-07,1
2022-08-14,1
2022-08-21,1
2022-08-28,1
2022-09-04,1
2022-09-11,1
2022-09-18,1
2022-09-25,1
2022-10-02,1
2022-10-09,1
2022-10-16,1
2022-10-23,1
2022-10-30,1
2022-11-06,1
2022-11-13,1
2022-11-20,1
2022-11-27,1
2022-12-04,1
2022-12-11,1
2022-12-18,2
2022-12-25,1
2023-01-01,1
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-05,1
2023-02-12,1
2023-02-19,1
2023-02-26,1
2023-03-05,1
2023-03-12,1
2023-03-19,1
2023-03-26,1
2023-04-02,1
2023-04-09,1
2023-04-16,1
2023-04-23,1
2023-04-30,1
2023-05-07,1
2023-05-14,1
2023-05-21,1
2023-05-28,1
2023-06-04,1
2023-06-11,1
2023-06-18,1
2023-06-25,1
2023-07-02,1
2023-07-09,1
2023-07-16,1
2023-07-23,1
2023-07-30,1
2023-08-06,1
2023-08-13,1
2023-08-20,1
2023-08-27,1
2023-09-03,1
2023-09-10,1
2023-09-17,1
2023-09-24,1
2023-10-01,4
2023-10-08,76
2023-10-15,71
2023-10-22,70
2023-10-29,100
2023-11-05,97
2023-11-12,89
2023-11-19,68
2023-11-26,51
2023-12-03,49
2023-12-10,52
2023-12-17,49
2023-12-24,52
2023-12-31,41
2024-01-07,37
2024-01-14,34
2024-01-21,33
2024-01-28,29
2024-02-04,26
2024-02-11,28
2024-02-18,25
2024-02-25,28
2024-03-03,29
2024-03-10,25
2024-03-17,24
2024-03-24,26
2024-03-31,26
2024-04-07,25
2024-04-14,30
2024-04-21,23
2024-04-28,24
2024-05-05,25
2024-05-12,28
2024-05-19,24
2024-05-26,37
2024-06-02,27
2024-06-09,24
2024-06-16,21
2024-06-23,20
2024-06-30,17
2024-07-07,15
2024-07-14,15
2024-07-21,18
2024-07-28,15
2024-08-04,13
2024-08-11,13
2024-08-18,12
2024-08-25,12
2024-09-01,11
2024-09-08,11
2024-09-15,10
2024-09-22,12
2024-09-29,18
2024-10-06,13
2024-10-13,13
2024-10-20,12
2024-10-27,12
2024-11-03,14
2024-11-10,10
2024-11-17,10
2024-11-24,10
2024-12-01,8
2024-12-08,9
2024-12-15,8
2024-12-22,8
2024-12-29,8
2025-01-05,7
2025-01-12,7
2025-01-19,7
2025-01-26,7
2025-02-02,7
2025-02-09,7
2025-02-16,6
2025-02-23,6
2025-03-02,6
2025-03-09,6
2025-03-16,7
2025-03-23,7
2025-03-30,8
2025-04-06,10
2025-04-13,11
2025-04-20,11
2025-04-27,9
2025-05-04,10
2025-05-11,9
2025-05-18,9
2025-05-25,9
2025-06-01,9
2025-06-08,17
2025-06-15,34
2025-06-22,25
2025-06-29,10
2025-07-06,9
2025-07-13,11
2025-07-20,13
2025-07-27,23
