date,PayPal stock price
2020-08-02,30
2020-08-09,26
2020-08-16,25
2020-08-23,24
2020-08-30,29
2020-09-06,24
2020-09-13,23
2020-09-20,24
2020-09-27,22
2020-10-04,20
2020-10-11,22
2020-10-18,33
2020-10-25,26
2020-11-01,32
2020-11-08,33
2020-11-15,26
2020-11-22,33
2020-11-29,32
2020-12-06,29
2020-12-13,35
2020-12-20,29
2020-12-27,30
2021-01-03,40
2021-01-10,37
2021-01-17,33
2021-01-24,40
2021-01-31,58
2021-02-07,60
2021-02-14,54
2021-02-21,56
2021-02-28,51
2021-03-07,52
2021-03-14,46
2021-03-21,36
2021-03-28,34
2021-04-04,35
2021-04-11,38
2021-04-18,34
2021-04-25,32
2021-05-02,40
2021-05-09,36
2021-05-16,30
2021-05-23,30
2021-05-30,25
2021-06-06,25
2021-06-13,30
2021-06-20,32
2021-06-27,29
2021-07-04,23
2021-07-11,30
2021-07-18,32
2021-07-25,36
2021-08-01,32
2021-08-08,25
2021-08-15,28
2021-08-22,24
2021-08-29,28
2021-09-05,23
2021-09-12,23
2021-09-19,23
2021-09-26,19
2021-10-03,22
2021-10-10,22
2021-10-17,34
2021-10-24,37
2021-10-31,42
2021-11-07,68
2021-11-14,56
2021-11-21,43
2021-11-28,53
2021-12-05,54
2021-12-12,41
2021-12-19,35
2021-12-26,36
2022-01-02,37
2022-01-09,33
2022-01-16,28
2022-01-23,37
2022-01-30,100
2022-02-06,59
2022-02-13,49
2022-02-20,49
2022-02-27,43
2022-03-06,44
2022-03-13,46
2022-03-20,39
2022-03-27,37
2022-04-03,32
2022-04-10,26
2022-04-17,36
2022-04-24,45
2022-05-01,37
2022-05-08,41
2022-05-15,31
2022-05-22,28
2022-05-29,23
2022-06-05,25
2022-06-12,28
2022-06-19,23
2022-06-26,23
2022-07-03,20
2022-07-10,21
2022-07-17,22
2022-07-24,27
2022-07-31,37
2022-08-07,29
2022-08-14,27
2022-08-21,20
2022-08-28,19
2022-09-04,14
2022-09-11,19
2022-09-18,19
2022-09-25,17
2022-10-02,19
2022-10-09,36
2022-10-16,18
2022-10-23,21
2022-10-30,22
2022-11-06,23
2022-11-13,19
2022-11-20,14
2022-11-27,16
2022-12-04,16
2022-12-11,15
2022-12-18,14
2022-12-25,15
2023-01-01,14
2023-01-08,17
2023-01-15,13
2023-01-22,18
2023-01-29,21
2023-02-05,20
2023-02-12,17
2023-02-19,12
2023-02-26,13
2023-03-05,10
2023-03-12,14
2023-03-19,14
2023-03-26,14
2023-04-02,11
2023-04-09,14
2023-04-16,13
2023-04-23,14
2023-04-30,11
2023-05-07,28
2023-05-14,20
2023-05-21,20
2023-05-28,25
2023-06-04,23
2023-06-11,23
2023-06-18,17
2023-06-25,18
2023-07-02,16
2023-07-09,21
2023-07-16,22
2023-07-23,17
2023-07-30,30
2023-08-06,28
2023-08-13,26
2023-08-20,23
2023-08-27,19
2023-09-03,15
2023-09-10,16
2023-09-17,16
2023-09-24,16
2023-10-01,16
2023-10-08,13
2023-10-15,15
2023-10-22,21
2023-10-29,24
2023-11-05,20
2023-11-12,19
2023-11-19,13
2023-11-26,18
2023-12-03,22
2023-12-10,21
2023-12-17,23
2023-12-24,18
2023-12-31,19
2024-01-07,20
2024-01-14,21
2024-01-21,32
2024-01-28,26
2024-02-04,34
2024-02-11,26
2024-02-18,20
2024-02-25,24
2024-03-03,19
2024-03-10,21
2024-03-17,24
2024-03-24,22
2024-03-31,19
2024-04-07,18
2024-04-14,17
2024-04-21,15
2024-04-28,26
2024-05-05,15
2024-05-12,16
2024-05-19,16
2024-05-26,12
2024-06-02,17
2024-06-09,15
2024-06-16,17
2024-06-23,14
2024-06-30,13
2024-07-07,16
2024-07-14,16
2024-07-21,15
2024-07-28,25
2024-08-04,19
2024-08-11,19
2024-08-18,23
2024-08-25,17
2024-09-01,13
2024-09-08,15
2024-09-15,19
2024-09-22,21
2024-09-29,17
2024-10-06,19
2024-10-13,17
2024-10-20,15
2024-10-27,22
2024-11-03,21
2024-11-10,23
2024-11-17,22
2024-11-24,15
2024-12-01,20
2024-12-08,24
2024-12-15,20
2024-12-22,20
2024-12-29,19
2025-01-05,13
2025-01-12,17
2025-01-19,17
2025-01-26,18
2025-02-02,30
2025-02-09,22
2025-02-16,16
2025-02-23,19
2025-03-02,20
2025-03-09,17
2025-03-16,16
2025-03-23,14
2025-03-30,19
2025-04-06,22
2025-04-13,13
2025-04-20,16
2025-04-27,17
2025-05-04,15
2025-05-11,16
2025-05-18,14
2025-05-25,12
2025-06-01,16
2025-06-08,17
2025-06-15,15
2025-06-22,16
2025-06-29,15
2025-07-06,16
2025-07-13,21
2025-07-20,24
2025-07-27,47
