date,Drake
2020-08-02,14
2020-08-09,17
2020-08-16,17
2020-08-23,14
2020-08-30,15
2020-09-06,16
2020-09-13,13
2020-09-20,12
2020-09-27,13
2020-10-04,13
2020-10-11,13
2020-10-18,14
2020-10-25,14
2020-11-01,11
2020-11-08,12
2020-11-15,15
2020-11-22,14
2020-11-29,13
2020-12-06,12
2020-12-13,13
2020-12-20,14
2020-12-27,13
2021-01-03,13
2021-01-10,13
2021-01-17,13
2021-01-24,12
2021-01-31,12
2021-02-07,13
2021-02-14,12
2021-02-21,12
2021-02-28,16
2021-03-07,13
2021-03-14,17
2021-03-21,12
2021-03-28,12
2021-04-04,12
2021-04-11,11
2021-04-18,12
2021-04-25,11
2021-05-02,12
2021-05-09,12
2021-05-16,12
2021-05-23,14
2021-05-30,17
2021-06-06,16
2021-06-13,12
2021-06-20,17
2021-06-27,14
2021-07-04,14
2021-07-11,18
2021-07-18,16
2021-07-25,14
2021-08-01,12
2021-08-08,13
2021-08-15,13
2021-08-22,15
2021-08-29,36
2021-09-05,28
2021-09-12,19
2021-09-19,15
2021-09-26,14
2021-10-03,13
2021-10-10,13
2021-10-17,13
2021-10-24,13
2021-10-31,12
2021-11-07,14
2021-11-14,14
2021-11-21,12
2021-11-28,12
2021-12-05,16
2021-12-12,13
2021-12-19,13
2021-12-26,13
2022-01-02,12
2022-01-09,21
2022-01-16,14
2022-01-23,13
2022-01-30,16
2022-02-06,13
2022-02-13,16
2022-02-20,13
2022-02-27,12
2022-03-06,12
2022-03-13,12
2022-03-20,13
2022-03-27,11
2022-04-03,11
2022-04-10,13
2022-04-17,13
2022-04-24,13
2022-05-01,12
2022-05-08,12
2022-05-15,11
2022-05-22,11
2022-05-29,11
2022-06-05,10
2022-06-12,18
2022-06-19,18
2022-06-26,13
2022-07-03,13
2022-07-10,14
2022-07-17,12
2022-07-24,12
2022-07-31,13
2022-08-07,15
2022-08-14,13
2022-08-21,13
2022-08-28,13
2022-09-04,11
2022-09-11,13
2022-09-18,12
2022-09-25,10
2022-10-02,11
2022-10-09,12
2022-10-16,13
2022-10-23,14
2022-10-30,24
2022-11-06,21
2022-11-13,16
2022-11-20,13
2022-11-27,14
2022-12-04,13
2022-12-11,13
2022-12-18,15
2022-12-25,13
2023-01-01,14
2023-01-08,12
2023-01-15,12
2023-01-22,15
2023-01-29,13
2023-02-05,13
2023-02-12,15
2023-02-19,13
2023-02-26,12
2023-03-05,12
2023-03-12,27
2023-03-19,15
2023-03-26,14
2023-04-02,13
2023-04-09,24
2023-04-16,15
2023-04-23,16
2023-04-30,13
2023-05-07,12
2023-05-14,12
2023-05-21,10
2023-05-28,10
2023-06-04,11
2023-06-11,11
2023-06-18,11
2023-06-25,13
2023-07-02,17
2023-07-09,17
2023-07-16,17
2023-07-23,19
2023-07-30,15
2023-08-06,14
2023-08-13,17
2023-08-20,19
2023-08-27,17
2023-09-03,16
2023-09-10,17
2023-09-17,17
2023-09-24,15
2023-10-01,25
2023-10-08,23
2023-10-15,16
2023-10-22,17
2023-10-29,14
2023-11-05,14
2023-11-12,20
2023-11-19,16
2023-11-26,15
2023-12-03,14
2023-12-10,14
2023-12-17,16
2023-12-24,15
2023-12-31,15
2024-01-07,15
2024-01-14,14
2024-01-21,15
2024-01-28,17
2024-02-04,100
2024-02-11,40
2024-02-18,23
2024-02-25,20
2024-03-03,20
2024-03-10,19
2024-03-17,42
2024-03-24,41
2024-03-31,23
2024-04-07,21
2024-04-14,33
2024-04-21,24
2024-04-28,42
2024-05-05,92
2024-05-12,29
2024-05-19,22
2024-05-26,19
2024-06-02,18
2024-06-09,16
2024-06-16,18
2024-06-23,16
2024-06-30,17
2024-07-07,18
2024-07-14,16
2024-07-21,15
2024-07-28,14
2024-08-04,16
2024-08-11,15
2024-08-18,14
2024-08-25,15
2024-09-01,14
2024-09-08,15
2024-09-15,14
2024-09-22,13
2024-09-29,19
2024-10-06,13
2024-10-13,14
2024-10-20,14
2024-10-27,14
2024-11-03,12
2024-11-10,13
2024-11-17,15
2024-11-24,18
2024-12-01,18
2024-12-08,14
2024-12-15,15
2024-12-22,15
2024-12-29,15
2025-01-05,14
2025-01-12,14
2025-01-19,12
2025-01-26,13
2025-02-02,22
2025-02-09,77
2025-02-16,27
2025-02-23,21
2025-03-02,16
2025-03-09,15
2025-03-16,20
2025-03-23,16
2025-03-30,15
2025-04-06,14
2025-04-13,13
2025-04-20,13
2025-04-27,12
2025-05-04,12
2025-05-11,12
2025-05-18,12
2025-05-25,12
2025-06-01,20
2025-06-08,13
2025-06-15,13
2025-06-22,13
2025-06-29,15
2025-07-06,16
2025-07-13,17
2025-07-20,18
2025-07-27,17
