date,Palantir
2020-08-02,4
2020-08-09,4
2020-08-16,7
2020-08-23,13
2020-08-30,7
2020-09-06,6
2020-09-13,7
2020-09-20,9
2020-09-27,48
2020-10-04,14
2020-10-11,8
2020-10-18,7
2020-10-25,9
2020-11-01,11
2020-11-08,24
2020-11-15,26
2020-11-22,43
2020-11-29,37
2020-12-06,31
2020-12-13,22
2020-12-20,19
2020-12-27,18
2021-01-03,20
2021-01-10,20
2021-01-17,22
2021-01-24,38
2021-01-31,21
2021-02-07,25
2021-02-14,53
2021-02-21,40
2021-02-28,30
2021-03-07,27
2021-03-14,23
2021-03-21,20
2021-03-28,21
2021-04-04,18
2021-04-11,23
2021-04-18,17
2021-04-25,15
2021-05-02,17
2021-05-09,27
2021-05-16,15
2021-05-23,15
2021-05-30,14
2021-06-06,14
2021-06-13,12
2021-06-20,12
2021-06-27,13
2021-07-04,11
2021-07-11,10
2021-07-18,10
2021-07-25,9
2021-08-01,9
2021-08-08,17
2021-08-15,17
2021-08-22,12
2021-08-29,10
2021-09-05,10
2021-09-12,12
2021-09-19,10
2021-09-26,10
2021-10-03,13
2021-10-10,10
2021-10-17,10
2021-10-24,11
2021-10-31,11
2021-11-07,18
2021-11-14,12
2021-11-21,10
2021-11-28,10
2021-12-05,10
2021-12-12,10
2021-12-19,8
2021-12-26,11
2022-01-02,11
2022-01-09,10
2022-01-16,10
2022-01-23,12
2022-01-30,12
2022-02-06,11
2022-02-13,20
2022-02-20,14
2022-02-27,11
2022-03-06,10
2022-03-13,9
2022-03-20,8
2022-03-27,9
2022-04-03,8
2022-04-10,7
2022-04-17,7
2022-04-24,7
2022-05-01,7
2022-05-08,17
2022-05-15,8
2022-05-22,8
2022-05-29,8
2022-06-05,7
2022-06-12,7
2022-06-19,7
2022-06-26,7
2022-07-03,6
2022-07-10,7
2022-07-17,7
2022-07-24,7
2022-07-31,7
2022-08-07,11
2022-08-14,7
2022-08-21,7
2022-08-28,6
2022-09-04,6
2022-09-11,8
2022-09-18,8
2022-09-25,7
2022-10-02,7
2022-10-09,6
2022-10-16,7
2022-10-23,7
2022-10-30,6
2022-11-06,8
2022-11-13,7
2022-11-20,5
2022-11-27,5
2022-12-04,6
2022-12-11,6
2022-12-18,7
2022-12-25,6
2023-01-01,6
2023-01-08,7
2023-01-15,7
2023-01-22,7
2023-01-29,8
2023-02-05,7
2023-02-12,16
2023-02-19,7
2023-02-26,7
2023-03-05,6
2023-03-12,6
2023-03-19,6
2023-03-26,5
2023-04-02,5
2023-04-09,6
2023-04-16,6
2023-04-23,6
2023-04-30,6
2023-05-07,16
2023-05-14,10
2023-05-21,13
2023-05-28,14
2023-06-04,17
2023-06-11,15
2023-06-18,12
2023-06-25,11
2023-07-02,9
2023-07-09,11
2023-07-16,14
2023-07-23,12
2023-07-30,19
2023-08-06,21
2023-08-13,11
2023-08-20,10
2023-08-27,12
2023-09-03,9
2023-09-10,9
2023-09-17,9
2023-09-24,11
2023-10-01,9
2023-10-08,12
2023-10-15,9
2023-10-22,9
2023-10-29,14
2023-11-05,12
2023-11-12,13
2023-11-19,14
2023-11-26,12
2023-12-03,13
2023-12-10,11
2023-12-17,10
2023-12-24,8
2023-12-31,9
2024-01-07,9
2024-01-14,9
2024-01-21,9
2024-01-28,10
2024-02-04,34
2024-02-11,20
2024-02-18,15
2024-02-25,16
2024-03-03,20
2024-03-10,17
2024-03-17,14
2024-03-24,13
2024-03-31,12
2024-04-07,11
2024-04-14,10
2024-04-21,12
2024-04-28,12
2024-05-05,25
2024-05-12,13
2024-05-19,11
2024-05-26,12
2024-06-02,14
2024-06-09,13
2024-06-16,15
2024-06-23,13
2024-06-30,12
2024-07-07,18
2024-07-14,19
2024-07-21,16
2024-07-28,14
2024-08-04,28
2024-08-11,20
2024-08-18,20
2024-08-25,16
2024-09-01,16
2024-09-08,29
2024-09-15,27
2024-09-22,23
2024-09-29,21
2024-10-06,28
2024-10-13,24
2024-10-20,22
2024-10-27,22
2024-11-03,56
2024-11-10,49
2024-11-17,42
2024-11-24,30
2024-12-01,40
2024-12-08,50
2024-12-15,47
2024-12-22,35
2024-12-29,31
2025-01-05,36
2025-01-12,31
2025-01-19,32
2025-01-26,37
2025-02-02,100
2025-02-09,59
2025-02-16,74
2025-02-23,58
2025-03-02,46
2025-03-09,44
2025-03-16,34
2025-03-23,33
2025-03-30,35
2025-04-06,44
2025-04-13,36
2025-04-20,35
2025-04-27,40
2025-05-04,59
2025-05-11,43
2025-05-18,34
2025-05-25,35
2025-06-01,64
2025-06-08,55
2025-06-15,49
2025-06-22,53
2025-06-29,46
2025-07-06,40
2025-07-13,45
2025-07-20,46
2025-07-27,67
