date,war in Yemen
2020-08-02,15
2020-08-09,12
2020-08-16,11
2020-08-23,12
2020-08-30,11
2020-09-06,15
2020-09-13,17
2020-09-20,13
2020-09-27,11
2020-10-04,11
2020-10-11,9
2020-10-18,14
2020-10-25,12
2020-11-01,9
2020-11-08,15
2020-11-15,14
2020-11-22,12
2020-11-29,11
2020-12-06,11
2020-12-13,12
2020-12-20,8
2020-12-27,12
2021-01-03,12
2021-01-10,12
2021-01-17,15
2021-01-24,14
2021-01-31,25
2021-02-07,16
2021-02-14,20
2021-02-21,15
2021-02-28,24
2021-03-07,16
2021-03-14,12
2021-03-21,14
2021-03-28,12
2021-04-04,13
2021-04-11,12
2021-04-18,14
2021-04-25,12
2021-05-02,16
2021-05-09,16
2021-05-16,16
2021-05-23,13
2021-05-30,11
2021-06-06,8
2021-06-13,8
2021-06-20,9
2021-06-27,8
2021-07-04,8
2021-07-11,8
2021-07-18,8
2021-07-25,10
2021-08-01,7
2021-08-08,10
2021-08-15,13
2021-08-22,7
2021-08-29,10
2021-09-05,9
2021-09-12,12
2021-09-19,8
2021-09-26,9
2021-10-03,9
2021-10-10,12
2021-10-17,12
2021-10-24,12
2021-10-31,14
2021-11-07,8
2021-11-14,14
2021-11-21,11
2021-11-28,15
2021-12-05,12
2021-12-12,11
2021-12-19,10
2021-12-26,11
2022-01-02,9
2022-01-09,11
2022-01-16,22
2022-01-23,19
2022-01-30,18
2022-02-06,22
2022-02-13,21
2022-02-20,38
2022-02-27,69
2022-03-06,69
2022-03-13,64
2022-03-20,48
2022-03-27,47
2022-04-03,36
2022-04-10,29
2022-04-17,27
2022-04-24,27
2022-05-01,22
2022-05-08,22
2022-05-15,22
2022-05-22,21
2022-05-29,19
2022-06-05,17
2022-06-12,22
2022-06-19,15
2022-06-26,13
2022-07-03,12
2022-07-10,15
2022-07-17,14
2022-07-24,13
2022-07-31,13
2022-08-07,14
2022-08-14,12
2022-08-21,11
2022-08-28,14
2022-09-04,16
2022-09-11,17
2022-09-18,14
2022-09-25,14
2022-10-02,16
2022-10-09,18
2022-10-16,15
2022-10-23,16
2022-10-30,16
2022-11-06,15
2022-11-13,15
2022-11-20,15
2022-11-27,16
2022-12-04,17
2022-12-11,14
2022-12-18,13
2022-12-25,13
2023-01-01,16
2023-01-08,17
2023-01-15,16
2023-01-22,15
2023-01-29,15
2023-02-05,15
2023-02-12,14
2023-02-19,16
2023-02-26,16
2023-03-05,14
2023-03-12,17
2023-03-19,19
2023-03-26,18
2023-04-02,18
2023-04-09,22
2023-04-16,20
2023-04-23,16
2023-04-30,12
2023-05-07,17
2023-05-14,15
2023-05-21,12
2023-05-28,14
2023-06-04,11
2023-06-11,11
2023-06-18,11
2023-06-25,10
2023-07-02,10
2023-07-09,11
2023-07-16,10
2023-07-23,13
2023-07-30,10
2023-08-06,10
2023-08-13,10
2023-08-20,12
2023-08-27,10
2023-09-03,10
2023-09-10,11
2023-09-17,12
2023-09-24,9
2023-10-01,11
2023-10-08,26
2023-10-15,28
2023-10-22,22
2023-10-29,100
2023-11-05,36
2023-11-12,29
2023-11-19,22
2023-11-26,18
2023-12-03,25
2023-12-10,23
2023-12-17,31
2023-12-24,19
2023-12-31,23
2024-01-07,93
2024-01-14,75
2024-01-21,46
2024-01-28,32
2024-02-04,30
2024-02-11,18
2024-02-18,22
2024-02-25,22
2024-03-03,19
2024-03-10,17
2024-03-17,18
2024-03-24,15
2024-03-31,14
2024-04-07,17
2024-04-14,19
2024-04-21,17
2024-04-28,19
2024-05-05,16
2024-05-12,16
2024-05-19,15
2024-05-26,21
2024-06-02,15
2024-06-09,11
2024-06-16,10
2024-06-23,10
2024-06-30,9
2024-07-07,9
2024-07-14,10
2024-07-21,18
2024-07-28,12
2024-08-04,10
2024-08-11,12
2024-08-18,12
2024-08-25,10
2024-09-01,11
2024-09-08,11
2024-09-15,14
2024-09-22,14
2024-09-29,21
2024-10-06,16
2024-10-13,18
2024-10-20,13
2024-10-27,14
2024-11-03,19
2024-11-10,15
2024-11-17,13
2024-11-24,13
2024-12-01,13
2024-12-08,12
2024-12-15,11
2024-12-22,15
2024-12-29,10
2025-01-05,12
2025-01-12,11
2025-01-19,10
2025-01-26,10
2025-02-02,13
2025-02-09,11
2025-02-16,9
2025-02-23,12
2025-03-02,11
2025-03-09,15
2025-03-16,35
2025-03-23,54
2025-03-30,23
2025-04-06,15
2025-04-13,18
2025-04-20,18
2025-04-27,18
2025-05-04,24
2025-05-11,16
2025-05-18,14
2025-05-25,14
2025-06-01,11
2025-06-08,15
2025-06-15,23
2025-06-22,32
2025-06-29,10
2025-07-06,12
2025-07-13,10
2025-07-20,10
2025-07-27,13
