date,MercadoLibre stock price
2020-08-02,23
2020-08-09,32
2020-08-16,42
2020-08-23,34
2020-08-30,26
2020-09-06,20
2020-09-13,27
2020-09-20,0
2020-09-27,21
2020-10-04,0
2020-10-11,21
2020-10-18,24
2020-10-25,19
2020-11-01,24
2020-11-08,27
2020-11-15,40
2020-11-22,32
2020-11-29,29
2020-12-06,41
2020-12-13,48
2020-12-20,38
2020-12-27,45
2021-01-03,69
2021-01-10,47
2021-01-17,35
2021-01-24,51
2021-01-31,41
2021-02-07,68
2021-02-14,33
2021-02-21,38
2021-02-28,52
2021-03-07,71
2021-03-14,35
2021-03-21,32
2021-03-28,22
2021-04-04,33
2021-04-11,28
2021-04-18,32
2021-04-25,0
2021-05-02,24
2021-05-09,0
2021-05-16,0
2021-05-23,40
2021-05-30,0
2021-06-06,32
2021-06-13,34
2021-06-20,0
2021-06-27,40
2021-07-04,26
2021-07-11,0
2021-07-18,25
2021-07-25,30
2021-08-01,38
2021-08-08,45
2021-08-15,41
2021-08-22,40
2021-08-29,38
2021-09-05,25
2021-09-12,0
2021-09-19,55
2021-09-26,0
2021-10-03,28
2021-10-10,0
2021-10-17,24
2021-10-24,30
2021-10-31,34
2021-11-07,57
2021-11-14,41
2021-11-21,23
2021-11-28,36
2021-12-05,52
2021-12-12,35
2021-12-19,30
2021-12-26,38
2022-01-02,46
2022-01-09,32
2022-01-16,38
2022-01-23,54
2022-01-30,31
2022-02-06,25
2022-02-13,28
2022-02-20,36
2022-02-27,27
2022-03-06,27
2022-03-13,30
2022-03-20,0
2022-03-27,17
2022-04-03,16
2022-04-10,24
2022-04-17,15
2022-04-24,0
2022-05-01,24
2022-05-08,33
2022-05-15,20
2022-05-22,29
2022-05-29,0
2022-06-05,21
2022-06-12,25
2022-06-19,0
2022-06-26,20
2022-07-03,17
2022-07-10,25
2022-07-17,34
2022-07-24,21
2022-07-31,23
2022-08-07,23
2022-08-14,16
2022-08-21,18
2022-08-28,24
2022-09-04,0
2022-09-11,18
2022-09-18,0
2022-09-25,21
2022-10-02,0
2022-10-09,0
2022-10-16,21
2022-10-23,0
2022-10-30,19
2022-11-06,21
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,15
2023-01-15,16
2023-01-22,0
2023-01-29,27
2023-02-05,0
2023-02-12,15
2023-02-19,0
2023-02-26,0
2023-03-05,18
2023-03-12,25
2023-03-19,15
2023-03-26,0
2023-04-02,0
2023-04-09,16
2023-04-16,0
2023-04-23,15
2023-04-30,20
2023-05-07,40
2023-05-14,0
2023-05-21,21
2023-05-28,18
2023-06-04,16
2023-06-11,0
2023-06-18,0
2023-06-25,23
2023-07-02,16
2023-07-09,26
2023-07-16,17
2023-07-23,0
2023-07-30,32
2023-08-06,21
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,17
2023-10-08,0
2023-10-15,17
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,17
2023-11-19,21
2023-11-26,0
2023-12-03,30
2023-12-10,0
2023-12-17,20
2023-12-24,19
2023-12-31,0
2024-01-07,0
2024-01-14,28
2024-01-21,22
2024-01-28,0
2024-02-04,21
2024-02-11,0
2024-02-18,28
2024-02-25,36
2024-03-03,27
2024-03-10,0
2024-03-17,0
2024-03-24,26
2024-03-31,0
2024-04-07,23
2024-04-14,30
2024-04-21,20
2024-04-28,25
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,23
2024-06-02,0
2024-06-09,20
2024-06-16,0
2024-06-23,20
2024-06-30,20
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,23
2024-08-04,27
2024-08-11,0
2024-08-18,0
2024-08-25,0
2024-09-01,0
2024-09-08,0
2024-09-15,19
2024-09-22,0
2024-09-29,0
2024-10-06,0
2024-10-13,0
2024-10-20,19
2024-10-27,0
2024-11-03,0
2024-11-10,32
2024-11-17,34
2024-11-24,0
2024-12-01,0
2024-12-08,24
2024-12-15,22
2024-12-22,0
2024-12-29,22
2025-01-05,0
2025-01-12,21
2025-01-19,0
2025-01-26,21
2025-02-02,33
2025-02-09,24
2025-02-16,33
2025-02-23,0
2025-03-02,0
2025-03-09,19
2025-03-16,0
2025-03-23,0
2025-03-30,24
2025-04-06,29
2025-04-13,22
2025-04-20,0
2025-04-27,20
2025-05-04,31
2025-05-11,27
2025-05-18,38
2025-05-25,0
2025-06-01,0
2025-06-08,22
2025-06-15,0
2025-06-22,34
2025-06-29,23
2025-07-06,32
2025-07-13,35
2025-07-20,43
2025-07-27,100
