date,Oracle news
2020-08-02,14
2020-08-09,14
2020-08-16,21
2020-08-23,17
2020-08-30,18
2020-09-06,16
2020-09-13,61
2020-09-20,33
2020-09-27,17
2020-10-04,15
2020-10-11,13
2020-10-18,15
2020-10-25,14
2020-11-01,14
2020-11-08,13
2020-11-15,11
2020-11-22,10
2020-11-29,12
2020-12-06,18
2020-12-13,18
2020-12-20,12
2020-12-27,10
2021-01-03,14
2021-01-10,12
2021-01-17,10
2021-01-24,12
2021-01-31,11
2021-02-07,13
2021-02-14,12
2021-02-21,15
2021-02-28,12
2021-03-07,16
2021-03-14,11
2021-03-21,12
2021-03-28,11
2021-04-04,14
2021-04-11,14
2021-04-18,14
2021-04-25,13
2021-05-02,13
2021-05-09,12
2021-05-16,12
2021-05-23,12
2021-05-30,12
2021-06-06,15
2021-06-13,15
2021-06-20,10
2021-06-27,13
2021-07-04,12
2021-07-11,12
2021-07-18,12
2021-07-25,11
2021-08-01,13
2021-08-08,12
2021-08-15,14
2021-08-22,13
2021-08-29,10
2021-09-05,10
2021-09-12,11
2021-09-19,10
2021-09-26,14
2021-10-03,11
2021-10-10,11
2021-10-17,10
2021-10-24,11
2021-10-31,10
2021-11-07,10
2021-11-14,9
2021-11-21,7
2021-11-28,11
2021-12-05,15
2021-12-12,16
2021-12-19,18
2021-12-26,10
2022-01-02,15
2022-01-09,15
2022-01-16,12
2022-01-23,14
2022-01-30,15
2022-02-06,13
2022-02-13,12
2022-02-20,18
2022-02-27,19
2022-03-06,16
2022-03-13,16
2022-03-20,12
2022-03-27,13
2022-04-03,12
2022-04-10,12
2022-04-17,12
2022-04-24,13
2022-05-01,11
2022-05-08,14
2022-05-15,11
2022-05-22,10
2022-05-29,9
2022-06-05,12
2022-06-12,15
2022-06-19,14
2022-06-26,12
2022-07-03,12
2022-07-10,19
2022-07-17,17
2022-07-24,14
2022-07-31,25
2022-08-07,16
2022-08-14,13
2022-08-21,17
2022-08-28,12
2022-09-04,13
2022-09-11,15
2022-09-18,11
2022-09-25,15
2022-10-02,14
2022-10-09,16
2022-10-16,15
2022-10-23,13
2022-10-30,15
2022-11-06,13
2022-11-13,13
2022-11-20,10
2022-11-27,11
2022-12-04,12
2022-12-11,12
2022-12-18,9
2022-12-25,9
2023-01-01,11
2023-01-08,11
2023-01-15,12
2023-01-22,14
2023-01-29,14
2023-02-05,12
2023-02-12,13
2023-02-19,11
2023-02-26,13
2023-03-05,13
2023-03-12,13
2023-03-19,13
2023-03-26,14
2023-04-02,12
2023-04-09,11
2023-04-16,12
2023-04-23,13
2023-04-30,12
2023-05-07,11
2023-05-14,15
2023-05-21,12
2023-05-28,13
2023-06-04,11
2023-06-11,21
2023-06-18,13
2023-06-25,11
2023-07-02,12
2023-07-09,14
2023-07-16,13
2023-07-23,12
2023-07-30,10
2023-08-06,13
2023-08-13,12
2023-08-20,13
2023-08-27,12
2023-09-03,12
2023-09-10,20
2023-09-17,13
2023-09-24,12
2023-10-01,11
2023-10-08,13
2023-10-15,12
2023-10-22,11
2023-10-29,11
2023-11-05,13
2023-11-12,12
2023-11-19,9
2023-11-26,10
2023-12-03,11
2023-12-10,17
2023-12-17,9
2023-12-24,10
2023-12-31,11
2024-01-07,10
2024-01-14,16
2024-01-21,14
2024-01-28,12
2024-02-04,9
2024-02-11,11
2024-02-18,10
2024-02-25,12
2024-03-03,12
2024-03-10,22
2024-03-17,12
2024-03-24,9
2024-03-31,12
2024-04-07,10
2024-04-14,10
2024-04-21,14
2024-04-28,12
2024-05-05,10
2024-05-12,12
2024-05-19,11
2024-05-26,11
2024-06-02,11
2024-06-09,21
2024-06-16,13
2024-06-23,12
2024-06-30,10
2024-07-07,13
2024-07-14,16
2024-07-21,12
2024-07-28,12
2024-08-04,15
2024-08-11,13
2024-08-18,10
2024-08-25,11
2024-09-01,11
2024-09-08,27
2024-09-15,18
2024-09-22,12
2024-09-29,13
2024-10-06,13
2024-10-13,10
2024-10-20,12
2024-10-27,10
2024-11-03,14
2024-11-10,13
2024-11-17,13
2024-11-24,14
2024-12-01,15
2024-12-08,19
2024-12-15,12
2024-12-22,7
2024-12-29,10
2025-01-05,12
2025-01-12,16
2025-01-19,36
2025-01-26,26
2025-02-02,17
2025-02-09,14
2025-02-16,15
2025-02-23,14
2025-03-02,18
2025-03-09,19
2025-03-16,19
2025-03-23,28
2025-03-30,25
2025-04-06,19
2025-04-13,13
2025-04-20,14
2025-04-27,16
2025-05-04,17
2025-05-11,15
2025-05-18,15
2025-05-25,12
2025-06-01,19
2025-06-08,39
2025-06-15,34
2025-06-22,32
2025-06-29,35
2025-07-06,32
2025-07-13,44
2025-07-20,62
2025-07-27,100
