date,Russell2000
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,39
2020-08-30,24
2020-09-06,21
2020-09-13,0
2020-09-20,21
2020-09-27,0
2020-10-04,28
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,32
2020-11-15,22
2020-11-22,0
2020-11-29,25
2020-12-06,28
2020-12-13,38
2020-12-20,35
2020-12-27,48
2021-01-03,39
2021-01-10,46
2021-01-17,36
2021-01-24,33
2021-01-31,41
2021-02-07,44
2021-02-14,26
2021-02-21,38
2021-02-28,33
2021-03-07,41
2021-03-14,36
2021-03-21,34
2021-03-28,30
2021-04-04,25
2021-04-11,0
2021-04-18,37
2021-04-25,30
2021-05-02,22
2021-05-09,45
2021-05-16,0
2021-05-23,0
2021-05-30,35
2021-06-06,46
2021-06-13,38
2021-06-20,37
2021-06-27,32
2021-07-04,28
2021-07-11,24
2021-07-18,34
2021-07-25,23
2021-08-01,32
2021-08-08,37
2021-08-15,23
2021-08-22,41
2021-08-29,24
2021-09-05,0
2021-09-12,30
2021-09-19,30
2021-09-26,26
2021-10-03,31
2021-10-10,0
2021-10-17,28
2021-10-24,37
2021-10-31,36
2021-11-07,0
2021-11-14,0
2021-11-21,28
2021-11-28,27
2021-12-05,0
2021-12-12,38
2021-12-19,46
2021-12-26,0
2022-01-02,41
2022-01-09,0
2022-01-16,24
2022-01-23,40
2022-01-30,38
2022-02-06,28
2022-02-13,33
2022-02-20,35
2022-02-27,22
2022-03-06,0
2022-03-13,24
2022-03-20,26
2022-03-27,0
2022-04-03,28
2022-04-10,26
2022-04-17,23
2022-04-24,0
2022-05-01,0
2022-05-08,37
2022-05-15,32
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,23
2022-06-19,32
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,22
2022-08-14,24
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,20
2022-09-18,20
2022-09-25,25
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,22
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,26
2023-01-15,0
2023-01-22,0
2023-01-29,21
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,18
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,19
2023-05-21,0
2023-05-28,22
2023-06-04,26
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,23
2023-07-16,21
2023-07-23,21
2023-07-30,21
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,21
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,23
2023-11-19,22
2023-11-26,21
2023-12-03,0
2023-12-10,34
2023-12-17,23
2023-12-24,40
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,48
2024-01-28,0
2024-02-04,38
2024-02-11,28
2024-02-18,30
2024-02-25,45
2024-03-03,28
2024-03-10,27
2024-03-17,31
2024-03-24,37
2024-03-31,26
2024-04-07,29
2024-04-14,33
2024-04-21,31
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,25
2024-06-16,24
2024-06-23,0
2024-06-30,23
2024-07-07,35
2024-07-14,100
2024-07-21,68
2024-07-28,43
2024-08-04,42
2024-08-11,32
2024-08-18,38
2024-08-25,22
2024-09-01,45
2024-09-08,23
2024-09-15,22
2024-09-22,27
2024-09-29,0
2024-10-06,0
2024-10-13,22
2024-10-20,0
2024-10-27,31
2024-11-03,28
2024-11-10,60
2024-11-17,32
2024-11-24,38
2024-12-01,31
2024-12-08,34
2024-12-15,37
2024-12-22,27
2024-12-29,0
2025-01-05,32
2025-01-12,37
2025-01-19,30
2025-01-26,47
2025-02-02,0
2025-02-09,27
2025-02-16,0
2025-02-23,33
2025-03-02,26
2025-03-09,0
2025-03-16,34
2025-03-23,28
2025-03-30,50
2025-04-06,64
2025-04-13,24
2025-04-20,0
2025-04-27,26
2025-05-04,28
2025-05-11,32
2025-05-18,0
2025-05-25,31
2025-06-01,35
2025-06-08,0
2025-06-15,0
2025-06-22,26
2025-06-29,33
2025-07-06,32
2025-07-13,0
2025-07-20,34
2025-07-27,0
