date,quantum computing
2020-08-02,10
2020-08-09,11
2020-08-16,11
2020-08-23,12
2020-08-30,11
2020-09-06,11
2020-09-13,12
2020-09-20,11
2020-09-27,11
2020-10-04,10
2020-10-11,9
2020-10-18,10
2020-10-25,8
2020-11-01,9
2020-11-08,10
2020-11-15,9
2020-11-22,8
2020-11-29,11
2020-12-06,13
2020-12-13,11
2020-12-20,11
2020-12-27,11
2021-01-03,11
2021-01-10,11
2021-01-17,11
2021-01-24,11
2021-01-31,14
2021-02-07,12
2021-02-14,12
2021-02-21,12
2021-02-28,11
2021-03-07,14
2021-03-14,13
2021-03-21,14
2021-03-28,13
2021-04-04,13
2021-04-11,14
2021-04-18,12
2021-04-25,12
2021-05-02,12
2021-05-09,13
2021-05-16,12
2021-05-23,12
2021-05-30,11
2021-06-06,14
2021-06-13,13
2021-06-20,12
2021-06-27,11
2021-07-04,11
2021-07-11,13
2021-07-18,12
2021-07-25,11
2021-08-01,12
2021-08-08,12
2021-08-15,11
2021-08-22,11
2021-08-29,12
2021-09-05,12
2021-09-12,12
2021-09-19,14
2021-09-26,13
2021-10-03,12
2021-10-10,8
2021-10-17,10
2021-10-24,11
2021-10-31,11
2021-11-07,12
2021-11-14,17
2021-11-21,14
2021-11-28,14
2021-12-05,13
2021-12-12,11
2021-12-19,11
2021-12-26,10
2022-01-02,14
2022-01-09,12
2022-01-16,11
2022-01-23,14
2022-01-30,13
2022-02-06,12
2022-02-13,13
2022-02-20,12
2022-02-27,13
2022-03-06,12
2022-03-13,12
2022-03-20,13
2022-03-27,15
2022-04-03,12
2022-04-10,13
2022-04-17,14
2022-04-24,12
2022-05-01,13
2022-05-08,13
2022-05-15,12
2022-05-22,12
2022-05-29,12
2022-06-05,13
2022-06-12,13
2022-06-19,15
2022-06-26,12
2022-07-03,12
2022-07-10,13
2022-07-17,21
2022-07-24,17
2022-07-31,15
2022-08-07,14
2022-08-14,14
2022-08-21,15
2022-08-28,14
2022-09-04,13
2022-09-11,15
2022-09-18,16
2022-09-25,14
2022-10-02,15
2022-10-09,15
2022-10-16,15
2022-10-23,13
2022-10-30,15
2022-11-06,15
2022-11-13,15
2022-11-20,13
2022-11-27,15
2022-12-04,15
2022-12-11,15
2022-12-18,13
2022-12-25,12
2023-01-01,13
2023-01-08,15
2023-01-15,15
2023-01-22,16
2023-01-29,17
2023-02-05,18
2023-02-12,17
2023-02-19,18
2023-02-26,15
2023-03-05,14
2023-03-12,15
2023-03-19,16
2023-03-26,17
2023-04-02,15
2023-04-09,15
2023-04-16,15
2023-04-23,15
2023-04-30,18
2023-05-07,16
2023-05-14,16
2023-05-21,15
2023-05-28,16
2023-06-04,16
2023-06-11,17
2023-06-18,18
2023-06-25,17
2023-07-02,17
2023-07-09,18
2023-07-16,17
2023-07-23,17
2023-07-30,18
2023-08-06,15
2023-08-13,20
2023-08-20,17
2023-08-27,18
2023-09-03,16
2023-09-10,16
2023-09-17,17
2023-09-24,16
2023-10-01,16
2023-10-08,17
2023-10-15,18
2023-10-22,17
2023-10-29,17
2023-11-05,17
2023-11-12,17
2023-11-19,15
2023-11-26,17
2023-12-03,32
2023-12-10,20
2023-12-17,16
2023-12-24,15
2023-12-31,15
2024-01-07,17
2024-01-14,17
2024-01-21,17
2024-01-28,21
2024-02-04,21
2024-02-11,21
2024-02-18,24
2024-02-25,23
2024-03-03,24
2024-03-10,24
2024-03-17,24
2024-03-24,18
2024-03-31,19
2024-04-07,19
2024-04-14,18
2024-04-21,18
2024-04-28,19
2024-05-05,17
2024-05-12,18
2024-05-19,19
2024-05-26,18
2024-06-02,16
2024-06-09,17
2024-06-16,17
2024-06-23,16
2024-06-30,15
2024-07-07,16
2024-07-14,16
2024-07-21,16
2024-07-28,18
2024-08-04,16
2024-08-11,16
2024-08-18,16
2024-08-25,16
2024-09-01,16
2024-09-08,20
2024-09-15,20
2024-09-22,20
2024-09-29,21
2024-10-06,19
2024-10-13,21
2024-10-20,24
2024-10-27,20
2024-11-03,20
2024-11-10,25
2024-11-17,31
2024-11-24,30
2024-12-01,30
2024-12-08,99
2024-12-15,100
2024-12-22,58
2024-12-29,52
2025-01-05,74
2025-01-12,64
2025-01-19,43
2025-01-26,37
2025-02-02,37
2025-02-09,34
2025-02-16,71
2025-02-23,49
2025-03-02,36
2025-03-09,34
2025-03-16,41
2025-03-23,34
2025-03-30,32
2025-04-06,29
2025-04-13,35
2025-04-20,27
2025-04-27,29
2025-05-04,29
2025-05-11,33
2025-05-18,39
2025-05-25,34
2025-06-01,37
2025-06-08,57
2025-06-15,42
2025-06-22,42
2025-06-29,51
2025-07-06,42
2025-07-13,46
2025-07-20,45
2025-07-27,57
