date,inclusion initiatives
2020-08-02,17
2020-08-09,20
2020-08-16,0
2020-08-23,30
2020-08-30,18
2020-09-06,24
2020-09-13,27
2020-09-20,19
2020-09-27,27
2020-10-04,15
2020-10-11,20
2020-10-18,33
2020-10-25,19
2020-11-01,0
2020-11-08,17
2020-11-15,14
2020-11-22,19
2020-11-29,22
2020-12-06,0
2020-12-13,19
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,16
2021-01-17,0
2021-01-24,18
2021-01-31,30
2021-02-07,0
2021-02-14,21
2021-02-21,17
2021-02-28,23
2021-03-07,15
2021-03-14,31
2021-03-21,22
2021-03-28,29
2021-04-04,0
2021-04-11,23
2021-04-18,22
2021-04-25,16
2021-05-02,34
2021-05-09,23
2021-05-16,0
2021-05-23,25
2021-05-30,0
2021-06-06,0
2021-06-13,18
2021-06-20,17
2021-06-27,26
2021-07-04,0
2021-07-11,17
2021-07-18,19
2021-07-25,19
2021-08-01,0
2021-08-08,0
2021-08-15,31
2021-08-22,20
2021-08-29,0
2021-09-05,0
2021-09-12,26
2021-09-19,25
2021-09-26,18
2021-10-03,23
2021-10-10,19
2021-10-17,26
2021-10-24,20
2021-10-31,16
2021-11-07,16
2021-11-14,23
2021-11-21,16
2021-11-28,23
2021-12-05,27
2021-12-12,21
2021-12-19,0
2021-12-26,0
2022-01-02,19
2022-01-09,35
2022-01-16,17
2022-01-23,22
2022-01-30,28
2022-02-06,29
2022-02-13,28
2022-02-20,31
2022-02-27,24
2022-03-06,23
2022-03-13,27
2022-03-20,26
2022-03-27,20
2022-04-03,22
2022-04-10,28
2022-04-17,27
2022-04-24,30
2022-05-01,28
2022-05-08,26
2022-05-15,20
2022-05-22,14
2022-05-29,21
2022-06-05,29
2022-06-12,23
2022-06-19,31
2022-06-26,16
2022-07-03,16
2022-07-10,22
2022-07-17,23
2022-07-24,27
2022-07-31,23
2022-08-07,16
2022-08-14,18
2022-08-21,17
2022-08-28,0
2022-09-04,18
2022-09-11,25
2022-09-18,28
2022-09-25,33
2022-10-02,27
2022-10-09,22
2022-10-16,27
2022-10-23,21
2022-10-30,29
2022-11-06,25
2022-11-13,28
2022-11-20,28
2022-11-27,25
2022-12-04,31
2022-12-11,23
2022-12-18,19
2022-12-25,0
2023-01-01,0
2023-01-08,21
2023-01-15,33
2023-01-22,19
2023-01-29,27
2023-02-05,39
2023-02-12,29
2023-02-19,35
2023-02-26,30
2023-03-05,44
2023-03-12,30
2023-03-19,29
2023-03-26,26
2023-04-02,21
2023-04-09,55
2023-04-16,33
2023-04-23,29
2023-04-30,26
2023-05-07,28
2023-05-14,39
2023-05-21,28
2023-05-28,31
2023-06-04,22
2023-06-11,21
2023-06-18,33
2023-06-25,20
2023-07-02,21
2023-07-09,24
2023-07-16,40
2023-07-23,18
2023-07-30,29
2023-08-06,27
2023-08-13,24
2023-08-20,22
2023-08-27,26
2023-09-03,30
2023-09-10,30
2023-09-17,33
2023-09-24,33
2023-10-01,35
2023-10-08,38
2023-10-15,18
2023-10-22,39
2023-10-29,32
2023-11-05,37
2023-11-12,50
2023-11-19,31
2023-11-26,33
2023-12-03,38
2023-12-10,25
2023-12-17,19
2023-12-24,0
2023-12-31,24
2024-01-07,40
2024-01-14,26
2024-01-21,35
2024-01-28,47
2024-02-04,43
2024-02-11,59
2024-02-18,36
2024-02-25,31
2024-03-03,52
2024-03-10,39
2024-03-17,50
2024-03-24,52
2024-03-31,38
2024-04-07,43
2024-04-14,47
2024-04-21,45
2024-04-28,44
2024-05-05,44
2024-05-12,36
2024-05-19,36
2024-05-26,26
2024-06-02,33
2024-06-09,28
2024-06-16,37
2024-06-23,41
2024-06-30,18
2024-07-07,37
2024-07-14,34
2024-07-21,26
2024-07-28,29
2024-08-04,31
2024-08-11,32
2024-08-18,29
2024-08-25,28
2024-09-01,40
2024-09-08,35
2024-09-15,33
2024-09-22,46
2024-09-29,35
2024-10-06,40
2024-10-13,45
2024-10-20,60
2024-10-27,44
2024-11-03,60
2024-11-10,52
2024-11-17,43
2024-11-24,39
2024-12-01,41
2024-12-08,36
2024-12-15,31
2024-12-22,20
2024-12-29,26
2025-01-05,43
2025-01-12,36
2025-01-19,77
2025-01-26,82
2025-02-02,72
2025-02-09,64
2025-02-16,93
2025-02-23,77
2025-03-02,57
2025-03-09,51
2025-03-16,57
2025-03-23,59
2025-03-30,53
2025-04-06,44
2025-04-13,41
2025-04-20,47
2025-04-27,51
2025-05-04,46
2025-05-11,44
2025-05-18,45
2025-05-25,43
2025-06-01,89
2025-06-08,100
2025-06-15,72
2025-06-22,74
2025-06-29,73
2025-07-06,48
2025-07-13,70
2025-07-20,64
2025-07-27,79
